sitio_area_ID,subsample_ID,Lat,Long
ARIK_2017-03-22,NA,39.75825,-102.4471
ARIK_2017-10-10,NA,39.75825,-102.4471
ARIK_2018-10-02,NA,39.75825,-102.4471
ARIK_2019-03-27,NA,39.75825,-102.4471
ARIK_2019-10-01,NA,39.75825,-102.4471
BIGC_2019-04-15,NA,37.058,-119.256
BIGC_2021-04-13,NA,37.058,-119.256
CARI_2016-07-11,NA,65.15306,-147.50246
CARI_2016-07-11,NA,65.15306,-147.50246
CARI_2016-08-23,NA,65.15306,-147.50246
CARI_2017-05-15,NA,65.15306,-147.50246
CARI_2017-05-15,NA,65.15306,-147.50246
CARI_2017-07-10,NA,65.15306,-147.50246
CARI_2017-07-10,NA,65.15306,-147.50246
CARI_2017-08-22,NA,65.15306,-147.50246
CARI_2017-08-22,NA,65.15306,-147.50246
CARI_2018-05-23,NA,65.15306,-147.50246
CARI_2018-07-16,NA,65.15306,-147.50246
CARI_2018-07-16,NA,65.15306,-147.50246
CARI_2018-08-20,NA,65.15306,-147.50246
CARI_2018-08-20,NA,65.15306,-147.50246
CARI_2019-07-03,NA,65.15306,-147.50246
CARI_2019-07-03,NA,65.15306,-147.50246
CARI_2019-08-28,NA,65.15306,-147.50246
CARI_2020-07-15,NA,65.15306,-147.50246
CARI_2021-05-18,NA,65.15306,-147.50246
CARI_2021-05-18,NA,65.15306,-147.50246
CARI_2021-07-01,NA,65.15306,-147.50246
COMO_2021-08-04,NA,40.03496,-105.54487
COMO_2021-08-30,NA,40.03496,-105.54487
CUPE_2020-07-06,NA,18.11352,-66.98676
GUIL_2021-11-23,NA,18.1741,-66.79851
HOPB_2016-10-11,NA,42.47179,-72.32963
HOPB_2016-10-11,NA,42.47179,-72.32963
HOPB_2017-04-12,NA,42.47179,-72.32963
HOPB_2017-04-12,NA,42.47179,-72.32963
HOPB_2017-07-11,NA,42.47179,-72.32963
HOPB_2017-10-03,NA,42.47179,-72.32963
HOPB_2018-07-09,NA,42.47179,-72.32963
HOPB_2019-04-11,NA,42.47179,-72.32963
HOPB_2019-04-11,NA,42.47179,-72.32963
HOPB_2019-10-03,NA,42.47179,-72.32963
HOPB_2020-07-14,NA,42.47179,-72.32963
HOPB_2020-10-05,NA,42.47179,-72.32963
HOPB_2021-04-12,NA,42.47179,-72.32963
HOPB_2021-07-28,NA,42.47179,-72.32963
HOPB_2021-10-11,NA,42.47179,-72.32963
KING_2016-06-22,NA,39.10506,-96.60336
KING_2019-10-01,NA,39.10506,-96.60336
KING_2020-06-03,NA,39.10506,-96.60336
LECO_2017-03-22,NA,35.69043,-83.50379
LECO_2017-10-27,NA,35.69043,-83.50379
LECO_2018-04-04,NA,35.69043,-83.50379
LECO_2019-07-16,NA,35.69043,-83.50379
LECO_2019-07-16,NA,35.69043,-83.50379
LECO_2019-10-14,NA,35.69043,-83.50379
LECO_2020-07-14,NA,35.69043,-83.50379
LECO_2021-03-30,NA,35.69043,-83.50379
LECO_2021-08-02,NA,35.69043,-83.50379
LECO_2021-08-02,NA,35.69043,-83.50379
LECO_2016-03-23,NA,35.69043,-83.50379
LECO_2016-07-12,NA,35.69043,-83.50379
LEWI_2017-07-10,NA,39.09564,-77.98322
LEWI_2018-07-09,NA,39.09564,-77.98322
MART_2019-09-30,NA,45.79125,-121.93196
MAYF_2017-03-14,NA,32.95966,-87.40813
MAYF_2020-07-13,NA,32.95966,-87.40813
MCRA_2019-05-29,NA,44.2596,-122.16555
OKSR_2016-08-10,NA,68.66975,-149.14302
OKSR_2016-08-10,NA,68.66975,-149.14302
OKSR_2017-06-07,NA,68.66975,-149.14302
OKSR_2017-07-19,NA,68.66975,-149.14302
OKSR_2018-06-16,NA,68.66975,-149.14302
OKSR_2019-07-11,NA,68.66975,-149.14302
OKSR_2019-07-11,NA,68.66975,-149.14302
OKSR_2020-07-23,NA,68.66975,-149.14302
OKSR_2020-08-12,NA,68.66975,-149.14302
OKSR_2020-08-12,NA,68.66975,-149.14302
OKSR_2021-08-20,NA,68.66975,-149.14302
REDB_2016-10-17,NA,40.78374,-111.79765
WALK_2016-10-31,NA,35.95947,-84.28041
WALK_2018-07-17,NA,35.95947,-84.28041
WALK_2018-10-30,NA,35.95947,-84.28041
WALK_2019-03-12,NA,35.95947,-84.28041
WALK_2019-10-28,NA,35.95947,-84.28041
WALK_2020-03-10,NA,35.95947,-84.28041
WALK_2021-03-09,NA,35.95947,-84.28041
WALK_2021-07-27,NA,35.95947,-84.28041
WALK_2021-10-26,NA,35.95947,-84.28041
WALK_2016-07-05,NA,35.95947,-84.28041
WLOU_2017-07-10,NA,39.89137,-105.9154
WLOU_2017-09-14,NA,39.89137,-105.9154
WLOU_2018-05-17,NA,39.89137,-105.9154
WLOU_2018-07-25,NA,39.89137,-105.9154
WLOU_2018-09-11,NA,39.89137,-105.9154
WLOU_2019-09-12,NA,39.89137,-105.9154
WLOU_2020-09-21,NA,39.89137,-105.9154
ARIK_2016-03-31,NA,39.75825,-102.4471
ARIK_2018-07-12,NA,39.75825,-102.4471
BIGC_2021-11-16,NA,37.058,-119.256
CARI_2019-05-13,NA,65.15306,-147.50246
CARI_2019-08-28,NA,65.15306,-147.50246
CARI_2020-07-15,NA,65.15306,-147.50246
CARI_2021-07-01,NA,65.15306,-147.50246
CARI_2021-08-26,NA,65.15306,-147.50246
HOPB_2018-04-11,NA,42.47179,-72.32963
HOPB_2019-07-09,NA,42.47179,-72.32963
HOPB_2020-06-22,NA,42.47179,-72.32963
HOPB_2020-10-05,NA,42.47179,-72.32963
HOPB_2021-04-12,NA,42.47179,-72.32963
LECO_2017-07-25,NA,35.69043,-83.50379
LECO_2018-07-23,NA,35.69043,-83.50379
LECO_2020-06-09,NA,35.69043,-83.50379
LECO_2021-03-30,NA,35.69043,-83.50379
LEWI_2019-10-21,NA,39.09564,-77.98322
LEWI_2020-07-20,NA,39.09564,-77.98322
MART_2020-07-13,NA,45.79125,-121.93196
MART_2021-04-19,NA,45.79125,-121.93196
MART_2021-09-27,NA,45.79125,-121.93196
MAYF_2016-11-29,NA,32.95966,-87.40813
MAYF_2017-03-14,NA,32.95966,-87.40813
MAYF_2017-10-30,NA,32.95966,-87.40813
MAYF_2019-07-29,NA,32.95966,-87.40813
MAYF_2019-11-14,NA,32.95966,-87.40813
OKSR_2019-05-29,NA,68.66975,-149.14302
OKSR_2019-08-12,NA,68.66975,-149.14302
OKSR_2019-08-12,NA,68.66975,-149.14302
OKSR_2021-06-18,NA,68.66975,-149.14302
OKSR_2021-08-20,NA,68.66975,-149.14302
REDB_2017-03-29,NA,40.78374,-111.79765
REDB_2018-03-29,NA,40.78374,-111.79765
REDB_2018-09-27,NA,40.78374,-111.79765
REDB_2020-10-06,NA,40.78374,-111.79765
REDB_2021-04-21,NA,40.78374,-111.79765
TECR_2019-09-23,NA,36.95528,-119.02699
TECR_2021-07-27,NA,36.95528,-119.02699
TECR_2021-09-15,NA,36.95528,-119.02699
