site,siteID,date,sampling_year,sampling_month
ARIK_2014-07-14,ARIK,2014-07-14,2014,7
ARIK_2014-09-29,ARIK,2014-09-29,2014,9
ARIK_2017-03-22,ARIK,2017-03-22,2017,3
ARIK_2017-10-10,ARIK,2017-10-10,2017,10
ARIK_2018-10-02,ARIK,2018-10-02,2018,10
ARIK_2019-03-27,ARIK,2019-03-27,2019,3
ARIK_2019-10-01,ARIK,2019-10-01,2019,10
BIGC_2019-04-15,BIGC,2019-04-15,2019,4
BIGC_2021-04-13,BIGC,2021-04-13,2021,4
CARI_2016-07-11,CARI,2016-07-11,2016,7
CARI_2016-08-23,CARI,2016-08-23,2016,8
CARI_2017-05-15,CARI,2017-05-15,2017,5
CARI_2017-07-10,CARI,2017-07-10,2017,7
CARI_2017-08-22,CARI,2017-08-22,2017,8
CARI_2018-05-23,CARI,2018-05-23,2018,5
CARI_2018-07-16,CARI,2018-07-16,2018,7
CARI_2018-08-20,CARI,2018-08-20,2018,8
CARI_2019-07-03,CARI,2019-07-03,2019,7
CARI_2019-08-28,CARI,2019-08-28,2019,8
CARI_2020-07-15,CARI,2020-07-15,2020,7
CARI_2021-05-18,CARI,2021-05-18,2021,5
CARI_2021-07-01,CARI,2021-07-01,2021,7
COMO_2021-08-04,COMO,2021-08-04,2021,8
COMO_2021-08-30,COMO,2021-08-30,2021,8
CUPE_2020-07-06,CUPE,2020-07-06,2020,7
GUIL_2021-11-23,GUIL,2021-11-23,2021,11
HOPB_2016-10-11,HOPB,2016-10-11,2016,10
HOPB_2017-04-12,HOPB,2017-04-12,2017,4
HOPB_2017-07-11,HOPB,2017-07-11,2017,7
HOPB_2017-10-03,HOPB,2017-10-03,2017,10
HOPB_2018-07-09,HOPB,2018-07-09,2018,7
HOPB_2019-04-11,HOPB,2019-04-11,2019,4
HOPB_2019-10-03,HOPB,2019-10-03,2019,10
HOPB_2020-07-14,HOPB,2020-07-14,2020,7
HOPB_2020-10-05,HOPB,2020-10-05,2020,10
HOPB_2021-04-12,HOPB,2021-04-12,2021,4
HOPB_2021-07-28,HOPB,2021-07-28,2021,7
HOPB_2021-10-11,HOPB,2021-10-11,2021,10
HOPB_2022-04-11,HOPB,2022-04-11,2022,4
KING_2016-06-22,KING,2016-06-22,2016,6
KING_2019-10-01,KING,2019-10-01,2019,10
KING_2020-06-03,KING,2020-06-03,2020,6
LECO_2017-03-22,LECO,2017-03-22,2017,3
LECO_2017-10-27,LECO,2017-10-27,2017,10
LECO_2018-04-04,LECO,2018-04-04,2018,4
LECO_2019-07-16,LECO,2019-07-16,2019,7
LECO_2019-10-14,LECO,2019-10-14,2019,10
LECO_2020-07-14,LECO,2020-07-14,2020,7
LECO_2021-03-30,LECO,2021-03-30,2021,3
LECO_2021-08-02,LECO,2021-08-02,2021,8
LECO_2022-03-29,LECO,2022-03-29,2022,3
LECO_2016-03-23,LECO,2016-03-23,2016,3
LECO_2016-07-12,LECO,2016-07-12,2016,7
LEWI_2017-07-10,LEWI,2017-07-10,2017,7
LEWI_2018-07-09,LEWI,2018-07-09,2018,7
MART_2019-09-30,MART,2019-09-30,2019,9
MAYF_2015-03-24,MAYF,2015-03-24,2015,3
MAYF_2017-03-14,MAYF,2017-03-14,2017,3
MAYF_2020-07-13,MAYF,2020-07-13,2020,7
MCRA_2019-05-29,MCRA,2019-05-29,2019,5
OKSR_2016-08-10,OKSR,2016-08-10,2016,8
OKSR_2017-06-07,OKSR,2017-06-07,2017,6
OKSR_2017-07-19,OKSR,2017-07-19,2017,7
OKSR_2018-06-16,OKSR,2018-06-16,2018,6
OKSR_2019-07-11,OKSR,2019-07-11,2019,7
OKSR_2020-07-23,OKSR,2020-07-23,2020,7
OKSR_2020-08-12,OKSR,2020-08-12,2020,8
OKSR_2021-08-20,OKSR,2021-08-20,2021,8
REDB_2016-10-17,REDB,2016-10-17,2016,10
WALK_2016-10-31,WALK,2016-10-31,2016,10
WALK_2018-07-17,WALK,2018-07-17,2018,7
WALK_2018-10-30,WALK,2018-10-30,2018,10
WALK_2019-03-12,WALK,2019-03-12,2019,3
WALK_2019-10-28,WALK,2019-10-28,2019,10
WALK_2020-03-10,WALK,2020-03-10,2020,3
WALK_2021-03-09,WALK,2021-03-09,2021,3
WALK_2021-07-27,WALK,2021-07-27,2021,7
WALK_2021-10-26,WALK,2021-10-26,2021,10
WALK_2016-07-05,WALK,2016-07-05,2016,7
