uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"c7a9205f-4d5d-4594-aad2-543360d5f2ed","D10","ARIK","ARIK.AOS.fish.point.01","2018-04-02T18:00Z","2018-04-02T18:18Z",1,"ARIK.20180402.01","ARIK.20180402.01.1.e-fisher",9.2,12.1,474.0,"electrofisher","run","pool",30,10,200,30,10,200,756,0,,,,,,,,,"Not compromised",,,,,,"Y",
"525a16e3-2b11-479e-a050-345beade8088","D10","ARIK","ARIK.AOS.fish.point.01","2018-04-02T19:30Z","2018-04-02T19:44Z",2,"ARIK.20180402.01","ARIK.20180402.01.2.e-fisher",9.0,12.0,474.0,"electrofisher","run","pool",30,10,200,30,10,200,643,0,,,,,,,,,"Not compromised",,,,,,"Y",
"675e8415-d607-4d95-930f-f84de97911d2","D10","ARIK","ARIK.AOS.fish.point.01","2018-04-02T20:24Z","2018-04-02T20:38Z",3,"ARIK.20180402.01","ARIK.20180402.01.3.e-fisher",9.0,12.0,474.0,"electrofisher","run","pool",10,30,200,10,30,200,709,0,,,,,,,,,"Not compromised",,,,,,"Y","Heavy Vegetation"
"c2970934-7194-4cfd-b2f6-7314ff2b4e76","D10","ARIK","ARIK.AOS.fish.point.03","2018-04-02T21:33Z","2018-04-02T21:52Z",1,"ARIK.20180402.03","ARIK.20180402.04.1.e-fisher",14.8,11.3,480.0,"electrofisher","run",,30,10,200,30,10,200,836,0,,,,,,,,,"Not compromised",,,,,,"Y",
"66daadc9-3b97-46ff-9888-dd90bfc0f868","D10","ARIK","ARIK.AOS.fish.point.04","2018-04-03T15:33Z","2018-04-03T15:53Z",1,"ARIK.20180403.04","ARIK.20180403.04.1.e-fisher",4.9,10.0,485.0,"electrofisher","run","pool",10,30,200,10,30,200,782,0,,,,,,,,,"Not compromised",,,,,,"Y",
"90c9d0b1-7d7e-4cd5-b86a-a79fc0d15ce2","D10","ARIK","ARIK.AOS.fish.point.06","2018-04-03T18:24Z","2018-04-03T18:55Z",1,"ARIK.20180403.06","ARIK.20180403.06.1.e-fisher",12.7,9.4,492.0,"electrofisher","run","pool",10,30,200,10,30,200,800,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ce8e5abb-9452-44af-bd43-feb755e0371c","D10","ARIK","ARIK.AOS.fish.point.06","2018-04-03T19:32Z","2018-04-03T20:00Z",2,"ARIK.20180403.06","ARIK.20180403.06.2.e-fisher",,,,"electrofisher","run","pool",10,30,200,10,30,200,789,0,,,,,,,,,"Not compromised",,,,,,"Y",
"f9ab608a-59fa-4dd6-a1dc-2adeda3e20a7","D10","ARIK","ARIK.AOS.fish.point.06","2018-04-03T21:03Z","2018-04-03T21:20Z",3,"ARIK.20180403.06","ARIK.20180403.06.3.e-fisher",12.7,9.4,492.0,"electrofisher","run","pool",10,30,200,10,30,200,788,0,,,,,,,,,"Not compromised",,,,,,"Y",
"851dc793-29bf-4069-9d64-f08a62845e85","D10","ARIK","ARIK.AOS.fish.point.08","2018-04-04T14:10Z","2018-04-04T14:40Z",1,"ARIK.20180404.08","ARIK.20180404.08.1.e-fisher",5.5,10.4,493.0,"electrofisher","run","pool",10,30,200,10,30,150,1155,1,,,,,,,,,"Not compromised",,,,,,"Y","deep thalweg shallow edges; heavy veg; calm wind"
"36d17d44-034a-4a72-9563-4521defa78f4","D10","ARIK","ARIK.AOS.fish.point.09","2018-04-04T15:45Z","2018-04-04T16:05Z",1,"ARIK.20180404.09","ARIK.20180404.09.1.e-fisher",10.5,10.9,489.0,"electrofisher","run","pool",10,30,150,10,30,150,888,0,,,,,,,,,"Not compromised",,,,,,"Y",
"738abfd5-664c-4003-b696-ce98d4c073b6","D10","ARIK","ARIK.AOS.fish.point.09","2018-04-04T17:15Z","2018-04-04T17:35Z",2,"ARIK.20180404.09","ARIK.20180404.09.2.e-fisher",10.0,10.0,489.0,"electrofisher","run","pool",10,30,150,10,30,150,805,0,,,,,,,,,"Not compromised",,,,,,"Y","calm;heavy veg"
"790b3a93-0fc5-4e1d-98c9-3a0793f8dee1","D10","ARIK","ARIK.AOS.fish.point.09","2018-04-04T18:23Z","2018-04-04T18:47Z",3,"ARIK.20180404.09","ARIK.20180404.09.3.e-fisher",10.0,10.0,489.0,"electrofisher","run","pool",10,30,150,10,30,150,692,0,,,,,,,,,"Not compromised",,,,,,"Y",
