uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"38e89f11-38a1-48ad-8567-80926b82b3f7","D10","ARIK","ARIK.AOS.fish.point.01","2019-10-14T19:14Z","2019-10-14T19:39Z",1,"ARIK.20191014.01.1.e-fisher","GAMAFF","Gambusia affinis",,101,"actual",,"0000-0002-5760-9269",
"b1c6095c-7bab-4bff-8826-411ce82bfb70","D10","ARIK","ARIK.AOS.fish.point.01","2019-10-14T20:52Z","2019-10-14T21:07Z",2,"ARIK.20191014.01.2.e-fisher","GAMAFF","Gambusia affinis",,206,"actual",,"0000-0002-5760-9269",
"8830f74c-7644-4519-8e66-38d44e574e52","D10","ARIK","ARIK.AOS.fish.point.01","2019-10-14T20:53Z","2019-10-14T22:06Z",3,"ARIK.20191014.01.3.e-fisher","GAMAFF","Gambusia affinis",,134,"actual",,"0000-0002-5760-9269",
"0a7f19a1-f6f5-45ea-bf0f-72fc0c02ca2c","D10","ARIK","ARIK.AOS.fish.point.02","2019-10-15T14:56Z","2019-10-15T15:30Z",1,"ARIK.20191015.02.1.e-fisher","GAMAFF","Gambusia affinis",,287,"actual",,"0000-0002-5760-9269",
"9da92960-f812-40f5-bdd3-e88f81bde64b","D10","ARIK","ARIK.AOS.fish.point.05","2019-10-15T17:36Z","2019-10-15T17:52Z",1,"ARIK.20191015.05.1.e-fisher","GAMAFF","Gambusia affinis",,8,"actual",,"0000-0002-5760-9269",
"c8c31121-e20b-43bb-b260-5db4c2abf3fb","D10","ARIK","ARIK.AOS.fish.point.06","2019-10-15T18:36Z","2019-10-15T19:07Z",1,"ARIK.20191015.06.1.e-fisher","GAMAFF","Gambusia affinis",,153,"actual",,"0000-0002-5760-9269",
"1878ca1f-aca7-4f3e-902a-91da09e2f323","D10","ARIK","ARIK.AOS.fish.point.06","2019-10-15T20:16Z","2019-10-15T20:37Z",2,"ARIK.20191015.06.2.e-fisher","GAMAFF","Gambusia affinis",,170,"actual",,"0000-0002-5760-9269",
"cf5a3148-8117-4d33-99a7-e030cfe02808","D10","ARIK","ARIK.AOS.fish.point.06","2019-10-15T21:15Z","2019-10-15T21:32Z",3,"ARIK.20191015.06.3.e-fisher","GAMAFF","Gambusia affinis",,122,"actual",,"0000-0002-5760-9269",
"ebe89429-9ff1-4c68-a6fc-766ed065d82d","D10","ARIK","ARIK.AOS.fish.point.07","2019-10-16T14:57Z","2019-10-16T15:19Z",1,"ARIK.20191016.07.1.e-fisher","GAMAFF","Gambusia affinis",,270,"actual",,"0000-0002-5760-9269",
"261bfce0-5f71-4337-931c-09963465539d","D10","ARIK","ARIK.AOS.fish.point.09","2019-10-16T16:35Z","2019-10-16T17:15Z",1,"ARIK.20191016.09.1.e-fisher","GAMAFF","Gambusia affinis",,219,"actual",,"0000-0002-5760-9269",
"4457504b-07f8-48c4-8b99-46f1acba37b9","D10","ARIK","ARIK.AOS.fish.point.09","2019-10-16T19:22Z","2019-10-16T19:55Z",2,"ARIK.20191016.09.2.e-fisher","GAMAFF","Gambusia affinis",,220,"actual",,"0000-0002-5760-9269",
"11226ba0-3e37-41cc-8bf7-18703016d836","D10","ARIK","ARIK.AOS.fish.point.09","2019-10-16T20:45Z","2019-10-16T21:10Z",3,"ARIK.20191016.09.3.e-fisher","LEPCYA","Lepomis cyanellus",,1,"actual",,"0000-0002-5760-9269",
"b0ea46ad-45bb-4f05-8c73-f3758d56d13b","D10","ARIK","ARIK.AOS.fish.point.09","2019-10-16T20:45Z","2019-10-16T21:10Z",3,"ARIK.20191016.09.3.e-fisher","GAMAFF","Gambusia affinis",,123,"actual",,"0000-0002-5760-9269",
