uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"beb20016-904d-4bce-a09c-48706e7f8263","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,5,"SALSPP2","Salmonidae spp.","family",,,"cf. genus",46,1.0,,,,"juvenile","no sample",,,"ecrandall@battelleecology.org",
"bd0efb65-1376-433b-91df-b90fcf9ab808","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,3,"SALSP2","Salmonidae sp.","family",,,"cf. genus",44,0.3,,,,"juvenile","no sample",,,"ecrandall@battelleecology.org",
"1d270c8c-b5a5-4a5f-b9d3-90c8704527f6","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,7,"SALSP2","Salmonidae sp.","family",,,"aff. species",207,90.0,,,,"adult","no sample",,,"ecrandall@battelleecology.org","Salmo trutta- Brown trout"
"dbc05435-e496-4bbd-b81c-85038f109188","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,2,"SALSP2","Salmonidae sp.","family",,,"aff. species",180,64.0,,,,"adult","no sample",,,"ecrandall@battelleecology.org","Salmo trutta-Brown trout"
"1b9a1e90-21e4-4322-850d-aac41b31c64c","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,4,"SALSP2","Salmonidae sp.","family",,,"aff. subspecies",184,65.0,,,,"adult","no sample",,,"ecrandall@battelleecology.org","Salmo trutta - Brown trout"
"51db1727-1218-41dc-a605-ab01b85cfaca","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,6,"SALSP2","Salmonidae sp.","family",,,"aff. species",157,42.0,,,,"adult","no sample",,,"ecrandall@battelleecology.org","Salmo trutta-Brown trout"
"253b0d80-cf7b-404f-af6f-293f3ab10ac5","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,1,"SALSP2","Salmonidae sp.","family",,,"aff. species",190,73.0,,,,"adult","no sample",,,"ecrandall@battelleecology.org","Brown trout- salmo trutta"
"3a13832e-09c6-4636-9df7-695dbf7d2b15","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,9,"SALSP2","Salmonidae sp.","family",,,"aff. species",170,54.0,,,,"adult","no sample",,,"ecrandall@battelleecology.org","Salmo trutta-Brown trout"
"9a5092c9-996b-4ccd-a26c-d9750a59229f","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z","BIGC.20180515.01.1.e-fisher",1,8,"SALSP2","Salmonidae sp.","family",,,"aff. species",192,74.0,,,,"adult","no sample",,,"ecrandall@battelleecology.org","Salmo trutta-Brown trout"
"0ef659e0-4af2-416b-b0bb-6f6bce363fa3","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T21:42Z","2018-05-15T22:52Z","BIGC.20180515.01.2.e-fisher",2,10,"OTHE","Chordata sp.","phylum","D17.BIGC.2018.MorphA","YOY Trout",,45,0.3,,"Y",,"juvenile","voucher sample only","FSH.BIGC.03.20180515.2.0010",,"ecrandall@battelleecology.org","Yoy? Deteriorated quickly after death"
