uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"ccab64e6-2ec3-4d66-8975-c6612e30485a","D17","BIGC","BIGC.AOS.fish.point.01","2018-10-15T19:33Z","2018-10-15T21:18Z",1,"BIGC.20181015.01","BIGC.20181015.01.1.e-fisher",10.0,10.5,211.7,"electrofisher","run","riffle",30,20,150,30,20,200,1850,1,,,,,,,,,"Not compromised",,,,,,"Y","S2"
"cf045120-dff9-4efe-b6c5-dcee50a73669","D17","BIGC","BIGC.AOS.fish.point.01","2018-10-15T22:28Z","2018-10-15T23:19Z",2,"BIGC.20181015.01","BIGC.20181015.01.2.e-fisher",11.2,9.6,211.7,"electrofisher","run","riffle",30,20,200,30,20,200,1513,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ed6fb1b5-cf17-42c7-91a6-2855cbc29c09","D17","BIGC","BIGC.AOS.fish.point.01","2018-10-15T23:54Z","2018-10-16T00:50Z",3,"BIGC.20181015.01","BIGC.20181015.01.3.e-fisher",11.3,9.5,208.7,"electrofisher","run","riffle",30,20,200,30,20,200,2024,0,,,,,,,,,"Not compromised",,,,,,"Y",
"277d21cd-0c6a-4447-bac7-8ffa19bd35df","D17","BIGC","BIGC.AOS.fish.point.02","2018-10-16T17:10Z","2018-10-16T18:42Z",1,"BIGC.20181016.02","BIGC.20181016.02.1.e-fisher",8.2,10.3,210.1,"electrofisher","run","riffle",30,20,200,30,20,200,3337,0,,,,,,,,,"Not compromised",,,,,,"Y","Some very large undercut banks that we couldn't fully access"
"41a24932-daf0-48fa-bd22-a8bbe274137b","D17","BIGC","BIGC.AOS.fish.point.03","2018-10-16T20:27Z","2018-10-16T21:40Z",1,"BIGC.20181016.03","BIGC.20181016.03.1.e-fisher",9.9,10.1,215.6,"electrofisher","run","riffle",30,20,200,30,20,200,3189,0,,,,,,,,,"Not compromised",,,,,,"Y",
"bf69ae24-8372-455d-bbac-9e0943d33a3c","D17","BIGC","BIGC.AOS.fish.point.04","2018-10-17T16:03Z","2018-10-17T17:15Z",1,"BIGC.20181017.04","BIGC.20181017.04.1.e-fisher",7.8,9.5,210.6,"electrofisher","run","riffle",30,20,200,30,20,200,2738,0,,,,,,,,,"Not compromised",,,,,,"Y",
"08d02baf-0af7-4acf-958e-ed5f70273d30","D17","BIGC","BIGC.AOS.fish.point.04","2018-10-17T18:32Z","2018-10-17T20:00Z",2,"BIGC.20181017.04","BIGC.20181017.04.2.e-fisher",8.9,9.2,213.1,"electrofisher","run","riffle",30,20,200,30,20,200,3871,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9c25ed25-2a4f-44c6-8d11-aa4cbf28e51d","D17","BIGC","BIGC.AOS.fish.point.04","2018-10-17T20:35Z","2018-10-17T21:40Z",3,"BIGC.20181017.04","BIGC.20181017.04.3.e-fisher",10.2,9.3,202.1,"electrofisher","run","riffle",30,20,200,30,20,200,2960,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d563ccf9-0f82-45bb-9d08-f39fc3b24904","D17","BIGC","BIGC.AOS.fish.point.06","2018-10-17T22:26Z","2018-10-18T00:00Z",1,"BIGC.20181017.06","BIGC.20181017.06.1.e-fisher",10.8,8.7,211.1,"electrofisher","run","riffle",30,20,200,30,20,200,3141,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9f726f52-eaec-493d-b864-945ada831a94","D17","BIGC","BIGC.AOS.fish.point.07","2018-10-18T15:35Z","2018-10-18T16:45Z",1,"BIGC.20181018.07","BIGC.20181018.07.1.e-fisher",8.0,9.7,213.0,"electrofisher","run","riffle",30,20,200,30,20,200,2692,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d080a30c-a672-43f2-abdb-324a080369a5","D17","BIGC","BIGC.AOS.fish.point.07","2018-10-18T18:05Z","2018-10-18T19:10Z",2,"BIGC.20181018.07","BIGC.20181018.07.2.e-fisher",8.9,9.6,213.1,"electrofisher","run","riffle",30,20,200,30,20,200,2604,0,,,,,,,,,"Not compromised",,,,,,"Y",
"98f2d939-0502-418a-8224-e2c404256714","D17","BIGC","BIGC.AOS.fish.point.07","2018-10-18T20:06Z","2018-10-18T21:03Z",3,"BIGC.20181018.07","BIGC.20181018.07.3.e-fisher",10.1,10.0,219.0,"electrofisher","run","riffle",30,20,200,30,20,200,2429,0,,,,,,,,,"Not compromised",,,,,,"Y",
