uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"cadd63d7-67d5-4133-945b-4cdc48c0fc0d","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,2,"SALFON","Salvelinus fontinalis","species",,,,121,18.9,,,,"juvenile","no sample",,,"Astimetz@battelleecology.org",
"4305e594-7146-4ea2-9ba0-fea0a33729e5","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,16,"SALFON","Salvelinus fontinalis","species",,,,182,68.4,,,,"adult","no sample",,,"Astimetz@battelleecology.org",
"5051d597-7bfc-40da-8104-c96afe1e244b","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,6,"SALFON","Salvelinus fontinalis","species",,,,78,6.7,,,,"young of year","no sample",,,"Astimetz@battelleecology.org",
"0a5bb52a-70f0-4340-a0a6-2d6a4da9465d","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,11,"SALFON","Salvelinus fontinalis","species",,,,212,106.5,,,,"adult","no sample",,,"Astimetz@battelleecology.org",
"89d9746f-2f68-41e7-974a-46a9b8d956f8","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,9,"SALFON","Salvelinus fontinalis","species",,,,193,72.4,,,,"adult","no sample",,,"Astimetz@battelleecology.org",
"af8aa45a-9cd6-4802-9bbc-f23e01845fb3","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,14,"SALFON","Salvelinus fontinalis","species",,,,83,7.8,,,,"young of year","no sample",,,"Astimetz@battelleecology.org",
"44b12957-7929-4971-a79a-29630ba01105","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,13,"SALFON","Salvelinus fontinalis","species",,,,133,25.3,,,,"juvenile","no sample",,,"Astimetz@battelleecology.org",
"cd6a44f3-f06a-4860-9a94-3b0229e30a20","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,17,"SALFON","Salvelinus fontinalis","species",,,,187,66.2,,,,"adult","no sample",,,"Astimetz@battelleecology.org",
"a119ebd1-ca87-48fe-851d-cec5e9cf0def","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,12,"SALFON","Salvelinus fontinalis","species",,,,161,,,,,"adult","no sample",,,"Astimetz@battelleecology.org",
"da4baec6-ca9a-48bb-8759-3587c09faf96","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,10,"SALFON","Salvelinus fontinalis","species",,,,182,66.1,,,,"adult","no sample",,,"Astimetz@battelleecology.org",
"658951ec-b7bd-4858-9bb7-9e26d57b940b","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,8,"SALFON","Salvelinus fontinalis","species",,,,95,7.8,,,,"juvenile","no sample",,,"Astimetz@battelleecology.org",
"55886acc-3402-42b0-b9c9-e4b0238943fc","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,4,"SALFON","Salvelinus fontinalis","species",,,,194,78.0,,,,"adult","no sample",,,"Astimetz@battelleecology.org",
"ae731c7e-35e6-4183-b0d4-a57473861208","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,3,"SALFON","Salvelinus fontinalis","species",,,,136,26.6,,,,"juvenile","no sample",,,"Astimetz@battelleecology.org",
"92a91c2b-98f5-4288-9606-198a514d337c","D12","BLDE","BLDE.AOS.fish.point.01","2018-09-17T17:05Z","2018-09-17T17:35Z","BLDE.20180917.01.1.e-fisher",1,7,"SALFON","Salvelinus fontinalis","species",,,,120,15.6,,,,"juvenile","no sample",,,"Astimetz@battelleecology.org",
