uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"4df99342-a6fd-4613-ac55-710caffe6ede","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,60,"MICDOL","Micropterus dolomieu","species",,,,141,30.3,,,,"juvenile","no sample",,,"cburton@battelleecology.org",
"85cb9f87-29f9-4192-ac03-286adc2a5f40","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,46,"NOTNOC","Noturus nocturnus","species",,,,60,2.5,,,,,"no sample",,,"cburton@battelleecology.org",
"f06e4416-e411-4767-903f-e3732abc9cfb","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,80,"CAMANO","Campostoma anomalum","species",,,,93,8.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"57953ae2-53b6-443f-a766-f5a43a7b5a3e","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,57,"ETHRAD","Etheostoma radiosum","species",,,,62,3.4,,,,"gravid female","no sample",,,"cburton@battelleecology.org",
"7f2c7d07-50a8-4e0a-8c0b-bd8d7adcbcc1","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,36,"ETHRAD","Etheostoma radiosum","species",,,,45,1.0,,,,"adult","no sample",,,"cburton@battelleecology.org","Hybrid ethspe"
"55963253-2b14-4750-9582-59237466d9ca","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,11,"LEPCYA","Lepomis cyanellus","species",,,,36,0.9,,,,"juvenile","no sample",,,"cburton@battelleecology.org",
"1c2a982c-c964-4e24-9889-8f67fd3f9206","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,15,"ETHRAD","Etheostoma radiosum","species",,,,51,1.3,,,,"adult","no sample",,,"cburton@battelleecology.org",
"d6bc3405-5b92-4e44-8d45-62a1faa6c22e","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,1,"ETHRAD","Etheostoma radiosum","species",,,,46,0.6,,,,,"no sample",,,"cburton@battelleecology.org",
"570b44ed-871b-456a-96e9-2259da4a50f0","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,77,"CAMANO","Campostoma anomalum","species",,,,87,6.4,,,,"adult","no sample",,,"cburton@battelleecology.org",
"0e480f79-7942-4c70-9408-20cfe836a554","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,20,"ETHRAD","Etheostoma radiosum","species",,,,41,0.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"f567fc82-bc02-4ad7-837a-37f1bdbd1286","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,78,"CYPVEN","Cyprinella venusta","species",,,,,0.7,,,,"adult","no sample",,,"cburton@battelleecology.org",
"33d5a54e-49ed-4715-bdbd-c69b94177ab6","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,13,"ETHRAD","Etheostoma radiosum","species",,,,63,2.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"4f0e7d87-26f2-46b7-b8a7-8f288082f475","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,3,"ETHRAD","Etheostoma radiosum","species",,,,49,1.1,,,,"adult","no sample",,,"cburton@battelleecology.org",
"37d27770-d832-4845-9e6c-b6cd2bc54652","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,23,"ETHRAD","Etheostoma radiosum","species",,,,58,2.4,,,,"adult","no sample",,,"cburton@battelleecology.org",
"28d4be75-d896-4486-a16b-183b5c932565","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,24,"ETHRAD","Etheostoma radiosum","species",,,,55,1.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"8e9efc66-0c75-4576-b477-6e9de94804f1","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,81,"LEPCYA","Lepomis cyanellus","species",,,,47,1.4,,,,"juvenile","no sample",,,"cburton@battelleecology.org",
"6f42a540-170b-40bb-809f-94050bc7ced4","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,9,"ETHRAD","Etheostoma radiosum","species",,,,62,2.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"93f29394-a546-4b58-923b-e8536bbcb12e","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,43,"ETHRAD","Etheostoma radiosum","species",,,,52,1.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"cfa882cc-62d9-4af2-9f24-558d442a1b9d","D11","BLUE","BLUE.AOS.fish.point.07","2018-04-09T06:35Z","2018-04-09T20:00Z","BLUE.20180409.07.1.e-fisher",1,75,"PIMNOT","Pimephales notatus","species",,,,37,0.3,,,,"adult","no sample",,,"cburton@battelleecology.org",
