uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"e614274c-90fa-4510-9f91-a39574dd4d6a","D19","CARI","CARI.AOS.fish.point.01","2016-09-26T20:00Z","2016-09-26T20:00Z",1,"CARI.20160926.01","CARI.20160926.01.1.e-fisher",1.2,13.7,,"electrofisher",,,40,30,400,40,30,400,1104,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"fc068b26-e1fc-4c07-b1bb-a634c198a238","D19","CARI","CARI.AOS.fish.point.01","2016-09-26T20:00Z","2016-09-26T20:00Z",2,"CARI.20160926.01","CARI.20160926.01.2.e-fisher",1.2,13.7,,"electrofisher",,,40,30,400,40,30,400,965,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"ee000d8d-6bc1-437d-b001-76e47187a9ce","D19","CARI","CARI.AOS.fish.point.01","2016-09-26T20:00Z","2016-09-26T20:00Z",3,"CARI.20160926.01","CARI.20160926.01.3.e-fisher",1.2,13.7,,"electrofisher",,,40,30,400,40,30,400,710,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"b51cde93-944a-4f94-8986-3156a65dc112","D19","CARI","CARI.AOS.fish.point.05","2016-09-27T20:00Z","2016-09-27T20:00Z",1,"CARI.20160927.05","CARI.20160927.05.1.e-fisher",1.2,13.2,43.9,"electrofisher",,,40,30,400,40,30,400,1730,0,,,,,,,,,"Not compromised",,,,,,"Y",
"4c3cca20-115a-41ab-96a7-9b334a7d1b28","D19","CARI","CARI.AOS.fish.point.02","2016-09-27T20:00Z","2016-09-27T20:00Z",1,"CARI.20160927.02","CARI.20160927.02.1.e-fisher",1.2,13.2,43.9,"electrofisher",,,40,30,400,40,30,400,497,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a13ab306-1e6d-4be2-baf5-6bafdd73b53f","D19","CARI","CARI.AOS.fish.point.06","2016-09-28T20:00Z","2016-09-28T20:00Z",1,"CARI.20160928.06","CARI.20160928.06.1.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,1078,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"840647c1-653c-465e-b097-e5c411ebf844","D19","CARI","CARI.AOS.fish.point.06","2016-09-28T20:00Z","2016-09-28T20:00Z",3,"CARI.20160928.06","CARI.20160928.06.3.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,340,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"b6c19f4b-9f34-40e5-80d3-ee89efd4979a","D19","CARI","CARI.AOS.fish.point.08","2016-09-28T20:00Z","2016-09-28T20:00Z",1,"CARI.20160928.08","CARI.20160928.08.1.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,1030,0,,,,,,,,,"Not compromised",,,,,,"Y",
"2561f9a2-ae3a-49bf-b217-520d235f4aee","D19","CARI","CARI.AOS.fish.point.06","2016-09-28T20:00Z","2016-09-28T20:00Z",2,"CARI.20160928.06","CARI.20160928.06.2.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,433,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"ddb6f9aa-ca83-4b13-860a-3d45f78d2e2c","D19","CARI","CARI.AOS.fish.point.10","2016-09-29T20:00Z","2016-09-29T20:00Z",3,"CARI.20160929.10","CARI.20160929.10.3.e-fisher",1.8,13.7,42.0,"electrofisher",,,40,30,400,40,30,400,605,0,,,,,,,,,"Not compromised",,,,,,"N","Pass collection start and end time total time for all 3 passes"
"601d0ce6-f82a-49af-af24-6421cc0813c0","D19","CARI","CARI.AOS.fish.point.10","2016-09-29T20:00Z","2016-09-29T20:00Z",1,"CARI.20160929.10","CARI.20160929.10.1.e-fisher",1.8,13.7,42.0,"electrofisher",,,40,30,400,40,30,400,994,0,,,,,,,,,"Not compromised",,,,,,"N","Pass collection start and end time total time for all 3 passes"
"d702cde8-4112-42ad-b529-9212500bd736","D19","CARI","CARI.AOS.fish.point.10","2016-09-29T20:00Z","2016-09-29T20:00Z",2,"CARI.20160929.10","CARI.20160929.10.2.e-fisher",1.8,13.7,42.0,"electrofisher",,,40,30,400,40,30,400,570,0,,,,,,,,,"Not compromised",,,,,,"N","Pass collection start and end time total time for all 3 passes"
