uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"aec8df7b-7a99-4a65-85fb-b01184acf015","D05","CRAM","CRAM.AOS.riparian.point.01","2018-10-08T23:13Z","2018-10-09T16:22Z",1,"CRAM.20181008.01","CRAM.20181008.01.1.fyke",11.5,11.3,20.4,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2018-10-08T23:14Z","2018-10-09T16:10Z",16.93,7.4,,"Y",
"c33af201-6657-47bc-b77b-7d8f933672e6","D05","CRAM","CRAM.AOS.riparian.point.02","2018-10-08T23:23Z","2018-10-09T17:02Z",1,"CRAM.20181008.02","CRAM.20181008.02.1.fyke",11.5,9.9,10.6,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2018-10-08T23:25Z","2018-10-09T16:45Z",17.33,3.7,,"Y",
"1cf1e236-6b56-4e69-ac29-9f2335e49cb1","D05","CRAM","CRAM.AOS.riparian.point.02","2018-10-09T00:10Z","2018-10-09T00:19Z",1,"CRAM.20181008.02","CRAM.20181008.02.1.e-fisher",11.5,11.8,10.8,"electrofisher","littoral",,45,20,450,45,20,450,364,0,,,,,,,,,"NA",,,,,,"Y",
"493d21b3-0fd6-4422-81af-70419857f0d2","D05","CRAM","CRAM.AOS.riparian.point.01","2018-10-09T00:37Z","2018-10-09T00:46Z",1,"CRAM.20181008.01","CRAM.20181008.01.1.e-fisher",11.4,10.3,10.9,"electrofisher","littoral",,45,20,500,45,20,500,400,0,,,,,,,,,"NA",,,,,,"Y",
"f7371019-4560-4e72-9fee-0d12f4b1aeb2","D05","CRAM","CRAM.AOS.riparian.point.08","2018-10-09T01:24Z","2018-10-09T01:35Z",1,"CRAM.20181008.08","CRAM.20181008.08.1.e-fisher",11.2,10.8,11.0,"electrofisher","littoral",,45,20,500,45,20,500,298,0,,,,,,,,,"NA",,,,,,"Y",
"5c38c453-995a-4a57-a331-5ec74e98f148","D05","CRAM","CRAM.AOS.riparian.point.06","2018-10-09T23:05Z","2018-10-10T18:24Z",1,"CRAM.20181008.06","CRAM.20181009.06.1.fyke",10.8,10.8,10.5,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2018-10-09T23:07Z","2018-10-10T18:14Z",19.12,2.7,,"Y",
"249fb865-d91a-4bc0-969f-d5cdaf91d1fb","D05","CRAM","CRAM.AOS.riparian.point.03","2018-10-09T23:23Z","2018-10-10T17:22Z",1,"CRAM.20181008.03","CRAM.20181009.03.1.fyke",11.0,9.3,10.9,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"<10% compromised","2018-10-09T23:26Z","2018-10-10T17:01Z",17.58,6.4,,"Y",
"bb26cac4-7a9a-49d0-b8e5-1d1d88acab8e","D05","CRAM","CRAM.AOS.riparian.point.01","2018-10-10T16:41Z","2018-10-10T17:55Z",1,"CRAM.20181008.01","CRAM.20181010.01.1.gill",10.6,11.3,10.5,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2018-10-10T16:41Z","2018-10-10T17:49Z",1.13,,8.3,"N",
"21251017-fd77-496b-a3ce-1180f7017fb9","D05","CRAM","CRAM.AOS.riparian.point.02","2018-10-10T16:48Z","2018-10-10T18:03Z",1,"CRAM.20181008.02","CRAM.20181010.02.1.gill",10.6,9.8,10.5,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2018-10-10T16:52Z","2018-10-10T17:59Z",1.12,,5.6,"N",
"8688a983-601d-4f72-8e17-304da4797221","D05","CRAM","CRAM.AOS.riparian.point.08","2018-10-10T23:25Z","2018-10-11T18:30Z",1,"CRAM.20181008.08","CRAM.20181010.08.1.fyke",9.8,9.8,10.8,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,">10% compromised","2018-10-10T23:27Z","2018-10-11T17:45Z",18.30,2.5,,"Y",
