uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"4dc5a463-f4bd-45d3-839b-f7f5acfe9e0d","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T12:30Z","2017-12-11T13:10Z","CUPE.20171211.03.1.e-fisher",1,5,"SICPUN","Sicydium punctatum","species",,,,87,5.8,,,,"juvenile","no sample",,,"mviggiano@battelleecology.org",
"76db6dba-00d6-4a18-b858-758652efd070","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T12:30Z","2017-12-11T13:10Z","CUPE.20171211.03.1.e-fisher",1,3,"SICPLU","Sicydium plumieri","species",,,"cf. species",145,26.6,,,,"juvenile","no sample",,,"mviggiano@battelleecology.org",
"bbe84ae6-266d-4d8a-af89-ba2b9bc2264b","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T12:30Z","2017-12-11T13:10Z","CUPE.20171211.03.1.e-fisher",1,4,"SICPLU","Sicydium plumieri","species",,,,160,41.6,,,,"adult","no sample",,,"mviggiano@battelleecology.org",
"f555c859-aba0-4bc4-ab5b-c2439f5fb61a","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T12:30Z","2017-12-11T13:10Z","CUPE.20171211.03.1.e-fisher",1,2,"AGOMON","Agonostomus monticola","species",,,,240,154.0,,,,"adult","no sample",,,"mviggiano@battelleecology.org",
"8556363f-3761-45de-bd5d-df875451f428","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T12:30Z","2017-12-11T13:10Z","CUPE.20171211.03.1.e-fisher",1,1,"AGOMON","Agonostomus monticola","species",,,,140,88.0,,,,"juvenile","no sample",,,"mviggiano@battelleecology.org",
"fa6367f9-8de2-414e-baf2-60ab1ed8a54f","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T14:00Z","2017-12-11T14:31Z","CUPE.20171211.03.2.e-fisher",2,1,"AGOMON","Agonostomus monticola","species",,,,125,21.4,,,,"juvenile","no sample",,,"mviggiano@battelleecology.org",
"0d0e84b0-0f8c-43a2-b80d-f90b2b55418b","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T15:05Z","2017-12-11T15:35Z","CUPE.20171211.03.3.e-fisher",3,2,"AGOMON","Agonostomus monticola","species",,,,172,57.3,,,,"adult","no sample",,,"mviggiano@battelleecology.org",
"56faa7c1-bc99-464c-aaa3-9815dea379cd","D04","CUPE","CUPE.AOS.fish.point.03","2017-12-11T15:05Z","2017-12-11T15:35Z","CUPE.20171211.03.3.e-fisher",3,1,"AGOMON","Agonostomus monticola","species",,,,147,35.8,,,,"adult","no sample",,,"mviggiano@battelleecology.org",
"aab3b012-cdce-4814-aeaa-d4b4b893c764","D04","CUPE","CUPE.AOS.fish.point.04","2017-12-11T17:20Z","2017-12-11T18:00Z","CUPE.20171211.04.1.e-fisher",1,4,"SICPLU","Sicydium plumieri","species",,,"cf. species",82,5.4,,,,"juvenile","no sample",,,"mviggiano@battelleecology.org",
"b2fcd3b8-d68c-4d8e-8aae-350a93db3674","D04","CUPE","CUPE.AOS.fish.point.04","2017-12-11T17:20Z","2017-12-11T18:00Z","CUPE.20171211.04.1.e-fisher",1,2,"AGOMON","Agonostomus monticola","species",,,"cf. subspecies",210,95.6,,,,"juvenile","no sample",,,"mviggiano@battelleecology.org",
