uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"d1cc0c39-2bab-446b-b66b-e7861ba5dffe","D04","CUPE","CUPE.AOS.fish.point.01","2018-11-26T13:00Z","2018-11-26T14:15Z",1,"CUPE.20181126.01","CUPE.20181126.01.1.e-fisher",22.3,9.7,310.3,"electrofisher","riffle","run",30,10,350,30,10,350,698,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 2 Atya scabra; 2 Atya innocus; 10 Atya lanipes; 52 Xiphocaris elongata; 18 Macrobrachium faustinum; 1 Macrobrachium carcinus; 4 Epilobocera sinuatifrons"
"07e6119f-1d78-403e-8f76-13bc5fda051f","D04","CUPE","CUPE.AOS.fish.point.02","2018-11-26T16:05Z","2018-11-26T17:00Z",1,"CUPE.20181126.02","CUPE.20181126.02.1.e-fisher",23.3,9.4,323.6,"electrofisher","riffle","run",30,10,350,30,10,350,1264,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 5 Atya scabra; 3 Atya innocus; 19 Atya lanipes; 51 Xiphocaris elongata; 26 Macrobrachium faustinum; 7 Macrobrachium carcinus; 4 Epilobocera sinuatifrons"
"4a8b7dfe-bd0d-48dd-92b2-05fc4ddcd1bd","D04","CUPE","CUPE.AOS.fish.point.03","2018-11-27T12:06Z","2018-11-27T13:30Z",1,"CUPE.20181127.03","CUPE.20181127.03.1.e-fisher",22.3,,330.7,"electrofisher","riffle","run",30,10,350,30,10,350,1411,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 14 Atya innocus; 15 Atya lanipes; 17 Xiphocaris elongata; 12 Macrobrachium faustinum; 2 Macrobrachium carcinus; 1 Epilobocera sinuatifrons"
"ff486bed-614e-405a-b7ad-85bb1e9058d1","D04","CUPE","CUPE.AOS.fish.point.03","2018-11-27T14:26Z","2018-11-27T15:25Z",2,"CUPE.20181127.03","CUPE.20181127.03.2.e-fisher",22.3,,330.7,"electrofisher","riffle","run",30,10,350,30,10,350,1300,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 4 Atya innocus; 10 Atya lanipes; 20 Xiphocaris elongata; 19 Macrobrachium faustinum; 2 Macrobrachium carcinus; 3 Epilobocera sinuatifrons"
"90483e7e-b88a-4b60-ab3e-98cdc2e569e9","D04","CUPE","CUPE.AOS.fish.point.03","2018-11-27T16:00Z","2018-11-27T17:27Z",3,"CUPE.20181127.03","CUPE.20181127.03.3.e-fisher",22.3,,330.7,"electrofisher","riffle","run",30,10,350,30,10,350,950,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 5 Atya innocus; 8 Atya lanipes; 21 Xiphocaris elongata; 10 Macrobrachium faustinum; 1 Macrobrachium carcinus; 1 Epilobocera sinuatifrons"
"d60d47ca-32c3-4dfc-a54a-2be00e9a8cfe","D04","CUPE","CUPE.AOS.fish.point.06","2018-11-28T12:28Z","2018-11-28T14:05Z",1,"CUPE.20181128.06","CUPE.20181128.06.1.e-fisher",22.4,,327.7,"electrofisher","riffle","run",30,10,350,30,10,350,1139,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 2 Atya scabra; 12 Atya innocus; 11 Atya lanipes; 65 Xiphocaris elongata; 25 Macrobrachium faustinum; 4 Macrobrachium carcinus; 5 Epilobocera sinuatifrons"
"12828e0b-b96c-4972-945f-ea11536440ad","D04","CUPE","CUPE.AOS.fish.point.06","2018-11-28T15:08Z","2018-11-28T15:10Z",2,"CUPE.20181128.06","CUPE.20181128.06.2.e-fisher",22.4,,327.7,"electrofisher","riffle","run",30,10,350,30,10,350,1237,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 2 Atya scabra; 9 Atya innocus; 11 Atya lanipes; 34 Xiphocaris elongata; 14 Macrobrachium faustinum; 3 Epilobocera sinuatifrons"
"684bb1a4-9360-47c3-b79b-6fecac345c66","D04","CUPE","CUPE.AOS.fish.point.06","2018-11-28T15:45Z","2018-11-28T16:15Z",3,"CUPE.20181128.06","CUPE.20181128.06.3.e-fisher",22.4,,327.7,"electrofisher","riffle","run",30,10,350,30,10,350,1021,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 1 Atya scabra; 5 Atya innocus; 4 Atya lanipes; 52 Xiphocaris elongata; 15 Macrobrachium faustinum"
"97b2a28f-8636-426e-932d-9401b645c195","D04","CUPE","CUPE.AOS.fish.point.07","2018-11-28T16:48Z","2018-11-28T18:00Z",1,"CUPE.20181128.07","CUPE.20181128.07.1.e-fisher",23.3,,327.7,"electrofisher","riffle","run",30,10,350,30,10,350,1347,0,,,,,,,,,"Not compromised",,,,,,"Y","collection of by catch: 6 Atya scabra; 7 Atya innocus; 16 Atya lanipes; 48 Xiphocaris elongata; 29 Macrobrachium faustinum; 2 Macrobrachium carcinus; 3 Epilobocera sinuatifrons"
"7bcf1161-ee0f-40ef-a442-0cf48b82032b","D04","CUPE","CUPE.AOS.fish.point.08","2018-11-29T12:43Z","2018-11-29T13:55Z",1,"CUPE.20181129.08","CUPE.20181129.08.1.e-fisher",22.3,10.7,318.1,"electrofisher","riffle","pool",30,10,400,30,10,400,1127,0,,,,,,,,,"Not compromised",,,,,,"Y","By catch collected: 3 Atya scabra; 16 Atya lanipes; 12 atya innocus; 30 Xiphocaris elongata; 4 Macrobrachium carcinus; 20 Macrobrachium faustinum; 2 Epilobocera sinuatifrons"
"0e4a9fcf-2b01-442a-9dff-c8bf7d6bc6bf","D04","CUPE","CUPE.AOS.fish.point.08","2018-11-29T14:39Z","2018-11-29T15:22Z",2,"CUPE.20181129.08","CUPE.20181129.08.2.e-fisher",22.3,10.7,318.1,"electrofisher","riffle","pool",30,10,400,30,10,400,845,0,,,,,,,,,"Not compromised",,,,,,"Y","By catch collected: 3 Atya scabra; 10 Atya lanipes; 8 atya innocus; 34 Xiphocaris elongata; 16 Macrobrachium faustinum; 7 Epilobocera sinuatifrons"
"c88ddf3b-cd4f-4dd3-a6e5-512413fc176e","D04","CUPE","CUPE.AOS.fish.point.08","2018-11-29T16:00Z","2018-11-29T16:30Z",3,"CUPE.20181129.08","CUPE.20181129.08.3.e-fisher",22.3,10.7,318.1,"electrofisher","riffle","pool",30,10,400,30,10,400,898,0,,,,,,,,,"Not compromised",,,,,,"Y","By catch collected: 5 Atya lanipes; 3 Atya innocus; 20 Xiphocaris elongata; 16 Macrobrachium faustinum; 3 Epilobocera sinuatifrons"
