uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"efcddc27-4b83-4343-9f85-7abf822d40bf","D04","GUIL","GUIL.AOS.fish.point.01","2018-02-05T14:01Z","2018-02-05T15:20Z",1,"GUIL.20180205.01","GUIL.20180205.01.1.e-fisher",19.2,9.5,218.2,"electrofisher","run","riffle",30,10,350,30,10,300,1166,0,,,,,,,,,"Not compromised",,,,,,"Y",
"75d22b99-6cc0-424f-b235-10eeb6f3f331","D04","GUIL","GUIL.AOS.fish.point.02","2018-02-06T12:36Z","2018-02-06T13:33Z",1,"GUIL.20180206.02","GUIL.20180206.02.1.e-fisher",19.6,8.2,220.2,"electrofisher","pool","riffle",30,10,350,30,10,350,674,0,,,,,,,,,"Not compromised",,,,,,"Y",
"58a03f38-e1ee-40fe-be6a-9c45a6f88358","D04","GUIL","GUIL.AOS.fish.point.02","2018-02-06T14:03Z","2018-02-06T14:46Z",2,"GUIL.20180206.02","GUIL.20180206.02.2.e-fisher",19.0,8.0,220.0,"electrofisher","pool","riffle",30,10,350,30,10,350,832,0,,,,,,,,,"Not compromised",,,,,,"Y",
"4a9ccb60-acbd-47c3-bb6f-bfe746b74e70","D04","GUIL","GUIL.AOS.fish.point.02","2018-02-06T14:55Z","2018-02-06T15:45Z",3,"GUIL.20180206.02","GUIL.20180206.02.3.e-fisher",19.0,8.0,220.0,"electrofisher","pool","riffle",30,10,350,30,10,350,818,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6a15ffe9-7496-49f7-a8f8-766ae203a1ec","D04","GUIL","GUIL.AOS.fish.point.03","2018-02-06T16:20Z","2018-02-06T17:00Z",1,"GUIL.20180206.03","GUIL.20180206.03.1.e-fisher",21.5,10.0,221.8,"electrofisher","riffle","run",30,10,350,30,10,350,817,0,,,,,,,,,"Not compromised",,,,,,"Y",
"79b1658d-d134-4406-9429-2eb1beec8fac","D04","GUIL","GUIL.AOS.fish.point.05","2018-02-07T12:59Z","2018-02-07T14:25Z",1,"GUIL.20180207.05","GUIL.20180207.05.1.e-fisher",20.0,9.0,222.9,"electrofisher","run","riffle",30,10,400,30,10,,1226,0,,,,,,,,,"Not compromised",,,,,,"Y",
"46307d53-bfc3-43f0-a201-955db45019eb","D04","GUIL","GUIL.AOS.fish.point.05","2018-02-07T15:44Z","2018-02-07T16:15Z",2,"GUIL.20180207.05","GUIL.20180207.05.2.e-fisher",20.0,8.0,222.0,"electrofisher","run","riffle",30,10,400,30,10,400,1445,0,,,,,,,,,"Not compromised",,,,,,"Y",
"66e00b53-3470-4a39-ac96-834c4c6627d6","D04","GUIL","GUIL.AOS.fish.point.05","2018-02-07T16:47Z","2018-02-07T17:21Z",3,"GUIL.20180207.05","GUIL.20180207.05.3.e-fisher",20.0,8.0,222.0,"electrofisher","run","riffle",30,10,400,30,,,1032,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c928b85d-e128-4a2b-a6a6-cafc745238cb","D04","GUIL","GUIL.AOS.fish.point.06","2018-02-07T17:52Z","2018-02-07T19:13Z",1,"GUIL.20180207.06","GUIL.20180207.06.1.e-fisher",22.6,9.2,217.0,"electrofisher","run","riffle",30,10,400,30,10,400,1163,0,,,,,,,,,"Not compromised",,,,,,"Y",
"667fd678-a3e2-4f88-9c02-38299c1ae489","D04","GUIL","GUIL.AOS.fish.point.09","2018-02-08T12:29Z","2018-02-08T13:35Z",1,"GUIL.20180208.09","GUIL.20180208.09.1.e-fisher",19.7,9.0,218.6,"electrofisher","riffle","run",30,10,400,30,10,400,1279,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a60322aa-b96a-4363-96b1-b6d041192445","D04","GUIL","GUIL.AOS.fish.point.09","2018-02-08T15:30Z","2018-02-08T15:50Z",2,"GUIL.20180208.09","GUIL.20180208.09.2.e-fisher",19.0,9.0,218.0,"electrofisher","riffle","run",30,10,400,30,10,400,696,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ef33d343-8e0d-4a46-b90e-1592af4a49c2","D04","GUIL","GUIL.AOS.fish.point.09","2018-02-08T16:20Z","2018-02-08T16:45Z",3,"GUIL.20180208.09","GUIL.20180208.09.3.e-fisher",19.0,9.0,218.0,"electrofisher","riffle","run",30,10,400,30,10,400,543,0,,,,,,,,,"Not compromised",,,,,,"Y",
