uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"f8a37685-89ff-45cb-a0cd-a6277009b23c","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T14:00Z","2019-02-11T15:00Z",1,"GUIL.20190211.02.1.e-fisher","POERET","Poecilia reticulata",,569,"actual",,"mviggiano@battelleecology.org",
"464457c9-da2a-4238-ae4c-cf331cd19931","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T14:00Z","2019-02-11T15:00Z",1,"GUIL.20190211.02.1.e-fisher","XIPHEL","Xiphophorus hellerii",,119,"actual",,"mviggiano@battelleecology.org",
"1470f32a-0c3f-4018-a39d-a6da29681480","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T17:09Z","2019-02-11T18:09Z",2,"GUIL.20190211.02.2.e-fisher","XIPHEL","Xiphophorus hellerii",,233,"actual",,"mviggiano@battelleecology.org",
"aeccde39-150b-46a9-94b0-8c023fb514d8","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T17:09Z","2019-02-11T18:09Z",2,"GUIL.20190211.02.2.e-fisher","POERET","Poecilia reticulata",,496,"actual",,"mviggiano@battelleecology.org",
"9c7fc704-8d1e-4a7b-b719-fee88e0e2adf","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T12:20Z","2019-02-12T13:40Z",1,"GUIL.20190212.05.1.e-fisher","POERET","Poecilia reticulata",,689,"actual",,"mviggiano@battelleecology.org",
"e9a3c338-5e04-48a4-99e1-30af4cdef6d7","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T12:20Z","2019-02-12T13:40Z",1,"GUIL.20190212.05.1.e-fisher","XIPHEL","Xiphophorus hellerii",,170,"actual",,"mviggiano@battelleecology.org",
"41c9f415-a2a1-43a7-9131-7ae8a2d2367e","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T15:10Z","2019-02-12T16:20Z",2,"GUIL.20190212.05.2.e-fisher","XIPHEL","Xiphophorus hellerii",,154,"actual",,"mviggiano@battelleecology.org",
"61c6e613-8af8-4408-aab2-93dae260eab4","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T15:10Z","2019-02-12T16:20Z",2,"GUIL.20190212.05.2.e-fisher","POERET","Poecilia reticulata",,460,"actual",,"mviggiano@battelleecology.org",
"f27c5eba-829a-47a3-b0cf-b23a39860205","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T17:00Z","2019-02-12T18:00Z",3,"GUIL.20190212.05.3.e-fisher","POERET","Poecilia reticulata",,342,"actual",,"mviggiano@battelleecology.org",
"03384fe4-fe74-4e09-98ab-a2c896f3df76","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T17:00Z","2019-02-12T18:00Z",3,"GUIL.20190212.05.3.e-fisher","XIPHEL","Xiphophorus hellerii",,94,,,"mviggiano@battelleecology.org",
"3110f58e-b4f1-4188-8937-e49fb18ef8fb","D04","GUIL","GUIL.AOS.fish.point.07","2019-02-13T13:54Z","2019-02-13T15:12Z",1,"GUIL.20190213.07.1.e-fisher","XIPHEL","Xiphophorus hellerii",,194,"actual",,"mviggiano@battelleecology.org",
"cea0058e-4da3-436a-8549-f1c222a3193d","D04","GUIL","GUIL.AOS.fish.point.07","2019-02-13T13:54Z","2019-02-13T15:12Z",1,"GUIL.20190213.07.1.e-fisher","POERET","Poecilia reticulata",,507,"actual",,"mviggiano@battelleecology.org",
"28cbc126-6fc5-4c55-ad5c-e626d4dae6c7","D04","GUIL","GUIL.AOS.fish.point.08","2019-02-13T17:15Z","2019-02-13T18:05Z",1,"GUIL.20190213.08.1.e-fisher","POERET","Poecilia reticulata",,218,"actual",,"mviggiano@battelleecology.org",
"9efeb5d4-54e3-4310-80cd-71c69fdd7269","D04","GUIL","GUIL.AOS.fish.point.08","2019-02-13T17:15Z","2019-02-13T18:05Z",1,"GUIL.20190213.08.1.e-fisher","XIPHEL","Xiphophorus hellerii",,67,"actual",,"mviggiano@battelleecology.org",
"58222d9a-120c-4e5d-a5fd-1c42d7cda6ab","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T12:00Z","2019-02-14T12:42Z",1,"GUIL.20190214.09.1.e-fisher","XIPHEL","Xiphophorus hellerii",,111,"actual",,"mviggiano@battelleecology.org",
"abe39fa5-4327-47d9-9ea6-99e81e99c9a0","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T12:00Z","2019-02-14T12:42Z",1,"GUIL.20190214.09.1.e-fisher","POERET","Poecilia reticulata",,251,"actual",,"mviggiano@battelleecology.org",
"6d14043a-ba3b-424b-839d-db5776fe96d1","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T13:45Z","2019-02-14T14:20Z",2,"GUIL.20190214.09.2.e-fisher","XIPHEL","Xiphophorus hellerii",,36,"actual",,"mviggiano@battelleecology.org",
"1476b71d-b6e5-4b01-814d-32c2ef09ef56","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T13:45Z","2019-02-14T14:20Z",2,"GUIL.20190214.09.2.e-fisher","POERET","Poecilia reticulata",,61,"actual",,"mviggiano@battelleecology.org",
"d345fe37-2152-4be1-9ba6-5ad5d5e31a06","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T14:50Z","2019-02-14T15:20Z",3,"GUIL.20190214.09.3.e-fisher","POERET","Poecilia reticulata",,38,"actual",,"mviggiano@battelleecology.org",
"6949a524-af58-4ffd-a756-fe4bb9434686","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T14:50Z","2019-02-14T15:20Z",3,"GUIL.20190214.09.3.e-fisher","XIPHEL","Xiphophorus hellerii",,16,"actual",,"mviggiano@battelleecology.org",
"a3d1fb85-7d70-40a2-b1eb-d19061c0d6d2","D04","GUIL","GUIL.AOS.fish.point.10","2019-02-14T16:01Z","2019-02-14T17:00Z",1,"GUIL.20190214.10.1.e-fisher","POERET","Poecilia reticulata",,102,"actual",,"mviggiano@battelleecology.org",
"26087126-84f0-4d06-8a4d-aa9fbad8f3bf","D04","GUIL","GUIL.AOS.fish.point.10","2019-02-14T16:01Z","2019-02-14T17:00Z",1,"GUIL.20190214.10.1.e-fisher","XIPHEL","Xiphophorus hellerii",,12,"actual",,"mviggiano@battelleecology.org",
