uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"4aa9948a-5c30-48c7-824e-06649804f9aa","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,68,"XIPHEL","Xiphophorus hellerii","species",,,,63,1.8,,,,"adult","no sample",,,"0000-0003-3491-5113",
"70dc4870-7c30-42aa-b38d-b48c796f5e06","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,80,"POERET","Poecilia reticulata","species",,,,25,0.3,,,,"adult","no sample",,,"0000-0003-3491-5113",
"623f655d-1249-41c9-b095-4b04cff29a49","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,31,"POERET","Poecilia reticulata","species",,,,27,0.3,,,,"adult","no sample",,,"0000-0003-3491-5113",
"350a938a-9e3f-4493-8635-77a8b300e365","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,51,"POERET","Poecilia reticulata","species",,,,22,0.3,,,,"adult","no sample",,,"0000-0003-3491-5113",
"fca2a6fa-b9ad-4246-8828-10b7c145019e","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,8,"XIPHEL","Xiphophorus hellerii","species",,,,56,5.6,,,,"adult","no sample",,,"0000-0003-3491-5113",
"c47e3192-72a0-4a59-84af-29174804e003","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,4,"XIPHEL","Xiphophorus hellerii","species",,,,54,1.4,,,,"adult","no sample",,,"0000-0003-3491-5113",
"a10afa55-c98a-4ae6-938d-b88101e07cd7","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,24,"POERET","Poecilia reticulata","species",,,,21,0.3,,,,"adult","no sample",,,"0000-0003-3491-5113",
"ed6026f4-6b2e-4d2b-b2fa-0295bea5b2c4","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,44,"POERET","Poecilia reticulata","species",,,,25,0.3,,,,"adult","no sample",,,"0000-0003-3491-5113",
"8d1982b5-0f54-4f6d-b0c3-821bfb9b5ba5","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,66,"XIPHEL","Xiphophorus hellerii","species",,,,40,0.9,,,,"adult","no sample",,,"0000-0003-3491-5113",
"eefee745-ba7d-40ed-aea0-9b62b2c1a065","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,34,"POERET","Poecilia reticulata","species",,,,14,0.3,,,,"juvenile","no sample",,,"0000-0003-3491-5113",
"4f0c1498-7eec-4fe8-88d7-a128219851bc","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,33,"POERET","Poecilia reticulata","species",,,,18,0.3,,,,"juvenile","no sample",,,"0000-0003-3491-5113",
"a1b43678-5c72-4f90-8b41-31951ddc885e","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,79,"POERET","Poecilia reticulata","species",,,,24,0.3,,,,"adult","no sample",,,"0000-0003-3491-5113",
"8bd15da0-7c61-4afb-966a-72317eb6615d","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,19,"XIPHEL","Xiphophorus hellerii","species",,,,48,1.2,,,,"juvenile","no sample",,,"0000-0003-3491-5113",
"e2ad61b3-a955-4959-b839-5ac693be5e49","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,23,"POERET","Poecilia reticulata","species",,,,25,0.3,,,,"juvenile","no sample",,,"0000-0003-3491-5113",
"4805c8e5-fc27-4d0e-ac93-4772bb022c7e","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,37,"XIPHEL","Xiphophorus hellerii","species",,,,27,0.3,,,,"juvenile","no sample",,,"0000-0003-3491-5113",
"61d2f214-c146-4046-b579-9c37bbf95057","D04","GUIL","GUIL.AOS.fish.point.02","2019-11-18T14:06Z","2019-11-18T15:23Z","GUIL.20191118.02.1.e-fisher",1,96,"XIPHEL","Xiphophorus hellerii","species",,,,47,1.2,,,,"adult","no sample",,,"0000-0003-3491-5113",
