uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"d4b549a5-b356-470a-a06a-46478f571b97","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,2,"SALFON","Salvelinus fontinalis","species",,,,155,33.3,,,,,"no sample",,,"rwilliams@battelleecology.org",
"3d94d825-6334-490e-bf78-3c83fef50650","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,11,"RHIATR","Rhinichthys atratulus","species",,,,32,0.6,,,,"juvenile","no sample",,,"rwilliams@battelleecology.org",
"fe38d7d6-e2a2-4f86-9296-1a66e149d0cc","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,14,"RHIATR","Rhinichthys atratulus","species",,,,37,0.6,,,,"juvenile","no sample",,,"rwilliams@battelleecology.org",
"9bdf1d7f-fdde-4280-9ee5-005bf7776b4d","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,17,"RHIATR","Rhinichthys atratulus","species",,,,17,0.3,,,,"young of year","no sample",,,"rwilliams@battelleecology.org",
"3fd3d31c-68bf-4d6f-8e5c-ebe8246678ae","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,9,"RHIATR","Rhinichthys atratulus","species",,,,33,0.3,,,,,"no sample",,,"rwilliams@battelleecology.org",
"5b31d327-2496-424d-a471-a98440896d51","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,5,"RHIATR","Rhinichthys atratulus","species",,,,55,1.3,"Eroded fins","Y",,"adult","voucher sample only","FSH.HOPB.04.20180430.1.0005",,"rwilliams@battelleecology.org",
"231c45f6-052f-40a2-8230-6d6116542828","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,13,"RHIATR","Rhinichthys atratulus","species",,,,30,0.3,,,,,"no sample",,,"rwilliams@battelleecology.org",
"f229ba0e-dafa-4af1-955f-157ca8e3cccd","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,8,"RHIATR","Rhinichthys atratulus","species",,,,78,4.9,,,,"adult","no sample",,,"rwilliams@battelleecology.org",
"78839db7-69cb-43f7-b969-3123b460a1fb","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,3,"RHIATR","Rhinichthys atratulus","species",,,,32,0.3,,,,,"no sample",,,"rwilliams@battelleecology.org",
"2b31577e-d890-47a0-a5f3-65e834ffea88","D01","HOPB","HOPB.AOS.fish.point.04","2018-04-30T15:19Z","2018-04-30T16:26Z","HOPB.20180430.04.1.e-fisher",1,7,"SEMATR","Semotilus atromaculatus","species",,,,96,9.9,,,,"adult","no sample",,,"rwilliams@battelleecology.org",
