uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"173efba3-21a6-43ae-aa15-2211d07f882b","D01","HOPB","HOPB.AOS.fish.point.01","2019-05-06T17:21Z","2019-05-06T18:54Z",1,"HOPB.20190506.01","HOPB.20190506.01.1.e-fisher",12.5,9.8,80.2,"electrofisher","riffle","pool",30,20,300,,,,3409,,,,,,,,,,"Not compromised",,,,,,"Y",
"4506aa44-7eba-4c2a-8b57-c8a528ad926c","D01","HOPB","HOPB.AOS.fish.point.03","2019-05-06T20:26Z","2019-05-06T22:00Z",1,"HOPB.20190506.03","HOPB.20190506.03.1.e-fisher",14.6,9.8,86.7,"electrofisher","riffle","pool",30,20,300,,,,2776,,,,,,,,,,"Not compromised",,,,,,"Y",
"ffd4e960-29d3-49a2-8c84-0ff2f17efb45","D01","HOPB","HOPB.AOS.fish.point.04","2019-05-07T13:54Z","2019-05-07T15:04Z",1,"HOPB.20190507.04","HOPB.20190507.04.1.e-fisher",10.1,11.5,90.1,"electrofisher","riffle","pool",30,20,300,,,,2357,,,,,,,,,,"<10% compromised",,,,,,"Y","Corner had small gap"
"8b50048f-d4a4-4bd4-814e-98f8ca729093","D01","HOPB","HOPB.AOS.fish.point.04","2019-05-07T16:08Z","2019-05-07T17:24Z",2,"HOPB.20190507.04","HOPB.20190507.04.2.e-fisher",12.1,10.8,90.1,"electrofisher","riffle","pool",30,20,300,,,,1986,,,,,,,,,,"Not compromised",,,,,,"Y",
"2efc7547-7ebf-4567-aa8e-768885b9ea47","D01","HOPB","HOPB.AOS.fish.point.04","2019-05-07T18:09Z","2019-05-07T19:22Z",3,"HOPB.20190507.04","HOPB.20190507.04.3.e-fisher",13.5,10.4,90.1,"electrofisher","riffle","pool",30,20,300,,,,2070,,,,,,,,,,"Not compromised",,,,,,"Y",
"15602b66-6ca6-4dc2-9b27-6c0038f5268e","D01","HOPB","HOPB.AOS.fish.point.06","2019-05-08T14:17Z","2019-05-08T14:51Z",1,"HOPB.20190508.06","HOPB.20190508.06.1.e-fisher",11.0,10.3,89.5,"electrofisher","riffle","pool",30,20,300,,,,1413,,,,,,,,,,"Not compromised",,,,,,"Y",
"f0253600-48f3-4933-a53f-d422209278dc","D01","HOPB","HOPB.AOS.fish.point.06","2019-05-08T15:20Z","2019-05-08T15:47Z",2,"HOPB.20190508.06","HOPB.20190508.06.2.e-fisher",11.9,10.6,89.6,"electrofisher","riffle","pool",30,20,300,,,,927,,,,,,,,,,"Not compromised",,,,,,"Y",
"68c35bec-8e11-4457-a032-beadabeb0a5c","D01","HOPB","HOPB.AOS.fish.point.06","2019-05-08T16:28Z","2019-05-08T17:00Z",3,"HOPB.20190508.06","HOPB.20190508.06.3.e-fisher",13.1,10.2,89.4,"electrofisher","riffle","pool",30,20,300,,,,945,,,,,,,,,,"<10% compromised",,,,,,"Y",
"d4acac52-28c1-41a7-8612-bae6d1b9de97","D01","HOPB","HOPB.AOS.fish.point.08","2019-05-08T18:15Z","2019-05-08T19:20Z",1,"HOPB.20190508.08","HOPB.20190508.08.1.e-fisher",14.7,9.4,89.1,"electrofisher","riffle","pool",30,20,300,,,,2356,,,,,,,,,,"Not compromised",,,,,,"Y",
"660ce568-4ba8-407f-a0ba-7ba8eae874bc","D01","HOPB","HOPB.AOS.fish.point.10","2019-05-09T15:09Z","2019-05-09T16:03Z",1,"HOPB.20190509.10","HOPB.20190509.10.1.e-fisher",10.1,10.8,92.0,"electrofisher","riffle","pool",30,20,300,,,,1852,,,,,,,,,,"Not compromised",,,,,,"Y",
"9544eefe-994f-4a53-b4e9-0788e786998a","D01","HOPB","HOPB.AOS.fish.point.10","2019-05-09T18:06Z","2019-05-09T19:16Z",2,"HOPB.20190509.10","HOPB.20190509.10.2.e-fisher",11.4,10.4,91.0,"electrofisher","riffle","pool",30,20,300,,,,1939,,,,,,,,,,"Not compromised",,,,,,"Y",
"88e72463-e6af-4461-afba-03a39b75677c","D01","HOPB","HOPB.AOS.fish.point.10","2019-05-09T20:01Z","2019-05-09T20:52Z",3,"HOPB.20190509.10","HOPB.20190509.10.3.e-fisher",12.1,10.1,92.7,"electrofisher","riffle","pool",30,20,300,,,,1443,,,,,,,,,,"Not compromised",,,,,,"Y",
