uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"0747ec21-a5dd-474e-a128-84d48bac78d6","D06","KING","KING.AOS.fish.point.01","2020-10-19T14:02Z","2020-10-19T15:31Z",1,"KING.20201019.01","KING.20201019.01.1.e-fisher",17.7,4.0,735.0,"electrofisher","run","pool",50,5,250,50,5,250,1116,0,,,,,,,,,"Not compromised",,,,,,"Y",
"35248c12-5092-4e63-977c-bfb1de4fc7a5","D06","KING","KING.AOS.fish.point.01","2020-10-19T20:49Z","2020-10-19T21:40Z",2,"KING.20201019.01","KING.20201019.01.2.e-fisher",12.4,5.3,750.0,"electrofisher","run","pool",50,5,250,50,5,250,1123,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e26534ff-91a1-44aa-8ff9-6b1417b6ee1c","D06","KING","KING.AOS.fish.point.01","2020-10-20T13:46Z","2020-10-20T14:45Z",3,"KING.20201019.01","KING.20201020.01.3.e-fisher",11.9,4.5,743.0,"electrofisher","run","pool",50,5,250,50,5,250,879,0,,,,,,,,,"Not compromised",,,,,,"Y",
"866a8c49-74db-47dc-bdb2-5545b4ce62af","D06","KING","KING.AOS.fish.point.03","2020-10-20T17:25Z","2020-10-20T18:00Z",1,"KING.20201020.03","KING.20201020.03.1.e-fisher",11.5,1.6,680.0,"electrofisher","run","pool",50,5,250,50,5,250,629,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a9f95523-a61e-48cd-9f9a-543d11d0a909","D06","KING","KING.AOS.fish.point.03","2020-10-20T20:34Z","2020-10-20T21:10Z",2,"KING.20201020.03","KING.20201020.03.2.e-fisher",12.3,2.0,686.0,"electrofisher","run","pool",50,5,250,50,5,250,637,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5e308bf1-e41f-45de-a40c-602b4410e047","D06","KING","KING.AOS.fish.point.03","2020-10-20T22:15Z","2020-10-20T22:35Z",3,"KING.20201020.03","KING.20201020.03.3.e-fisher",12.5,2.4,688.0,"electrofisher","run","pool",50,5,250,50,5,250,377,0,,,,,,,,,"Not compromised",,,,,,"Y",
"3bb4b739-371c-42a3-925a-ea5dccf430af","D06","KING","KING.AOS.fish.point.04","2020-10-21T14:30Z","2020-10-21T15:01Z",1,"KING.20201021.04","KING.20201021.04.1.e-fisher",9.5,3.0,649.0,"electrofisher","run","pool",50,5,250,50,5,250,424,0,,,,,,,,,"Not compromised",,,,,,"Y",
"b2ba2e42-9909-4ff5-8c07-a783f457fa7d","D06","KING","KING.AOS.fish.point.04","2020-10-21T17:21Z","2020-10-21T17:50Z",2,"KING.20201021.04","KING.20201021.04.2.e-fisher",9.7,2.6,664.0,"electrofisher","run","pool",50,5,250,50,5,250,441,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6d670484-a290-4bd8-9463-c295a84476fa","D06","KING","KING.AOS.fish.point.04","2020-10-21T19:11Z","2020-10-21T19:37Z",3,"KING.20201021.04","KING.20201021.04.3.e-fisher",10.2,2.5,663.0,"electrofisher","run","pool",50,5,250,50,5,250,451,0,,,,,,,,,"Not compromised",,,,,,"Y",
"dda74707-4c44-4c01-983b-db560308511d","D06","KING","KING.AOS.fish.point.06","2020-10-22T13:58Z","2020-10-22T14:21Z",1,"KING.20201022.06","KING.20201022.06.1.e-fisher",13.0,2.2,658.0,"electrofisher","run","pool",50,25,250,50,25,250,283,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9fe428c4-157f-4937-8982-4e136c598caa","D06","KING","KING.AOS.fish.point.07","2020-10-22T15:59Z","2020-10-22T16:18Z",1,"KING.20201022.07","KING.20201022.07.1.e-fisher",14.2,2.5,659.0,"electrofisher","run","pool",50,5,250,50,5,250,361,0,,,,,,,,,"Not compromised",,,,,,"Y",
