uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"ad8ea899-cc9e-4b9e-98b6-24a972fa3b1f","D07","LECO","LECO.AOS.fish.point.01","2019-04-10T14:36Z","2019-04-10T15:47Z",1,"LECO.20190410.01","LECO.20190410.01.1.e-fisher",11.1,10.1,20.1,"electrofisher","riffle","pool",30,10,400,30,10,500,2612,1,,,,,,,,,"Not compromised",,,,,,"Y",
"0a099f08-79ab-4698-86e0-9f3c289f22b1","D07","LECO","LECO.AOS.fish.point.01","2019-04-10T17:15Z","2019-04-10T17:57Z",2,"LECO.20190410.01","LECO.20190410.01.2.e-fisher",11.1,10.1,20.1,"electrofisher","riffle","pool",30,10,500,30,10,500,1587,0,,,,,,,,,"Not compromised",,,,,,"Y",
"cb216524-2f5e-4b95-be47-11715a58f738","D07","LECO","LECO.AOS.fish.point.01","2019-04-10T18:29Z","2019-04-10T18:59Z",3,"LECO.20190410.01","LECO.20190410.01.3.e-fisher",11.1,10.1,20.1,"electrofisher","riffle","pool",30,10,500,30,10,500,808,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a4865d6f-aae6-40a5-9ce0-311f01daabd2","D07","LECO","LECO.AOS.fish.point.02","2019-04-10T19:48Z","2019-04-10T21:12Z",1,"LECO.20190410.02","LECO.20190410.02.1.e-fisher",14.0,9.4,19.4,"electrofisher","riffle","pool",30,10,500,30,10,500,2449,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c64ed773-a03b-4ead-ba31-387261701cf3","D07","LECO","LECO.AOS.fish.point.04","2019-04-11T13:47Z","2019-04-11T15:23Z",1,"LECO.20190411.04","LECO.20190411.04.1.e-fisher",12.1,10.2,19.3,"electrofisher","riffle","pool",30,10,500,30,10,500,3464,0,,,,,,,,,"Not compromised",,,,,,"Y",
"faee336a-c2e8-4b42-b847-84ec1e4fd763","D07","LECO","LECO.AOS.fish.point.04","2019-04-11T16:31Z","2019-04-11T17:22Z",2,"LECO.20190411.04","LECO.20190411.04.2.e-fisher",12.1,10.2,19.3,"electrofisher","riffle","pool",30,10,500,30,10,500,2050,0,,,,,,,,,"Not compromised",,,,,,"Y",
"3d9ffa18-4934-4f76-9b34-090f35491fa2","D07","LECO","LECO.AOS.fish.point.04","2019-04-11T17:52Z","2019-04-11T18:26Z",3,"LECO.20190411.04","LECO.20190411.04.3.e-fisher",12.1,10.2,19.3,"electrofisher","riffle","pool",30,10,500,30,10,500,1469,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ebb0bbbd-ab00-4c89-b76f-8e9d1370dba9","D07","LECO","LECO.AOS.fish.point.05","2019-04-11T19:28Z","2019-04-11T21:18Z",1,"LECO.20190411.05","LECO.20190411.05.1.e-fisher",14.8,9.3,19.2,"electrofisher","riffle","pool",30,10,500,30,10,500,3442,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ba52e358-ac0e-4cb5-99d6-93a29e89df20","D07","LECO","LECO.AOS.fish.point.07","2019-04-12T14:22Z","2019-04-12T15:15Z",1,"LECO.20190412.07","LECO.20190412.07.1.e-fisher",13.3,10.1,18.5,"electrofisher","riffle","pool",30,10,500,30,10,500,2031,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e2eb3576-75a7-46b5-9ce5-523b0a0ba99d","D07","LECO","LECO.AOS.fish.point.10","2019-04-17T15:17Z","2019-04-17T16:20Z",1,"LECO.20190417.10","LECO.20190417.10.1.e-fisher",11.4,10.2,17.8,"electrofisher","riffle","pool",30,20,500,30,20,500,2434,0,,,,,,,,,"Not compromised",,,,,,"Y",
"58334767-1d97-4b63-9a97-82f48ccde01a","D07","LECO","LECO.AOS.fish.point.10","2019-04-17T16:54Z","2019-04-17T17:37Z",2,"LECO.20190417.10","LECO.20190417.10.2.e-fisher",11.4,10.2,17.8,"electrofisher","riffle","pool",30,20,500,30,20,500,1341,0,,,,,,,,,"Not compromised",,,,,,"Y",
"55b4c811-b70e-488c-a762-236115177884","D07","LECO","LECO.AOS.fish.point.10","2019-04-17T17:58Z","2019-04-17T18:23Z",3,"LECO.20190417.10","LECO.20190417.10.3.e-fisher",11.4,10.2,17.8,"electrofisher","riffle","pool",30,20,500,30,20,500,945,0,,,,,,,,,"Not compromised",,,,,,"Y",
