uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"e3a4233f-16fb-42e4-9728-b2878842ff11","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T14:16Z","2017-04-10T16:00Z",1,"LEWI.20170410.01.1.e-fisher","COTGIR","Cottus girardi",,127,"actual",,"jcoloso@battelleecology.org",
"c525cb7a-5149-4556-9b90-a56e10f6f2e0","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T16:00Z","2017-04-10T19:40Z",3,"LEWI.20170410.01.3.e-fisher","CLIFUN","Clinostomus funduloides",,12,"actual",,"jcoloso@battelleecology.org",
"6cf3d8cc-65ec-4b85-ae07-f48e66376238","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T16:00Z","2017-04-10T19:40Z",3,"LEWI.20170410.01.3.e-fisher","SEMATR","Semotilus atromaculatus",,27,"actual",,"jcoloso@battelleecology.org",
"a95181f7-4a5b-459e-afe9-137fa084a81f","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T16:00Z","2017-04-10T19:40Z",3,"LEWI.20170410.01.3.e-fisher","COTGIR","Cottus girardi",,114,"actual",,"jcoloso@battelleecology.org",
"b38bc823-353e-4ca8-a37c-3a23775885eb","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T16:00Z","2017-04-10T19:40Z",3,"LEWI.20170410.01.3.e-fisher","RHICAT","Rhinichthys cataractae",,24,"actual",,"jcoloso@battelleecology.org",
"a2d889f3-0966-4e2d-a8c8-274b4c67aa1e","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T17:33Z","2017-04-10T18:07Z",2,"LEWI.20170410.01.2.e-fisher","SEMATR","Semotilus atromaculatus",,43,"actual",,"jcoloso@battelleecology.org",
"56fe57f2-8726-453e-8112-8dfc2829df92","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T17:33Z","2017-04-10T18:07Z",2,"LEWI.20170410.01.2.e-fisher","RHICAT","Rhinichthys cataractae",,32,"actual",,"jcoloso@battelleecology.org",
"e0545dea-9f90-4b6e-a8e2-c0ce4bcd3a4a","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T17:33Z","2017-04-10T18:07Z",2,"LEWI.20170410.01.2.e-fisher","COTGIR","Cottus girardi",,181,"actual",,"jcoloso@battelleecology.org",
"210a4d99-fa5f-44ae-b60b-019d091662e8","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T12:37Z","2017-04-11T13:15Z",1,"LEWI.20170411.04.1.e-fisher","COTGIR","Cottus girardi",,54,"actual",,"jcoloso@battelleecology.org",
"f03061b0-74c7-43c1-909c-1ee09306e0f2","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T14:30Z","2017-04-11T15:15Z",2,"LEWI.20170411.04.2.e-fisher","RHICAT","Rhinichthys cataractae",,2,"actual",,"jcoloso@battelleecology.org",
"cbac875e-ed7c-4cd7-b824-78c24c75eb63","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T14:30Z","2017-04-11T15:15Z",2,"LEWI.20170411.04.2.e-fisher","COTGIR","Cottus girardi",,28,"actual",,"jcoloso@battelleecology.org",
"69522942-ea9f-41ce-8778-c23bb16e48a0","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T14:30Z","2017-04-11T15:15Z",2,"LEWI.20170411.04.2.e-fisher","CLIFUN","Clinostomus funduloides",,5,"actual",,"jcoloso@battelleecology.org",
"9321f54d-1030-40fd-a520-48c1904e27e0","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T16:20Z","2017-04-11T17:11Z",3,"LEWI.20170411.04.3.e-fisher","RHICAT","Rhinichthys cataractae",,13,"actual",,"jcoloso@battelleecology.org",
"ff592da8-3b7c-4874-af8a-0b4968742cfe","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T16:20Z","2017-04-11T17:11Z",3,"LEWI.20170411.04.3.e-fisher","COTGIR","Cottus girardi",,81,"actual",,"jcoloso@battelleecology.org",
"38aee8b9-b7b4-48b1-b52d-562deb0816ba","D02","LEWI","LEWI.AOS.fish.point.05","2017-04-11T18:16Z","2017-04-11T18:47Z",1,"LEWI.20170411.05.1.e-fisher","COTGIR","Cottus girardi",,48,"actual",,"jcoloso@battelleecology.org",
"5b9181a6-b1e4-4fbe-ad74-d847b894b53c","D02","LEWI","LEWI.AOS.fish.point.06","2017-04-12T13:40Z","2017-04-12T14:38Z",1,"LEWI.20170412.06.1.e-fisher","COTGIR","Cottus girardi",,24,"actual",,"jcoloso@battelleecology.org",
"a726f2e0-aad7-438f-af27-3ae9d350accb","D02","LEWI","LEWI.AOS.fish.point.07","2017-04-12T16:19Z","2017-04-12T17:19Z",1,"LEWI.20170412.07.1.e-fisher","COTGIR","Cottus girardi",,4,"actual",,"jcoloso@battelleecology.org",
"955d56ae-8827-473d-893f-54f7988f5783","D02","LEWI","LEWI.AOS.fish.point.09","2017-04-13T13:35Z","2017-04-13T14:02Z",1,"LEWI.20170413.09.1.e-fisher","COTGIR","Cottus girardi",,21,"actual",,"jcoloso@battelleecology.org",
"34504c9c-d0d0-431c-a556-bf5b97b927cf","D02","LEWI","LEWI.AOS.fish.point.09","2017-04-13T14:58Z","2017-04-13T15:29Z",2,"LEWI.20170413.09.2.e-fisher","COTGIR","Cottus girardi",,57,"actual",,"jcoloso@battelleecology.org",
"25e3656c-dbd1-45e6-81bf-d756670f45f9","D02","LEWI","LEWI.AOS.fish.point.09","2017-04-13T16:29Z","2017-04-13T17:09Z",3,"LEWI.20170413.09.3.e-fisher","COTGIR","Cottus girardi",,14,"actual",,"jcoloso@battelleecology.org",
"542205ec-0f77-45bf-89a0-b4ff02aaf22b","D02","LEWI","LEWI.AOS.fish.point.09","2017-04-13T16:29Z","2017-04-13T17:09Z",3,"LEWI.20170413.09.3.e-fisher","RHICAT","Rhinichthys cataractae",,13,"actual",,"jcoloso@battelleecology.org",
