uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"26ab12fe-84ca-487e-a64c-1e6f60c5b783","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T14:16Z","2017-04-10T16:00Z",1,"LEWI.20170410.01","LEWI.20170410.01.1.e-fisher",11.4,14.3,412.9,"electrofisher","run","riffle",30,10,200,30,10,200,1796,0,,,,,,,,,"Not compromised",,,,,,"Y",
"2db360c4-bd0a-405a-889b-040dbe49bdc6","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T16:00Z","2017-04-10T19:40Z",3,"LEWI.20170410.01","LEWI.20170410.01.3.e-fisher",11.4,14.3,412.9,"electrofisher","run","riffle",30,10,200,30,10,200,1718,0,,,,,,,,,"Not compromised",,,,,,"Y",
"41d47952-5823-440f-9e9c-d44c69166654","D02","LEWI","LEWI.AOS.fish.point.01","2017-04-10T17:33Z","2017-04-10T18:07Z",2,"LEWI.20170410.01","LEWI.20170410.01.2.e-fisher",11.4,14.3,412.9,"electrofisher","run","riffle",30,10,200,30,10,200,1853,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ae78dd6c-3511-47be-9388-27d1d34655b5","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T12:37Z","2017-04-11T13:15Z",1,"LEWI.20170411.04","LEWI.20170411.04.1.e-fisher",12.0,9.9,420.3,"electrofisher","riffle","run",30,10,200,30,10,200,770,0,,,,,,,,,"Not compromised",,,,,,"Y",
"64fa61ae-f1ad-4113-baac-04275b9a2fc7","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T14:30Z","2017-04-11T15:15Z",2,"LEWI.20170411.04","LEWI.20170411.04.2.e-fisher",12.0,9.9,420.3,"electrofisher","riffle","run",30,10,200,30,10,200,1301,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1dfed82c-00cb-440e-90e1-cfeb28109e26","D02","LEWI","LEWI.AOS.fish.point.04","2017-04-11T16:20Z","2017-04-11T17:11Z",3,"LEWI.20170411.04","LEWI.20170411.04.3.e-fisher",12.0,9.9,420.3,"electrofisher","riffle","run",30,10,200,30,10,200,1107,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d711ce28-f9a9-47f7-88c6-682aec44f154","D02","LEWI","LEWI.AOS.fish.point.05","2017-04-11T18:16Z","2017-04-11T18:47Z",1,"LEWI.20170411.05","LEWI.20170411.05.1.e-fisher",18.7,9.8,463.0,"electrofisher","run","riffle",30,10,200,30,10,200,789,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6571d1a3-17f8-4ec0-9d48-b06c24af5286","D02","LEWI","LEWI.AOS.fish.point.07","2017-04-11T18:18Z","2017-04-11T18:49Z",1,"LEWI.20170412.07","LEWI.20170412.07.1.e-fisher",17.0,11.6,425.0,"electrofisher","step pool",,30,10,200,30,10,200,1262,0,,,,,,,,,"Not compromised",,,,,,"Y",
"37bbd8c7-f874-4e83-8091-aad1da9358c4","D02","LEWI","LEWI.AOS.fish.point.06","2017-04-12T13:40Z","2017-04-12T14:38Z",1,"LEWI.20170412.06","LEWI.20170412.06.1.e-fisher",14.1,10.4,445.5,"electrofisher","run","riffle",30,10,250,30,10,250,1006,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1e148909-8fc6-487c-9017-c1aac1757ad1","D02","LEWI","LEWI.AOS.fish.point.09","2017-04-13T13:35Z","2017-04-13T14:02Z",1,"LEWI.20170413.09","LEWI.20170413.09.1.e-fisher",11.3,13.6,404.5,"electrofisher","run","riffle",30,10,200,30,10,200,731,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9266da9e-c2fc-43b0-9a0c-4937e84dbfe5","D02","LEWI","LEWI.AOS.fish.point.09","2017-04-13T14:58Z","2017-04-13T15:29Z",2,"LEWI.20170413.09","LEWI.20170413.09.2.e-fisher",11.3,13.6,404.5,"electrofisher","run","riffle",30,10,200,30,10,200,958,0,,,,,,,,,"Not compromised",,,,,,"Y",
"785d603d-4169-497d-932c-18108c6174f6","D02","LEWI","LEWI.AOS.fish.point.09","2017-04-13T16:29Z","2017-04-13T17:09Z",3,"LEWI.20170413.09","LEWI.20170413.09.3.e-fisher",11.3,13.6,404.5,"electrofisher","run","riffle",30,10,200,30,10,200,801,0,,,,,,,,,"Not compromised",,,,,,"Y",
