uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"a4166250-d518-45c4-b019-8c191e504356","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,14,"COTGIR","Cottus girardi","species",,,,69,3.8,,,,,"no sample",,,"0000-0003-3114-5862",
"ac688cb9-1ffe-40da-8f7b-9df394c56f21","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,9,"COTGIR","Cottus girardi","species",,,,35,0.5,,,,,"no sample",,,"0000-0003-3114-5862",
"97a79548-ac5e-4cf0-87e7-1815e6e8d490","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,69,"RHIATR","Rhinichthys atratulus","species",,,,65,3.0,,,,,"no sample",,,"0000-0003-3114-5862",
"42421451-4879-4b83-bfbe-a11c8c0956cb","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,60,"COTGIR","Cottus girardi","species",,,,35,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
"b740d005-48fd-4dcb-ae9e-86956f2ee1ce","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,22,"COTGIR","Cottus girardi","species",,,,35,0.5,,,,,"no sample",,,"0000-0003-3114-5862",
"f6820e7e-382b-4280-bb20-30a2aa6b337a","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,31,"COTGIR","Cottus girardi","species",,,,35,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
"303f0db4-6489-429a-b0c1-1e7bb630f820","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,56,"COTGIR","Cottus girardi","species",,,,37,0.6,,,,,"no sample",,,"0000-0003-3114-5862",
"a386fb2a-f6de-411b-aec1-fa48ba070a4a","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,10,"COTGIR","Cottus girardi","species",,,,33,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
"1c7eba0d-e6ac-4baf-a6b5-117fde3a1d04","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,21,"COTGIR","Cottus girardi","species",,,,54,2.5,,,,,"no sample",,,"0000-0003-3114-5862",
"c4fee7bd-147f-495c-bf8b-953eca705b0f","D02","LEWI","LEWI.AOS.fish.point.09","2019-11-01T12:47Z","2019-11-01T13:29Z","LEWI.20191101.09.1.e-fisher",1,23,"COTGIR","Cottus girardi","species",,,,37,0.6,,,,,"no sample",,,"0000-0003-3114-5862",
