uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"d9c289b3-be15-4a47-a219-8569f6dc542f","D05","LIRO","LIRO.AOS.riparian.point.10","2017-05-08T22:20Z","2017-05-09T17:20Z","LIRO.20170508.10.1.fyke",1,1,"MICSAL","Micropterus salmoides","species",,,,286,253.2,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"8341e601-eec1-4bbd-a982-3cc83c8930c0","D05","LIRO","LIRO.AOS.riparian.point.10","2017-05-08T22:20Z","2017-05-09T17:20Z","LIRO.20170508.10.1.fyke",1,2,"PERFLA","Perca flavescens","species",,,,184,98.7,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"ba8f5e49-1bc2-48aa-8d61-7d1c5489db1f","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-08T22:45Z","2017-05-09T17:45Z","LIRO.20170508.02.1.fyke",1,2,"MICSAL","Micropterus salmoides","species",,,,270,219.7,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"002150cb-e487-430f-ae67-7ac5f69cbebf","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-08T22:45Z","2017-05-09T17:45Z","LIRO.20170508.02.1.fyke",1,3,"MICSAL","Micropterus salmoides","species",,,,360,120.8,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"c8501f52-ad8d-45b5-aec6-04bdb948e1fd","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-08T22:45Z","2017-05-09T17:45Z","LIRO.20170508.02.1.fyke",1,1,"MICSAL","Micropterus salmoides","species",,,,250,166.9,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"543c1810-e662-4134-bbf1-21bf2262b9a6","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,12,"UMBLIM","Umbra limi","species",,,,55,1.7,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"86f9c52d-0214-4bf1-969f-a255e9c13307","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,18,"UMBLIM","Umbra limi","species",,,,47,0.9,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"4a8f9725-fcea-4c5a-93e5-3cafd9540563","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,19,"UMBLIM","Umbra limi","species",,,,62,2.5,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"e4b42cdf-b2d1-4e00-b42c-7c375c1a994b","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,11,"POMNIG","Pomoxis nigromaculatus","species",,,,46,1.2,,"N","N","juvenile","no sample",,,"jhudson@battelleecology.org",
"a64661d5-84f7-41ee-8ec4-8050ae090ddf","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,4,"UMBLIM","Umbra limi","species",,,,49,1.8,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"61321188-ad5e-4ae4-b069-c8aecab758ef","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,2,"UMBLIM","Umbra limi","species",,,,43,0.8,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"7d929b28-a270-46b7-abee-2441c50c0db0","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,20,"UMBLIM","Umbra limi","species",,,,75,4.0,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"c0a24346-0759-4f26-800d-bcb9ce2e0d4a","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,10,"UMBLIM","Umbra limi","species",,,,48,1.2,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"5b42256a-e5d1-4619-be5d-389527ba1fed","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,21,"UMBLIM","Umbra limi","species",,,,45,0.8,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
"61ede1e6-e7e9-4b2d-b8ea-7910a7de6171","D05","LIRO","LIRO.AOS.riparian.point.02","2017-05-09T02:50Z","2017-05-09T03:35Z","LIRO.20170508.02.1.e-fisher",1,13,"UMBLIM","Umbra limi","species",,,,56,1.6,,"N","N","adult","no sample",,,"jhudson@battelleecology.org",
