uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"40bc095a-ec55-4dd7-9fb7-15bf0717363c","D05","LIRO","LIRO.AOS.riparian.point.01","2018-09-17T17:33Z","2018-09-17T18:35Z",1,"LIRO.20180917.01","LIRO.20180917.01.1.gill",21.1,8.9,10.9,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-17T17:33Z","2018-09-17T18:35Z",1.03,,6.0,"N",
"ea2048e7-e97b-4bf1-b22c-be066372f3c4","D05","LIRO","LIRO.AOS.riparian.point.06","2018-09-18T01:11Z","2018-09-18T01:29Z",1,"LIRO.20180917.06","LIRO.20180917.06.1.e-fisher",22.1,8.0,8.9,"electrofisher","littoral",,50,30,700,50,30,700,603,0,,,,,,,,,"NA",,,,,,"Y",
"c18a3d84-39de-4b1a-a512-ec5bcfe11027","D05","LIRO","LIRO.AOS.riparian.point.01","2018-09-18T02:35Z","2018-09-18T02:48Z",1,"LIRO.20180917.01","LIRO.20180917.01.1.e-fisher",22.4,8.9,9.1,"electrofisher","littoral",,50,30,700,50,30,700,587,0,,,,,,,,,"NA",,,,,,"Y",
"8ee9d1de-385c-42ac-8789-77876c1f6edc","D05","LIRO","LIRO.AOS.riparian.point.07","2018-09-19T13:51Z","2018-09-20T01:42Z",3,"LIRO.20180919.07","LIRO.20180919.07.3.e-fisher",19.0,7.0,9.0,"electrofisher","littoral",,70,30,700,70,30,700,469,0,,,,,,,,,"Not compromised",,,,,,"Y",
"20a20204-ac0d-4e70-95cb-3589ac076904","D05","LIRO","LIRO.AOS.riparian.point.09","2018-09-19T23:30Z","2018-09-20T12:22Z",1,"LIRO.20180919.09","LIRO.20180919.09.1.fyke",19.9,8.4,8.3,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,">10% compromised","2018-09-19T23:30Z","2018-09-20T12:13Z",12.72,5.0,,"N",
"659f1993-3489-4aa0-b2d5-4f30a8d53d90","D05","LIRO","LIRO.AOS.riparian.point.07","2018-09-20T00:06Z","2018-09-20T00:21Z",1,"LIRO.20180919.07","LIRO.20180919.07.1.e-fisher",19.9,7.1,9.5,"electrofisher","littoral",,50,30,700,50,30,700,571,0,,,,,,,,,"Not compromised",,,,,,"Y",
"4e5d12a2-5bb0-41aa-b20b-0df755b84445","D05","LIRO","LIRO.AOS.riparian.point.02","2018-09-21T12:45Z","2018-09-21T15:00Z",1,"LIRO.20180919.02","LIRO.20180921.02.1.gill",18.9,7.9,6.2,"gill net","pelagic",,,,,,,,,,,,,,,,,,"<10% compromised","2018-09-21T12:50Z","2018-09-21T14:50Z",2.00,,3.3,"N",
"d87f9424-e3dc-4a90-936f-af168c610d03","D05","LIRO","LIRO.AOS.riparian.point.02","2018-09-21T12:45Z","2018-09-21T15:00Z",1,"LIRO.20180921.02","LIRO.20180921.02.1.gill",18.9,7.9,6.2,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-21T12:50Z","2018-09-21T14:56Z",2.10,,3.3,"N",
"e1024bc6-93a9-4e06-91d6-62577f73be05","D05","LIRO","LIRO.AOS.riparian.point.09","2018-09-21T12:50Z","2018-09-21T15:16Z",1,"LIRO.20180919.09","LIRO.20180921.09.1.gill",19.0,8.3,6.0,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-21T12:58Z","2018-09-21T15:14Z",2.27,,5.2,"N",
"ed1572a9-4f68-4a0c-8391-d91c2f848412","D05","LIRO","LIRO.AOS.riparian.point.01","2018-09-21T13:15Z","2018-09-22T14:13Z",1,"LIRO.20180917.01","LIRO.20180921.01.1.fyke",19.2,7.3,6.7,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"<10% compromised","2018-09-20T23:06Z","2018-09-21T13:15Z",14.15,4.3,,"Y",
