uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"c7efcf23-8bed-4f61-ac1b-49ee68cc0818","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,1,"NOCLEP","Nocomis leptocephalus","species",,"speckled madtom",,75,4.7,,"N","N",,"no sample",,,"ctran@battelleecology.org","Photo number: 0342-Lateral, 0343-Ventral"
"24872162-4499-432a-ad69-51fb8a63b447","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,46,"NOTBAI","Notropis baileyi","species",,,"cf. species",57,7.8,,"N","N",,"no sample",,,"ctran@battelleecology.org","Photo number: 0367-Lateral, 0365-0366-Ventral"
"103e93dc-19a3-4c18-9443-403b8fdbce9a","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,37,"NOTBAI","Notropis baileyi","species",,,"cf. species",61,2.7,,"N","N",,"no sample",,,"ctran@battelleecology.org",
"0a12c02f-48cb-4769-9fad-6e5abb26835e","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,25,"NOTBAI","Notropis baileyi","species",,,"cf. species",46,0.8,,"N","N",,"no sample",,,"ctran@battelleecology.org",
"fba6fcb0-9838-4068-9cb2-5366386735d7","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,8,"LAMAEP","Lampetra aepyptera","species",,,,115,2.6,,"N","N",,"no sample",,,"ctran@battelleecology.org",
"dc678021-d4c7-4406-b72e-a66ca265d3e0","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,32,"NOTBAI","Notropis baileyi","species",,,"cf. species",45,0.9,,"N","N",,"no sample",,,"ctran@battelleecology.org",
"5c125f86-1e8e-4ca7-b273-4800af936c29","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,4,"LAMAEP","Lampetra aepyptera","species",,,,80,1.0,,"N","N",,"no sample",,,"ctran@battelleecology.org",
"e800526a-3d70-4125-a172-a902fbfb8c5a","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,29,"NOTBAI","Notropis baileyi","species",,,"cf. species",41,0.8,,"N","N",,"no sample",,,"ctran@battelleecology.org",
"7c1bcbe5-2a83-4cc6-90c7-9a52c3099142","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,9,"LAMAEP","Lampetra aepyptera","species",,,,131,3.2,,"N","N",,"no sample",,,"ctran@battelleecology.org",
"a163af9a-327a-4774-a705-2de5dd9c962b","D08","MAYF","MAYF.AOS.fish.point.02","2016-04-05T15:30Z","2016-04-05T17:15Z","MAYF.20160405.02.1.e-fisher",1,33,"NOTBAI","Notropis baileyi","species",,,"cf. species",31,0.3,,"N","N",,"no sample",,,"ctran@battelleecology.org",
