uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"e5dce5a1-78a4-4a5a-8fe9-a23b33aca427","D08","MAYF","MAYF.AOS.fish.point.01","2019-11-18T15:22Z","2019-11-18T18:13Z",1,"MAYF.20191118.01.1.e-fisher","CYPSPP3","Cyprinidae spp.",,34,"actual",,"0000-0002-9743-3915","larval fish-cannot identify. 16 died in bucket from stress-not due to e-fishing"
"05ad6c16-b06f-4eb0-8528-53ec283f527d","D08","MAYF","MAYF.AOS.fish.point.01","2019-11-18T15:22Z","2019-11-18T18:13Z",1,"MAYF.20191118.01.1.e-fisher","NOTBAI","Notropis baileyi",,34,"actual",,"0000-0002-9743-3915",
"10113a89-8150-47e6-b0cd-d45051bf469e","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T14:30Z","2019-11-19T15:54Z",1,"MAYF.20191119.02.1.e-fisher","CYPSPP3","Cyprinidae spp.",,34,"actual",,"0000-0002-9743-3915","Larval/YOY"
"054759ce-a476-4e76-aca1-b6d1010779e1","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T14:30Z","2019-11-19T15:54Z",1,"MAYF.20191119.02.1.e-fisher","NOTBAI","Notropis baileyi",,10,"actual",,"0000-0002-9743-3915",
"67bba615-c061-402d-91a4-833b5827eede","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T16:39Z","2019-11-19T18:03Z",2,"MAYF.20191119.02.2.e-fisher","CYPSPP3","Cyprinidae spp.",,22,"actual","cf. variety","0000-0002-9743-3915","Larval/YOY fish. Too small to ID species"
"5b8bfe1b-fa91-4995-bb90-3332260f077f","D08","MAYF","MAYF.AOS.fish.point.02","2019-11-19T20:10Z","2019-11-19T20:12Z",3,"MAYF.20191119.02.3.e-fisher","CYPSPP3","Cyprinidae spp.",,10,"actual",,"0000-0002-9743-3915","Larval fish too small to ID with certainty"
"36f7e495-1dd0-46e3-89b0-07f4f9e6251c","D08","MAYF","MAYF.AOS.fish.point.03","2019-11-20T13:45Z","2019-11-20T15:29Z",1,"MAYF.20191120.03.1.e-fisher","CYPSPP3","Cyprinidae spp.",,9,"actual",,"0000-0002-9743-3915","Leucisidae group. Larval cannot ID"
"9d471a58-a267-4a3a-a28a-b9ad61f20dd9","D08","MAYF","MAYF.AOS.fish.point.07","2019-11-20T17:03Z","2019-11-20T18:04Z",1,"MAYF.20191120.07.1.e-fisher","CYPSPP3","Cyprinidae spp.",,24,"actual",,"0000-0002-9743-3915","Larval"
"da3869a0-9058-4fe8-aec2-239d70ba7ece","D08","MAYF","MAYF.AOS.fish.point.07","2019-11-20T18:52Z","2019-11-20T19:44Z",2,"MAYF.20191120.07.2.e-fisher","CYPSPP3","Cyprinidae spp.",,5,,,"0000-0002-9743-3915","Larval"
"2e8f1f98-1cbf-4458-b0cf-2592ae726b44","D08","MAYF","MAYF.AOS.fish.point.07","2019-11-20T20:17Z","2019-11-20T20:59Z",3,"MAYF.20191120.07.3.e-fisher","CYPSPP3","Cyprinidae spp.",,7,,,"0000-0002-9743-3915","Larval/YOY"
"592d178e-8776-4baa-a071-e56694f5359d","D08","MAYF","MAYF.AOS.fish.point.08","2019-11-21T13:42Z","2019-11-21T15:24Z",1,"MAYF.20191121.08.1.e-fisher","CYPSPP3","Cyprinidae spp.",,9,,,"0000-0002-9743-3915","Larval- too small"
"5fc24c41-d307-459b-a0ba-ba32cbb52b23","D08","MAYF","MAYF.AOS.fish.point.09","2019-11-21T16:15Z","2019-11-21T17:08Z",1,"MAYF.20191121.09.1.e-fisher","CYPSPP3","Cyprinidae spp.",,2,"actual",,"0000-0002-9743-3915","Larval"
