uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"6625bbc6-ca8b-48fc-8a37-199e4c33590a","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,26,"ETHSPE","Etheostoma spectabile","species",,,,42,0.8,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"85ce1fa6-ca9c-4d3f-9b35-2d6d27b2332e","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,9,"ETHSPE","Etheostoma spectabile","species",,,,35,0.3,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"6454f2cc-237a-45bc-8446-55b06a36c5f6","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,37,"SEMATR","Semotilus atromaculatus","species","D06.MCDI.2017.MorphA",,,115,16.9,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"f8a1c1a4-16ef-4655-a282-93782f018f3a","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,50,"ETHSPE","Etheostoma spectabile","species",,,,51,1.2,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"3e96b605-7df7-4d5c-a000-41fd47da29a3","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,6,"CAMANO","Campostoma anomalum","species",,,,58,3.1,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"43bc8758-010b-4583-983f-cc672824700f","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,51,"NOTEXI","Noturus exilis","species",,,,54,1.2,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"dedba294-0a36-4622-b6be-174ecaa1dace","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,31,"ETHSPE","Etheostoma spectabile","species",,,,52,1.4,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"a4286d8e-db89-491b-ad55-5902fe066f96","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,64,"CAMANO","Campostoma anomalum","species",,,,86,6.5,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"f036a32e-7f8b-44bd-981c-67bb6d10722b","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,5,"ETHSPE","Etheostoma spectabile","species",,,,36,0.6,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"a4c02448-def2-49d0-bf52-0f882450dde9","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,54,"ETHSPE","Etheostoma spectabile","species",,,,48,1.1,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"2b155933-2fcd-4124-9522-dd392b000318","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,12,"CAMANO","Campostoma anomalum","species",,,,69,4.1,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"e9c75a64-b4cd-4c46-8cbc-53dee1c7b94a","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,41,"ETHSPE","Etheostoma spectabile","species",,,,54,1.4,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"06c5c41c-6d81-476c-bd44-c4a7aa06f87c","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,45,"ETHSPE","Etheostoma spectabile","species",,,,36,0.3,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"952bb1d7-b08e-4c41-a855-f631174b5a8e","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,7,"ETHSPE","Etheostoma spectabile","species",,,,54,1.7,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"060df306-d353-473b-af77-84cdba406ca1","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,36,"ETHSPE","Etheostoma spectabile","species",,,,37,0.3,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"37ba5b6f-0b50-4e73-af3e-4d8f33f928ac","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,76,"ETHSPE","Etheostoma spectabile","species",,,,36,0.3,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"898444f3-4672-4800-87cb-b8c06d28a661","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,62,"ETHSPE","Etheostoma spectabile","species",,,,35,0.3,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"7f632808-1c3a-4a10-9196-966c0ae5350e","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,38,"NOTEXI","Noturus exilis","species",,,,82,4.9,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"415ebe45-46c3-426f-8b41-f74ec39e4dea","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,74,"CAMANO","Campostoma anomalum","species",,,,57,2.1,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"c5cd94c0-cf8c-4567-92a2-fef69a9a72ae","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,66,"ETHSPE","Etheostoma spectabile","species",,,,35,6.4,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"6045d8ea-f7ac-4d05-8baf-5ecdb2261dca","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,63,"ETHSPE","Etheostoma spectabile","species",,,,46,1.0,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"f19fc85c-5528-409b-b2d6-f323b495da65","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,49,"ETHSPE","Etheostoma spectabile","species",,,,40,0.5,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"ad518a31-acbe-4518-9ba1-7cd8a0fc4717","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,59,"NOTEXI","Noturus exilis","species",,,,47,0.8,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"ef95c5c3-031d-41ef-b3ee-e5e5761ccbf6","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,15,"LEPCYA","Lepomis cyanellus","species",,,,95,12.1,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"278c8f11-a223-4031-9c63-77fce7b436db","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,55,"ETHSPE","Etheostoma spectabile","species",,,,56,1.9,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"9092e0c2-5226-4181-bad9-aaa00d46784f","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,10,"ETHSPE","Etheostoma spectabile","species",,,,38,0.5,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"3987f35d-717a-4436-8538-43c2fc1b803c","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,20,"NOTEXI","Noturus exilis","species",,,,51,1.1,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"16927236-e07e-485a-9220-39f3663f18e9","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,14,"SEMATR","Semotilus atromaculatus","species","D06.MCDI.2017.MorphA",,,40,0.5,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"928fcab8-418f-40a8-9c14-bd2e68b45165","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,77,"ETHSPE","Etheostoma spectabile","species",,,,31,0.6,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"775de171-7d4b-4568-8701-1a82102db2a5","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,44,"CAMANO","Campostoma anomalum","species",,,,60,2.1,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
"18b2a7f0-eea5-43f8-9bf5-cb9f69806077","D06","MCDI","MCDI.AOS.fish.point.02","2017-04-19T16:45Z","2017-04-19T18:45Z","MCDI.20170419.02.1.e-fisher",1,61,"ETHSPE","Etheostoma spectabile","species",,,,32,0.3,,"N","N",,"no sample",,,"mviggiano@battelleecology.org",
