uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"cac2405a-3a8c-48aa-afd5-2dde639b53fa","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,16,"ONCCLA9","Oncorhynchus clarki","species",,,,146,24.9,,,,"juvenile","no sample",,,"0000-0002-2568-9700",
"c90c162d-b855-4f41-b0fd-31df87c3001f","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,1,"ONCCLA9","Oncorhynchus clarki","species",,,,56,1.5,,,,"young of year","no sample",,,"0000-0002-2568-9700",
"baa9bb6d-a3a8-46ce-9054-354126268e8b","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,4,"ONCCLA9","Oncorhynchus clarki","species",,,,127,17.2,,,,"juvenile","no sample",,,"0000-0002-2568-9700",
"a7303179-c4cd-4ae0-9d5d-2217930522d7","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,12,"ONCCLA9","Oncorhynchus clarki","species",,,,147,23.7,,,,"juvenile","no sample",,,"0000-0002-2568-9700",
"6e1f7937-0a82-460a-aa4f-d7b6d33552bd","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,10,"ONCCLA9","Oncorhynchus clarki","species",,,,122,13.9,,,,"juvenile","no sample",,,"0000-0002-2568-9700",
"f5e41de9-e2b9-431e-8f43-74352e13639c","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,27,"ONCCLA9","Oncorhynchus clarki","species",,,,45,1.4,,,,"young of year","no sample",,,"0000-0002-2568-9700",
"04f77aae-4e13-416a-a7ae-a6e296c87eae","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,21,"ONCCLA9","Oncorhynchus clarki","species",,,,40,0.6,,,,"young of year","no sample",,,"0000-0002-2568-9700",
"aa9b2511-a532-4dd4-b6ff-188a57d47dbf","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,11,"ONCCLA9","Oncorhynchus clarki","species",,,,86,5.5,,,,"juvenile","no sample",,,"0000-0002-2568-9700",
"91835a6d-6ae9-4749-b122-c18a5b10f69d","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,22,"ONCCLA9","Oncorhynchus clarki","species",,,,38,0.5,,,,"young of year","no sample",,,"0000-0002-2568-9700",
"fe1f9aab-993c-4ac7-a5f5-a5222f2899ea","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z","MCRA.20191007.01.1.e-fisher",1,8,"ONCCLA9","Oncorhynchus clarki","species",,,,79,4.2,,,,"juvenile","no sample",,,"0000-0002-2568-9700",
