uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"a557ba30-cf9b-44cf-9db5-6b0c1593d5ab","D16","MCRA","MCRA.AOS.fish.point.01","2019-10-07T20:37Z","2019-10-07T22:20Z",1,"MCRA.20191007.01","MCRA.20191007.01.1.e-fisher",7.3,10.8,28.9,"electrofisher","step pool","riffle",30,10,400,30,15,400,1925,1,,,,,,,,,"Not compromised",,,,,,"Y",
"ea2cc7bd-f8b7-427d-b03f-705feb0b5cff","D16","MCRA","MCRA.AOS.fish.point.03","2019-10-08T15:40Z","2019-10-08T17:14Z",1,"MCRA.20191008.03","MCRA.20191008.03.1.e-fisher",7.5,10.9,35.6,"electrofisher","step pool","riffle",30,15,400,30,15,400,1180,0,,,,,,,,,"<10% compromised",,,,,,"Y",
"bbc845d1-60aa-4063-83c1-196ef2a542dd","D16","MCRA","MCRA.AOS.fish.point.04","2019-10-08T17:57Z","2019-10-08T19:54Z",1,"MCRA.20191008.04","MCRA.20191008.04.1.e-fisher",7.5,10.5,36.4,"electrofisher","step pool","riffle",30,15,400,30,15,400,1202,0,,,,,,,,,"Not compromised",,,,,,"Y",
"3f5c3641-ca5e-45bb-98a0-b5d6adfc8a84","D16","MCRA","MCRA.AOS.fish.point.04","2019-10-08T19:54Z","2019-10-08T21:00Z",2,"MCRA.20191008.04","MCRA.20191008.04.2.e-fisher",7.5,10.5,36.4,"electrofisher","step pool","riffle",30,15,400,30,15,400,1096,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1359a3c3-9947-41f3-a056-d87214b87632","D16","MCRA","MCRA.AOS.fish.point.04","2019-10-08T21:40Z","2019-10-08T22:25Z",3,"MCRA.20191008.04","MCRA.20191008.04.3.e-fisher",7.5,10.5,36.4,"electrofisher","step pool","riffle",30,15,400,30,15,400,892,0,,,,,,,,,"Not compromised",,,,,,"Y",
"65dcbac3-d1bc-4e7a-8494-0e2c3949c94a","D16","MCRA","MCRA.AOS.fish.point.06","2019-10-10T15:40Z","2019-10-10T16:15Z",1,"MCRA.20191009.06","MCRA.20191010.06.1.e-fisher",5.3,10.1,39.0,"electrofisher","step pool","riffle",30,15,400,30,15,400,897,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e3196419-a8c8-47c1-ae26-046bed965c15","D16","MCRA","MCRA.AOS.fish.point.06","2019-10-10T17:08Z","2019-10-10T17:31Z",2,"MCRA.20191009.06","MCRA.20191010.06.2.e-fisher",5.3,10.1,39.0,"electrofisher","step pool","riffle",30,15,400,30,15,400,801,0,,,,,,,,,"Not compromised",,,,,,"Y",
"2efa7a89-909a-4037-89f4-07c7b58d6271","D16","MCRA","MCRA.AOS.fish.point.06","2019-10-10T18:30Z","2019-10-10T19:10Z",3,"MCRA.20191009.06","MCRA.20191010.06.3.e-fisher",5.3,10.1,39.0,"electrofisher","step pool","riffle",30,15,400,30,15,400,1273,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9f1a45ad-f094-4eb5-8095-61e217d1ea50","D16","MCRA","MCRA.AOS.fish.point.07","2019-10-10T21:05Z","2019-10-10T21:45Z",1,"MCRA.20191010.07","MCRA.20191010.07.1.e-fisher",5.7,10.7,20.2,"electrofisher","step pool","riffle",30,15,400,30,15,400,1533,0,,,,,,,,,"Not compromised",,,,,,"Y",
"da66d7d0-980c-4868-ae44-d909a0204e99","D16","MCRA","MCRA.AOS.fish.point.08","2019-10-11T15:30Z","2019-10-11T16:50Z",1,"MCRA.20191011.08","MCRA.20191011.08.1.e-fisher",5.4,10.8,25.3,"electrofisher","step pool","riffle",30,15,400,30,15,400,1077,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9e34d415-cf79-4e49-a2c8-cf9a4fd77552","D16","MCRA","MCRA.AOS.fish.point.08","2019-10-11T17:29Z","2019-10-11T18:30Z",2,"MCRA.20191011.08","MCRA.20191011.08.2.e-fisher",5.4,10.8,25.3,"electrofisher","step pool","riffle",30,15,400,30,15,400,937,0,,,,,,,,,"Not compromised",,,,,,"Y",
"bccc8491-cffb-418f-9c91-b97b21ce35d7","D16","MCRA","MCRA.AOS.fish.point.08","2019-10-11T18:51Z","2019-10-11T19:40Z",3,"MCRA.20191011.08","MCRA.20191011.08.3.e-fisher",5.4,10.8,25.3,"electrofisher","step pool","riffle",30,15,400,30,15,400,846,0,,,,,,,,,"Not compromised",,,,,,"Y",
