uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"9b702874-b339-4f54-98c8-76608339fd7e","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,94,"ETHFLA","Etheostoma flabellare","species",,,,63,2.6,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"7b5d04d4-15cd-4955-8ec8-98ebf1eaf6a2","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,28,"RHIATR","Rhinichthys atratulus","species",,,,55,1.8,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"f76af534-17d0-4434-8e41-9837f458467d","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,5,"RHIATR","Rhinichthys atratulus","species",,,,52,1.5,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"d116b89a-9573-4de5-898c-d8682408d799","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,24,"RHIATR","Rhinichthys atratulus","species",,,,63,2.5,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"96f053cc-7f52-444f-87d8-9179c9bca533","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,1,"SEMATR","Semotilus atromaculatus","species",,,,113,14.2,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"dba8e8d7-e849-49ac-8738-67a0271bd25f","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,14,"RHIATR","Rhinichthys atratulus","species",,,,57,2.1,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"a3cbcbbc-31ca-4a47-9137-c38f5ab32249","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,22,"RHIATR","Rhinichthys atratulus","species",,,,57,2.0,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"cb38e6c4-e3b3-4624-ad2b-64d5c2040436","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,8,"RHIATR","Rhinichthys atratulus","species",,,,52,1.2,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"eab67641-2528-44f4-95bd-66248693684d","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,2,"COTBAI1","Cottus bairdii","species",,,,29,0.3,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"f9456c5c-e42f-4175-8319-0283a0b23410","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,33,"COTBAI1","Cottus bairdii","species",,,,67,4.0,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"5510eaae-7947-4fb2-9263-c77ee5198e18","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,16,"RHIATR","Rhinichthys atratulus","species",,,,42,1.1,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"4cb93024-b249-4dd0-b837-c3cfbbd93278","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,6,"ETHFLA","Etheostoma flabellare","species",,,,51,1.8,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"949e233d-2d41-4079-83e0-7e1ad8d73389","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,32,"COTBAI1","Cottus bairdii","species",,,,67,4.3,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"b1c0cea8-0755-434d-8171-d1345d4eb275","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,17,"RHIATR","Rhinichthys atratulus","species",,,,50,1.0,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"db555b7e-c65b-47e6-9bc2-96ab0213b643","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,29,"COTBAI1","Cottus bairdii","species",,,,58,2.4,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"fadf3d84-b287-4d13-a101-7f106152cc66","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,34,"COTBAI1","Cottus bairdii","species",,,,45,1.4,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
"7eed3375-636b-40fd-8bb3-30fbf1508c4c","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z","POSE.20170403.01.1.e-fisher",1,31,"ETHFLA","Etheostoma flabellare","species",,,,40,1.3,,"N","N",,"no sample",,,"jcoloso@battelleecology.org",
