uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"a33dd6c3-3c6e-4476-9fc6-52f7531aa6ac","D02","POSE","POSE.AOS.fish.point.01","2017-04-03T13:20Z","2017-04-03T14:10Z",1,"POSE.20170403.01","POSE.20170403.01.1.e-fisher",8.6,10.9,64.1,"electrofisher","riffle","pool",30,10,150,30,10,150,1362,0,,,,,,,,,"Not compromised",,,,,,"Y",
"22cbac9a-e3b3-4508-968f-e1cdc5852ca9","D02","POSE","POSE.AOS.fish.point.02","2017-04-03T15:35Z","2017-04-03T16:13Z",1,"POSE.20170403.02","POSE.20170403.02.1.e-fisher",8.6,10.9,64.1,"electrofisher","riffle","pool",30,10,150,30,10,150,967,0,,,,,,,,,"Not compromised",,,,,,"Y",
"30e0cf01-ab12-4764-9733-4054cbbb5b62","D02","POSE","POSE.AOS.fish.point.02","2017-04-03T17:10Z","2017-04-03T17:47Z",2,"POSE.20170403.02","POSE.20170403.02.2.e-fisher",8.6,10.9,64.1,"electrofisher","riffle","pool",30,10,150,30,10,150,1149,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a20fa747-f98c-4fcc-9e97-1d92a776ad8f","D02","POSE","POSE.AOS.fish.point.02","2017-04-03T18:07Z","2017-04-03T18:47Z",3,"POSE.20170403.02","POSE.20170403.02.3.e-fisher",8.6,10.9,61.1,"electrofisher","riffle","pool",30,10,150,30,10,150,1129,0,,,,,,,,,"Not compromised",,,,,,"Y",
"f520ea74-7b16-431b-a11d-1869a84f0b2e","D02","POSE","POSE.AOS.fish.point.05","2017-04-04T13:08Z","2017-04-04T14:02Z",1,"POSE.20170404.05","POSE.20170404.05.1.e-fisher",10.5,10.4,68.9,"electrofisher","riffle","pool",30,10,200,30,10,200,1085,0,,,,,,,,,"Not compromised",,,,,,"Y",
"f658a865-ac48-48a5-944f-7b5f4a12e63d","D02","POSE","POSE.AOS.fish.point.07","2017-04-04T15:43Z","2017-04-04T16:38Z",1,"POSE.20170404.07","POSE.20170404.07.1.e-fisher",13.7,10.0,79.2,"electrofisher","riffle","pool",30,10,200,30,10,200,1593,0,,,,,,,,,"Not compromised",,,,,,"Y",
"4e5fd054-37fc-448a-9fd2-73faeea32ed0","D02","POSE","POSE.AOS.fish.point.07","2017-04-04T17:51Z","2017-04-04T18:34Z",2,"POSE.20170404.07","POSE.20170404.07.2.e-fisher",13.7,10.0,79.2,"electrofisher","riffle","pool",30,10,200,30,10,200,1187,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9ddda561-62c3-491e-bc3b-690b221782db","D02","POSE","POSE.AOS.fish.point.07","2017-04-04T19:01Z","2017-04-04T19:30Z",3,"POSE.20170404.07","POSE.20170404.07.3.e-fisher",13.7,10.0,79.2,"electrofisher","riffle","pool",30,10,200,30,10,200,732,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0acf7423-4b3d-41b7-9cd2-72270977b6db","D02","POSE","POSE.AOS.fish.point.08","2017-04-05T13:03Z","2017-04-05T14:25Z",1,"POSE.20170405.08","POSE.20170405.08.1.e-fisher",9.7,11.2,71.1,"electrofisher","riffle",,30,10,150,30,10,150,1701,0,,,,,,,,,"Not compromised",,,,,,"Y",
"65f83a72-8309-4a4d-814a-e1e6280df520","D02","POSE","POSE.AOS.fish.point.09","2017-04-05T15:38Z","2017-04-05T16:25Z",1,"POSE.20170405.09","POSE.20170405.09.1.e-fisher",15.8,9.8,84.2,"electrofisher","riffle","pool",30,10,150,30,10,150,1119,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9e34248e-3f67-4db5-ae8f-f93fd3f0f0dd","D02","POSE","POSE.AOS.fish.point.09","2017-04-05T17:40Z","2017-04-05T18:07Z",2,"POSE.20170405.09","POSE.20170405.09.2.e-fisher",15.8,9.8,84.2,"electrofisher","riffle","pool",30,10,150,30,10,150,698,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0508b280-21f6-48d2-847e-32dc8d471ef8","D02","POSE","POSE.AOS.fish.point.09","2017-04-05T18:30Z","2017-04-05T19:15Z",3,"POSE.20170405.09","POSE.20170405.09.3.e-fisher",15.8,9.8,84.2,"electrofisher","riffle","pool",30,10,150,30,10,150,1167,0,,,,,,,,,"Not compromised",,,,,,"Y",
