uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"998709dd-1fbc-498c-9f28-7a41eef2f408","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,17,"AMEMEL","Ameiurus melas","species",,,,165,39.4,,,,"adult","no sample",,,"cburton@battelleecology.org",
"4d4dd390-5b08-4f0a-98e6-339666ac9949","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,14,"AMEMEL","Ameiurus melas","species",,,,112,136.0,"Tumors",,,"adult","no sample",,,"cburton@battelleecology.org",
"99beb912-a930-477f-8092-856f7c241581","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,15,"LEPMEG","Lepomis megalotis","species",,,,115,28.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"02a85a5b-b384-4d69-a348-b526ab6c1d2a","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,7,"FUNNOT","Fundulus notatus","species",,,,47,0.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"1a8cf7e9-30f8-4e15-8658-b258c7cb7a1a","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,2,"FUNNOT","Fundulus notatus","species",,,,60,1.3,,,,"adult","no sample",,,"cburton@battelleecology.org",
"9d75c403-f588-4f4d-8d92-928b9505d061","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,10,"LEPMAC","Lepomis macrochirus","species",,,,130,46.4,,,,"adult","no sample",,,"cburton@battelleecology.org",
"00c31eb5-93ef-4b8a-a77b-ed55e11923a1","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,6,"LEPCYA","Lepomis cyanellus","species",,,,128,34.9,,,,"adult","no sample",,,"cburton@battelleecology.org",
"571a9112-0109-4024-858d-980d621fdb8a","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,1,"FUNNOT","Fundulus notatus","species",,,,53,1.3,,,,"adult","no sample",,,"cburton@battelleecology.org",
"9d2dcede-36e4-4226-9f79-d7afc6ab4a57","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,12,"LEPCYA","Lepomis cyanellus","species",,,,175,93.1,,,,"adult","no sample",,,"cburton@battelleecology.org",
"306f125b-4e13-45b2-8c7e-fb28fbb6c03a","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,4,"LEPCYA","Lepomis cyanellus","species",,,,78,7.0,,,,"juvenile","no sample",,,"cburton@battelleecology.org",
"0380da20-f6ae-4b95-a185-32cec87d7b6e","D11","PRIN","PRIN.AOS.fish.point.01","2018-03-19T16:04Z","2018-03-19T16:40Z","PRIN.20180319.01.1.e-fisher",1,8,"FUNNOT","Fundulus notatus","species",,,,58,1.2,,,,"adult","no sample",,,"cburton@battelleecology.org",
