uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"e9fb5669-9f63-4129-b4c3-042c81cfd03d","D11","PRIN","PRIN.AOS.fish.point.07","2018-11-13T16:52Z","2018-11-13T17:21Z",1,"PRIN.20181113.07","PRIN.20181113.07.1.e-fisher",5.0,10.6,743.0,"electrofisher","run","run",40,20,100,40,20,100,1284,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c5bb7112-f730-48ae-baee-1ced72c6443a","D11","PRIN","PRIN.AOS.fish.point.07","2018-11-13T19:57Z","2018-11-13T20:18Z",2,"PRIN.20181113.07","PRIN.20181113.07.2.e-fisher",5.0,10.6,743.0,"electrofisher","run","run",30,15,100,30,15,100,1003,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0fbd8bd6-dd6f-4d4c-bb94-3af784d09a06","D11","PRIN","PRIN.AOS.fish.point.07","2018-11-13T21:00Z","2018-11-13T21:20Z",3,"PRIN.20181113.07","PRIN.20181113.07.3.e-fisher",5.0,10.6,743.0,"electrofisher","run","run",30,15,100,30,15,100,979,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9f3c1100-9e32-4dcc-8b0c-8a701b60417d","D11","PRIN","PRIN.AOS.fish.point.08","2018-11-13T22:13Z","2018-11-13T22:27Z",1,"PRIN.20181113.08","PRIN.20181113.08.1.e-fisher",6.0,18.2,828.0,"electrofisher","run","run",30,15,100,30,15,100,605,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e99c1614-b3c6-411c-a2cc-6f9601abcaaa","D11","PRIN","PRIN.AOS.fish.point.01","2018-11-14T15:23Z","2018-11-14T15:48Z",1,"PRIN.20181114.01","PRIN.20181114.01.1.e-fisher",2.8,12.9,856.0,"electrofisher","run","pool",30,15,100,30,15,100,1247,0,,,,,,,,,"Not compromised",,,,,,"Y",
"fffaac86-1095-476a-85c3-f76b9a31c639","D11","PRIN","PRIN.AOS.fish.point.03","2018-11-14T17:24Z","2018-11-14T17:49Z",1,"PRIN.20181114.03","PRIN.20181114.03.1.e-fisher",3.8,10.4,905.0,"electrofisher","run","riffle",30,15,100,30,15,100,1210,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0f22e0ea-e722-4d01-9ed0-e2b9e4e4a61e","D11","PRIN","PRIN.AOS.fish.point.03","2018-11-14T18:42Z","2018-11-14T19:08Z",2,"PRIN.20181114.03","PRIN.20181114.03.2.e-fisher",3.8,10.4,905.0,"electrofisher","run","riffle",30,15,100,30,15,100,1244,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6f5393c5-d82c-4cc8-8861-e4dc68c72c23","D11","PRIN","PRIN.AOS.fish.point.03","2018-11-14T20:15Z","2018-11-14T20:37Z",3,"PRIN.20181114.03","PRIN.20181114.03.3.e-fisher",3.8,10.4,905.0,"electrofisher","run","riffle",30,15,100,30,15,100,1102,0,,,,,,,,,"Not compromised",,,,,,"Y",
"45ecc4f0-489e-4cf1-9a41-1a690dd095a0","D11","PRIN","PRIN.AOS.fish.point.04","2018-11-14T21:40Z","2018-11-14T22:12Z",1,"PRIN.20181114.04","PRIN.20181114.04.1.e-fisher",5.2,10.5,385.0,"electrofisher","run","riffle",30,15,100,30,15,100,1551,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9dea1322-4fd0-4b89-8ccf-db19539958a2","D11","PRIN","PRIN.AOS.fish.point.10","2018-11-15T16:28Z","2018-11-15T16:52Z",1,"PRIN.20181115.10","PRIN.20181115.10.1.e-fisher",4.7,12.6,764.0,"electrofisher","run","riffle",30,15,100,30,15,100,1148,0,,,,,,,,,"Not compromised",,,,,,"Y",
"23c4a1aa-1e6f-4a74-b927-5aa3ebeb55ea","D11","PRIN","PRIN.AOS.fish.point.10","2018-11-15T17:21Z","2018-11-15T17:52Z",2,"PRIN.20181115.10","PRIN.20181115.10.2.e-fisher",4.7,12.6,764.0,"electrofisher","run","riffle",30,15,100,30,15,100,1637,0,,,,,,,,,"Not compromised",,,,,,"Y",
"57ec16bb-820b-4654-8568-2f0573352142","D11","PRIN","PRIN.AOS.fish.point.10","2018-11-15T18:33Z","2018-11-15T19:03Z",3,"PRIN.20181115.10","PRIN.20181115.10.3.e-fisher",4.7,12.6,764.0,"electrofisher","run","riffle",30,15,100,30,15,100,1530,0,,,,,,,,,"Not compromised",,,,,,"Y",
