uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"5de04dc9-53f6-45a6-ac20-55799aa156af","D09","PRLA","PRLA.AOS.riparian.point.10","2016-10-04T22:15Z","2016-10-05T00:01Z",1,"PRLA.20161004.10","PRLA.20161004.10.1.gill",15.8,10.3,768.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-04T22:15Z","2016-10-05T00:01Z",1.75,,6.5,"N",
"fadd5e03-2fbd-4d5c-81c7-1318a17a783c","D09","PRLA","PRLA.AOS.riparian.point.09","2016-10-04T22:25Z","2016-10-05T00:15Z",1,"PRLA.20161004.09","PRLA.20161004.09.1.gill",15.6,9.1,776.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-04T22:25Z","2016-10-05T00:15Z",1.84,,8.7,"N",
"9d526bd3-2582-4f89-9b33-4615cf8a61a2","D09","PRLA","PRLA.AOS.riparian.point.10","2016-10-04T23:02Z","2016-10-05T13:40Z",1,"PRLA.20161004.10","PRLA.20161004.10.1.fyke",15.7,10.6,773.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-04T23:02Z","2016-10-05T13:40Z",14.63,,,"Y",
"b4b0892f-4eae-404f-ac86-f4be8659ac9e","D09","PRLA","PRLA.AOS.riparian.point.09","2016-10-04T23:21Z","2016-10-05T13:50Z",1,"PRLA.20161004.09","PRLA.20161004.09.1.fyke",15.5,9.0,775.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-04T23:21Z","2016-10-05T13:50Z",14.50,,,"Y",
"291b9ae6-6622-4fb6-8918-76a01675bfff","D09","PRLA","PRLA.AOS.riparian.point.05","2016-10-05T00:55Z","2016-10-05T03:20Z",2,"PRLA.20161004.05","PRLA.20161004.05.2.e-fisher",15.9,8.7,792.0,"electrofisher",,,30,20,200,30,20,200,177,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is total time for all 3 passes"
"8f65f002-35de-45c6-87de-db9657fbf46a","D09","PRLA","PRLA.AOS.riparian.point.05","2016-10-05T00:55Z","2016-10-05T03:20Z",1,"PRLA.20161004.05","PRLA.20161004.05.1.e-fisher",15.9,8.7,792.0,"electrofisher",,,30,20,200,30,20,200,207,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is total time for all 3 passes"
"589bcbb9-2394-4d91-a050-09760f378f8f","D09","PRLA","PRLA.AOS.riparian.point.05","2016-10-05T00:55Z","2016-10-05T03:20Z",3,"PRLA.20161004.05","PRLA.20161004.05.3.e-fisher",15.9,8.7,792.0,"electrofisher",,,30,20,200,30,20,200,170,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is total time for all 3 passes"
"249dd2e8-06c2-4b2c-8621-e8483087ea2f","D09","PRLA","PRLA.AOS.riparian.point.07","2016-10-05T03:45Z","2016-10-05T03:57Z",1,"PRLA.20161004.07","PRLA.20161004.07.1.e-fisher",14.5,8.4,756.0,"electrofisher",,,30,20,200,30,20,200,148,0,,,,,,,,,"Not compromised",,,,,,"Y",
"cc15d79d-896f-4ff7-a8cb-42dd20c2e18d","D09","PRLA","PRLA.AOS.riparian.point.02","2016-10-05T23:20Z","2016-10-06T14:52Z",1,"PRLA.20161005.02","PRLA.20161005.02.1.fyke",10.6,9.6,690.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-05T23:20Z","2016-10-06T14:52Z",15.50,,,"Y",
"1dccbe49-4c53-4781-a06a-409f7b226a9e","D09","PRLA","PRLA.AOS.riparian.point.01","2016-10-05T23:40Z","2016-10-06T14:40Z",1,"PRLA.20161005.01","PRLA.20161005.01.1.fyke",10.7,9.8,691.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-05T23:40Z","2016-10-06T14:40Z",15.00,,,"Y",
"7f811175-6d0b-4a07-94fa-983f72f76bda","D09","PRLA","PRLA.AOS.riparian.point.09","2016-10-06T01:00Z","2016-10-06T03:55Z",2,"PRLA.20161004.09","PRLA.20161005.09.2.e-fisher",11.2,9.3,702.0,"electrofisher",,,30,20,200,30,20,200,150,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is total time for all 3 passes"
"078c3c5d-9d74-44b5-84a7-c86e9d8a56c2","D09","PRLA","PRLA.AOS.riparian.point.09","2016-10-06T01:00Z","2016-10-06T03:55Z",1,"PRLA.20161004.09","PRLA.20161005.09.1.e-fisher",11.2,9.3,702.0,"electrofisher",,,30,20,200,30,20,200,184,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is total time for all 3 passes"
"415ed6e0-44c6-4bc4-8196-dc72f6675fe6","D09","PRLA","PRLA.AOS.riparian.point.09","2016-10-06T01:00Z","2016-10-06T03:55Z",3,"PRLA.20161004.09","PRLA.20161005.09.3.e-fisher",11.2,9.3,702.0,"electrofisher",,,30,20,200,30,20,200,176,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is total time for all 3 passes"
"0b2b22a1-bc06-4092-a7c1-87e5cb22eb1b","D09","PRLA","PRLA.AOS.riparian.point.10","2016-10-06T03:00Z","2016-10-06T03:07Z",1,"PRLA.20161004.10","PRLA.20161005.10.1.e-fisher",9.8,9.6,676.0,"electrofisher",,,30,20,200,30,20,200,94,0,,,,,,,,,"Not compromised",,,,,,"Y",
"638011cb-b9bf-4b5a-82c8-d9798f59dc3e","D09","PRLA","PRLA.AOS.riparian.point.02","2016-10-06T18:10Z","2016-10-06T19:25Z",1,"PRLA.20161005.02","PRLA.20161006.02.1.gill",8.7,9.7,658.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-06T18:10Z","2016-10-06T19:25Z",1.25,,,"N",
"44ad2d84-36f0-4f9e-b421-44d4a6cb3e7d","D09","PRLA","PRLA.AOS.riparian.point.01","2016-10-06T18:20Z","2016-10-06T19:40Z",1,"PRLA.20161005.01","PRLA.20161006.01.1.gill",8.7,9.7,658.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2016-10-06T18:20Z","2016-10-06T19:40Z",1.33,,,"N",
"bb962c4c-001c-4e35-bfad-4479b124560d","D09","PRLA","PRLA.AOS.riparian.point.01","2016-10-07T01:00Z","2016-10-07T03:30Z",2,"PRLA.20161005.01","PRLA.20161006.01.2.e-fisher",9.0,9.7,665.0,"electrofisher",,,30,20,200,30,20,200,138,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass start and end time is total time for all 3 passes"
