uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"c2c412a4-d8e4-4a2e-aa84-614fc8cc1422","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-25T23:28Z","2017-09-26T18:05Z",1,"PRLA.20170925.09.1.fyke","PIMPRO","Pimephales promelas",,5527,"estimated",,"jeldridge@neoninc.org","Several fish appeared injured."
"eed60b0a-5b5b-4c6a-8545-f9d72970a518","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-25T23:28Z","2017-09-26T18:05Z",1,"PRLA.20170925.09.1.fyke","CULINC","Culaea inconstans",,2,"actual",,"jeldridge@neoninc.org","Accidentally released before processing."
"67193bbf-4fd4-40cf-9a01-ec9435b5b7a4","D09","PRLA","PRLA.AOS.riparian.point.08","2017-09-25T23:49Z","2017-09-26T15:58Z",1,"PRLA.20170925.08.1.fyke","CULINC","Culaea inconstans",,3,"actual",,"jeldridge@neoninc.org","Lost before processing."
"1bd117c7-54ba-4632-94cd-03fdd9e579b8","D09","PRLA","PRLA.AOS.riparian.point.08","2017-09-25T23:49Z","2017-09-26T15:58Z",1,"PRLA.20170925.08.1.fyke","PIMPRO","Pimephales promelas",,6265,"estimated",,"jeldridge@neoninc.org","Approximately 12 fish were injured. Possibly due to turtle."
"32eecd3f-7434-458a-bb14-05a20f89bace","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-26T01:10Z","2017-09-26T01:27Z",1,"PRLA.20170925.01.1.e-fisher","PIMPRO","Pimephales promelas",,668,"actual",,"jeldridge@neoninc.org",
"329599f1-01f3-4850-8076-022dcf84e62a","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-26T02:13Z","2017-09-26T02:30Z",2,"PRLA.20170925.01.2.e-fisher","PIMPRO","Pimephales promelas",,111,"actual",,"jeldridge@neoninc.org",
"e249d381-085b-443d-8e02-cd5e621379bf","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-26T03:02Z","2017-09-26T03:19Z",3,"PRLA.20170925.01.3.e-fisher","PIMPRO","Pimephales promelas",,70,"actual",,"jeldridge@neoninc.org",
"0dd08b20-f445-4014-a565-9c1654666af0","D09","PRLA","PRLA.AOS.riparian.point.03","2017-09-26T03:45Z","2017-09-26T04:09Z",1,"PRLA.20170925.03.1.e-fisher","PIMPRO","Pimephales promelas",,64,"actual",,"jeldridge@neoninc.org",
"a8a77f7a-49be-40e8-bb00-4a0d889d9277","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-27T00:15Z","2017-09-27T16:28Z",1,"PRLA.20170925.01.1.fyke","PIMPRO","Pimephales promelas",,1364,"estimated",,"jeldridge@neoninc.org",
"c58f5e94-840c-4b3e-92c8-5350990fc731","D09","PRLA","PRLA.AOS.riparian.point.03","2017-09-27T00:33Z","2017-09-27T18:25Z",1,"PRLA.20170925.03.1.fyke","PIMPRO","Pimephales promelas",,2595,"estimated",,"jeldridge@neoninc.org",
"0f9e1f88-8e93-40fd-8661-33deb0696b1b","D09","PRLA","PRLA.AOS.riparian.point.03","2017-09-27T00:33Z","2017-09-27T18:25Z",1,"PRLA.20170925.03.1.fyke","CULINC","Culaea inconstans",,2,"actual",,"jeldridge@neoninc.org",
"8520b677-6001-4220-b903-45e0e34fbe32","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T01:21Z","2017-09-27T01:43Z",1,"PRLA.20170926.05.1.e-fisher","PIMPRO","Pimephales promelas",,73,"actual",,"jeldridge@neoninc.org",
"dd393161-b750-4025-95cc-40fd5f73e9b9","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T02:23Z","2017-09-27T02:42Z",2,"PRLA.20170926.05.2.e-fisher","PIMPRO","Pimephales promelas",,94,"actual",,"jeldridge@neoninc.org",
"fcd9cc06-130c-46c9-8cda-becff9e4d42e","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T03:31Z","2017-09-27T03:53Z",3,"PRLA.20170926.05.3.e-fisher","PIMPRO","Pimephales promelas",,84,"actual",,"jeldridge@neoninc.org",
"5747ff12-20b3-4720-9115-21592d5f4a3e","D09","PRLA","PRLA.AOS.riparian.point.04","2017-09-27T04:33Z","2017-09-27T04:52Z",1,"PRLA.20170926.04.1.e-fisher","PIMPRO","Pimephales promelas",,20,"actual",,"jeldridge@neoninc.org",
"15188219-a39e-425c-804d-86fa26385e07","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T23:52Z","2017-09-28T16:10Z",1,"PRLA.20170926.05.1.fyke","PIMPRO","Pimephales promelas",,1620,"estimated",,"jeldridge@neoninc.org","One fish with tumor. Photos 913-917."
"cce9432d-3c8f-4778-b6ec-dfb63a15d7dd","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T23:52Z","2017-09-28T16:10Z",1,"PRLA.20170926.05.1.fyke","CULINC","Culaea inconstans",,1,"actual","cf. species","jeldridge@neoninc.org","Slipped out of hands before processing. Not 100% sure on ID."
"b5e34b36-6a41-4430-b5a2-eeacdf2b3bbe","D09","PRLA","PRLA.AOS.riparian.point.04","2017-09-28T00:08Z","2017-09-28T14:45Z",1,"PRLA.20170926.04.1.fyke","PIMPRO","Pimephales promelas",,172,"actual",,"jeldridge@neoninc.org","Mortalities are approximate."
"81780cad-58af-4b08-a421-ae103984e47a","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-28T01:10Z","2017-09-28T01:35Z",1,"PRLA.20170925.09.1.e-fisher","PIMPRO","Pimephales promelas",,1422,"actual",,"jeldridge@neoninc.org",
