uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"2c33cf7c-aaf5-48de-a18c-c16b2585af56","D09","PRLA","PRLA.AOS.riparian.point.08","2019-05-13T23:59Z","2019-05-14T14:00Z","PRLA.20190513.08.4.fyke",4,1,"PIMPRO","Pimephales promelas","species",,,,49,1.1,,,,,"no sample",,,"0000-0002-4670-7736",
"89bc20db-cbc8-4bdb-89a8-0ef7ca994649","D09","PRLA","PRLA.AOS.riparian.point.08","2019-05-13T23:59Z","2019-05-14T14:00Z","PRLA.20190513.08.4.fyke",4,2,"PIMPRO","Pimephales promelas","species",,,,52,3.4,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
"c15da04f-8eff-4ecd-88ab-99fdf13264c3","D09","PRLA","PRLA.AOS.riparian.point.08","2019-05-13T23:59Z","2019-05-14T14:00Z","PRLA.20190513.08.4.fyke",4,3,"PIMPRO","Pimephales promelas","species",,,,58,1.6,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
"bf489533-f002-4a8e-8d70-1ff5cbf5caf8","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,10,"PIMPRO","Pimephales promelas","species",,,,68,3.0,"Lesions/parasites",,,,"dna sample only","FSH.PRLA.09.20190513.4.0010","FSH.PRLA.09.20190513.4.0010.DNA","0000-0002-4670-7736",
"f7f6841a-a2d7-47a8-bf10-cb9014610c69","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,17,"PIMPRO","Pimephales promelas","species",,,,50,0.9,,,,,"no sample",,,"0000-0002-4670-7736",
"2354f16a-91b4-4892-b75f-10cf2967651f","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,3,"PIMPRO","Pimephales promelas","species",,,,50,1.0,,,,,"no sample",,,"0000-0002-4670-7736",
"b9484aad-ddd6-4610-9508-b01411e0de9e","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,15,"PIMPRO","Pimephales promelas","species",,,,58,1.6,,,,,"no sample",,,"0000-0002-4670-7736",
"4490b632-4717-443a-93a5-7c9187f84dd8","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,5,"PIMPRO","Pimephales promelas","species",,,,45,0.7,,,,,"no sample",,,"0000-0002-4670-7736",
"90430f16-7179-4dd7-9828-8a43a8e83c41","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,7,"PIMPRO","Pimephales promelas","species",,,,49,1.0,,,,,"no sample",,,"0000-0002-4670-7736",
"3202e834-cc00-4778-8880-9c250d6e28ab","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,13,"PIMPRO","Pimephales promelas","species",,,,48,0.8,,,,,"no sample",,,"0000-0002-4670-7736",
"afb0facf-4f7b-4c27-aeb8-f83f188d08d5","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,11,"PIMPRO","Pimephales promelas","species",,,,60,1.7,,,,,"dna sample only","FSH.PRLA.09.20190513.4.0011","FSH.PRLA.09.20190513.4.0011.DNA","0000-0002-4670-7736",
"6381e6ea-71ee-49f2-81ec-fb6fb8b42ccc","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,4,"PIMPRO","Pimephales promelas","species",,,,52,1.1,,,,,"no sample",,,"0000-0002-4670-7736",
"70313c23-5e57-4126-a6b0-e46442c095eb","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,2,"PIMPRO","Pimephales promelas","species",,,,52,1.7,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
