uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"800ac365-b077-424b-b016-5457d29cebcb","D15","REDB","REDB.AOS.fish.point.01","2016-10-19T18:55Z","2016-10-19T20:55Z",1,"REDB.20161019.01","REDB.20161019.01.1.e-fisher",5.7,11.3,,"electrofisher",,,30,15,100,30,15,100,1775,0,,,,,,,,,"Not compromised",,,,,,"Y",
"54064d9f-755f-466e-8e29-758c955a5cad","D15","REDB","REDB.AOS.fish.point.02","2016-10-20T16:30Z","2016-10-20T20:00Z",2,"REDB.20161020.02","REDB.20161020.02.2.e-fisher",3.8,12.0,663.0,"electrofisher",,,30,15,100,30,15,100,,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes. Pass 2 EF time not recorded"
"e6211f10-e7fa-47c5-8e4f-6a7f5969752f","D15","REDB","REDB.AOS.fish.point.02","2016-10-20T16:30Z","2016-10-20T20:00Z",1,"REDB.20161020.02","REDB.20161020.02.1.e-fisher",3.8,12.0,663.0,"electrofisher",,,30,15,100,30,15,100,746,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes."
"1313c190-06ce-48dc-b400-3a0b43670a5e","D15","REDB","REDB.AOS.fish.point.02","2016-10-20T16:30Z","2016-10-20T20:00Z",3,"REDB.20161020.02","REDB.20161020.02.3.e-fisher",3.8,12.0,663.0,"electrofisher",,,30,15,100,30,15,100,1975,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes."
"f997e85d-c713-4f48-aeef-b1f84541f991","D15","REDB","REDB.AOS.fish.point.09","2016-10-20T20:55Z","2016-10-20T22:55Z",1,"REDB.20161020.09","REDB.20161020.09.1.e-fisher",6.5,13.5,661.0,"electrofisher",,,30,15,100,30,15,100,841,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6a58202f-87cc-4830-8fff-f164edfe1927","D15","REDB","REDB.AOS.fish.point.05","2016-10-21T17:35Z","2016-10-21T22:45Z",1,"REDB.20161021.05","REDB.20161021.05.1.e-fisher",4.2,17.1,652.0,"electrofisher",,,30,15,100,30,15,100,751,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes. EF time total time for all 3 passes"
"9a70a162-392f-4831-a1f3-7a22ee5b6d70","D15","REDB","REDB.AOS.fish.point.05","2016-10-21T17:35Z","2016-10-21T22:45Z",2,"REDB.20161021.05","REDB.20161021.05.2.e-fisher",4.2,17.1,652.0,"electrofisher",,,30,15,100,30,15,100,751,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes. EF time total time for all 3 passes"
"db8ccd73-3cc7-45f8-b969-879b88883ab8","D15","REDB","REDB.AOS.fish.point.05","2016-10-21T17:35Z","2016-10-21T22:45Z",3,"REDB.20161021.05","REDB.20161021.05.3.e-fisher",4.2,17.1,652.0,"electrofisher",,,30,15,100,30,15,100,751,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes. EF time total time for all 3 passes"
"a3e8ed21-c3d1-4a50-a91b-2177aaf16534","D15","REDB","REDB.AOS.fish.point.07","2016-10-22T16:00Z","2016-10-22T19:30Z",3,"REDB.20161022.07","REDB.20161022.07.3.e-fisher",5.4,10.7,664.0,"electrofisher",,,30,15,100,30,15,100,526,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes. EF time total time for all 3 passes"
"fdd6e82e-f18a-42ad-853d-0cd3aa59da99","D15","REDB","REDB.AOS.fish.point.07","2016-10-22T16:00Z","2016-10-22T19:30Z",2,"REDB.20161022.07","REDB.20161022.07.2.e-fisher",5.4,10.7,664.0,"electrofisher",,,30,15,100,30,15,100,526,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes. EF time total time for all 3 passes"
"132d75a2-3946-4daf-a8b5-bc3b9fec3731","D15","REDB","REDB.AOS.fish.point.07","2016-10-22T16:00Z","2016-10-22T19:30Z",1,"REDB.20161022.07","REDB.20161022.07.1.e-fisher",5.4,10.7,664.0,"electrofisher",,,30,15,100,30,15,100,526,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass time start and end is total for all 3 passes. EF time total time for all 3 passes"
"78ce9cd9-a502-4341-8104-f8c4e99daff3","D15","REDB","REDB.AOS.fish.point.10","2016-10-22T20:00Z","2016-10-22T21:39Z",1,"REDB.20161022.10","REDB.20161022.10.1.e-fisher",6.9,14.1,675.0,"electrofisher",,,30,15,100,30,15,100,585,0,,,,,,,,,"Not compromised",,,,,,"Y",
