uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"cdeda8e0-47a2-48f3-b405-72a652c757d9","D18","TOOK","TOOK.AOS.riparian.point.09","2017-09-09T04:45Z","2017-09-09T21:59Z","TOOK.20170908.09.1.fyke",1,2,"LOTLOT","Lota lota","species",,,,618,,,"N","N","adult","no sample",,,"jcelmer@battelleecology.org",
"d8b31e6c-afb6-4542-92c1-556fa12394e9","D18","TOOK","TOOK.AOS.riparian.point.09","2017-09-09T04:45Z","2017-09-09T21:59Z","TOOK.20170908.09.1.fyke",1,1,"LOTLOT","Lota lota","species",,,,332,230.0,,"N","N","adult","no sample",,,"jcelmer@battelleecology.org",
"429d90d9-b6ed-44b0-8515-9275bd15233e","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,24,"THYARC","Thymallus arcticus","species",,,,162,28.5,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
"ab91b664-725a-4891-8961-3464b12d2a0d","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,17,"THYARC","Thymallus arcticus","species",,,,144,22.8,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
"38c59d64-a9c7-4695-b348-573b130d1b86","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,11,"THYARC","Thymallus arcticus","species",,,,147,32.1,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
"3a6ae3a8-0ff1-4b66-94fc-2419f8502278","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,4,"THYARC","Thymallus arcticus","species",,,,83,4.3,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
"e4c7434c-1a0e-4e69-96e8-8700ace28b4e","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,13,"THYARC","Thymallus arcticus","species",,,,143,27.3,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
"0b6717a9-6e56-40a6-87b0-a7023d015878","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,14,"THYARC","Thymallus arcticus","species",,,,86,5.4,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
"75fb9abe-e8da-4b36-9014-d42cda26c27d","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,39,"LOTLOT","Lota lota","species",,,,78,4.2,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
"29eaf989-b2bb-470d-993e-236b5be327c0","D18","TOOK","TOOK.AOS.riparian.point.08","2017-09-09T05:05Z","2017-09-09T21:15Z","TOOK.20170908.08.1.fyke",1,1,"THYARC","Thymallus arcticus","species",,,,84,4.4,,"N","N","young of year","no sample",,,"jcelmer@battelleecology.org",
