uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"749e47b7-6c6f-4a52-bac5-26dc8fbfca2c","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z",1,"WALK.20180320.01","WALK.20180320.01.1.e-fisher",13.3,9.8,239.1,"electrofisher","riffle","pool",30,10,200,30,10,200,1948,0,,,,,,,,,"Not compromised",,,,,,"Y",
"50c1c8f7-dbe3-427a-92e9-b42039fee569","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T13:55Z","2018-03-20T14:46Z",2,"WALK.20180320.01","WALK.20180320.01.2.e-fisher",13.7,9.8,237.7,"electrofisher","riffle","pool",30,10,200,30,10,200,2697,0,,,,,,,,,"Not compromised",,,,,,"Y",
"8ef60a8a-196a-4ca4-81f5-47b0d8eb3ec8","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T15:30Z","2018-03-20T16:05Z",3,"WALK.20180320.01","WALK.20180320.01.3.e-fisher",13.9,9.7,236.8,"electrofisher","riffle","pool",30,10,200,30,10,200,1718,1,,,,,,,,,"Not compromised",,,,,,"Y","Had to change battery."
"1f43b484-4061-44c2-a49f-0b270c6a5dca","D07","WALK","WALK.AOS.fish.point.02","2018-03-20T17:07Z","2018-03-20T17:55Z",1,"WALK.20180320.02","WALK.20180320.02.1.e-fisher",13.8,9.6,142.9,"electrofisher","riffle","pool",30,10,200,30,10,200,2612,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c8318f21-efe8-4d25-8197-9724e846f2c5","D07","WALK","WALK.AOS.fish.point.03","2018-03-21T12:34Z","2018-03-21T13:33Z",1,"WALK.20180321.03","WALK.20180321.03.1.e-fisher",10.2,11.7,180.9,"electrofisher","riffle","pool",30,10,200,30,10,200,3170,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e5c6b1ee-f61a-4313-bd0d-8303580c2b6b","D07","WALK","WALK.AOS.fish.point.03","2018-03-21T14:45Z","2018-03-21T15:55Z",2,"WALK.20180321.03","WALK.20180321.03.2.e-fisher",10.6,10.3,179.4,"electrofisher","riffle","pool",30,10,200,30,10,200,2244,0,,,,,,,,,"Not compromised",,,,,,"Y","Electroshocker error message. Could not record operational time"
"a2e2d6d1-241b-4666-a85f-481c16f26329","D07","WALK","WALK.AOS.fish.point.05","2018-03-28T12:20Z","2018-03-28T13:30Z",1,"WALK.20180328.05","WALK.20180328.05.1.e-fisher",12.6,10.6,134.6,"electrofisher","riffle","pool",30,10,200,30,10,200,3244,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1beb523f-814a-4b0f-a1ad-106f1a5eea16","D07","WALK","WALK.AOS.fish.point.05","2018-03-28T14:05Z","2018-03-28T15:20Z",2,"WALK.20180328.05","WALK.20180328.05.2.e-fisher",12.8,10.4,135.5,"electrofisher","riffle","pool",30,10,200,30,10,200,3809,0,,,,,,,,,"Not compromised",,,,,,"Y",
"db2f5237-944c-4439-967c-6347291821c5","D07","WALK","WALK.AOS.fish.point.05","2018-03-28T16:00Z","2018-03-28T16:50Z",3,"WALK.20180328.05","WALK.20180328.05.3.e-fisher",13.0,10.5,136.3,"electrofisher","riffle","pool",30,10,200,30,10,200,1946,0,,,,,,,,,"Not compromised",,,,,,"Y",
"f5f33722-dac8-4762-82bb-a416fba5e2e7","D07","WALK","WALK.AOS.fish.point.06","2018-03-29T13:00Z","2018-03-29T14:05Z",1,"WALK.20180329.06","WALK.20180329.06.1.e-fisher",12.9,9.9,130.0,"electrofisher","riffle","pool",30,10,200,30,10,200,3583,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9a3c80b0-98ad-4215-8120-c18c3a5424b8","D07","WALK","WALK.AOS.fish.point.08","2018-03-29T15:30Z","2018-03-29T16:10Z",1,"WALK.20180329.08","WALK.20180329.08.1.e-fisher",13.8,9.9,162.4,"electrofisher","riffle","pool",30,10,200,30,10,200,1357,0,,,,,,,,,"Not compromised",,,,,,"Y",
