uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"546067bf-fc21-4486-b5ef-219b9e674ae2","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,18,"RHIATR","Rhinichthys atratulus","species",,,,40,0.3,,,,"juvenile","no sample",,,"pharnage@battelleecology.org",
"84e792d9-2450-44ba-b826-905d05287a58","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,1,"RHIATR","Rhinichthys atratulus","species",,,,41,0.6,,,,"juvenile","no sample",,,"pharnage@battelleecology.org",
"8d422578-f351-4afe-8d59-fdc2a4b1c7c2","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,14,"RHIATR","Rhinichthys atratulus","species",,,,63,1.8,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"a54ff4c0-0aa5-4038-a875-ab3d59242975","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,15,"RHIATR","Rhinichthys atratulus","species",,,,35,0.3,,,,"juvenile","no sample",,,"pharnage@battelleecology.org",
"9eaed75b-aed3-4bc8-8aa4-9b4739fbd047","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,16,"RHIATR","Rhinichthys atratulus","species",,,,62,1.6,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"60485c46-e4dc-4840-afe5-28997daf7784","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,22,"RHIATR","Rhinichthys atratulus","species",,,,40,0.3,,,,"juvenile","no sample",,,"pharnage@battelleecology.org",
"cdebc3b2-2c25-4cd9-b963-a27232416e46","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,6,"RHIATR","Rhinichthys atratulus","species",,,,78,4.5,,,,"gravid female","no sample",,,"pharnage@battelleecology.org",
"b14648ae-e4ff-493b-9e4f-2b5b466827d4","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,20,"RHIATR","Rhinichthys atratulus","species",,,,47,0.8,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"8529e1f4-6f86-48e3-8993-769aafb21610","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,33,"RHIATR","Rhinichthys atratulus","species",,,,42,0.8,,,,"juvenile","no sample",,,"pharnage@battelleecology.org",
"9310035e-a914-4d11-ba05-abd39797baf7","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,3,"RHIATR","Rhinichthys atratulus","species",,,,61,1.3,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"bbc269cf-107a-4e9b-b791-1abf737ffea3","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,21,"RHIATR","Rhinichthys atratulus","species",,,,37,0.3,,,,"juvenile","no sample",,,"pharnage@battelleecology.org",
"75eeb899-ad3e-4271-b818-2adc504b4d6d","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,40,"RHIATR","Rhinichthys atratulus","species",,,,70,3.0,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"3d9a3bff-9b5d-47ae-9c41-9c2c8183f591","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,24,"RHIATR","Rhinichthys atratulus","species",,,,81,3.7,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"9e35c9a6-3061-4e2d-8da7-f04bcc8cb122","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,30,"RHIATR","Rhinichthys atratulus","species",,,,56,1.0,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"66ad1fd6-f9e8-4ce8-a1fc-4d9de4ad8091","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,13,"RHIATR","Rhinichthys atratulus","species",,,,50,0.9,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"54d0aaa0-83f4-4307-abe8-88b090879bde","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,34,"RHIATR","Rhinichthys atratulus","species",,,,45,0.9,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"8408f0a6-6ec0-49f7-9afc-827220088146","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,23,"RHIATR","Rhinichthys atratulus","species",,,,92,6.4,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"fcb9bcbb-4bf9-4975-8c8d-a33aad23e023","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,29,"RHIATR","Rhinichthys atratulus","species",,,,56,1.2,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"3c2de8ba-b576-4d37-a748-b681b5d422a2","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,44,"RHIATR","Rhinichthys atratulus","species",,,,50,1.0,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"5317f59c-6caf-438e-b6ef-a6dd02876e03","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,27,"RHIATR","Rhinichthys atratulus","species",,,,51,1.0,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"bce77239-776b-44c6-9d57-61ce2d5463b7","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,48,"RHIATR","Rhinichthys atratulus","species",,,,48,0.7,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"13b2b9d5-2af9-4ace-b86f-a6f0f3fd60f7","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,10,"RHIATR","Rhinichthys atratulus","species",,,,63,1.8,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"a945ff13-99b7-4eb5-a56d-1771ae83456b","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,19,"RHIATR","Rhinichthys atratulus","species",,,,52,0.8,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"46ffed22-d1a4-43d4-9b97-a92d0efbb938","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,46,"RHIATR","Rhinichthys atratulus","species",,,,51,0.8,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"afdeb270-3907-4d22-ba08-e86c7e415c24","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,28,"RHIATR","Rhinichthys atratulus","species",,,,43,0.3,,,,"juvenile","no sample",,,"pharnage@battelleecology.org",
"66fa96dd-02c1-4162-ad88-891fabdef583","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,26,"RHIATR","Rhinichthys atratulus","species",,,,68,1.9,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"07a25ca9-8ec5-4237-9691-01c41038a4d6","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,42,"RHIATR","Rhinichthys atratulus","species",,,,49,0.9,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"a6a95eca-0909-42ae-84c3-e4b55cc10de9","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,45,"RHIATR","Rhinichthys atratulus","species",,,,57,1.5,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"9abc33d1-b9a9-4b51-86fb-3e74af326f65","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,37,"RHIATR","Rhinichthys atratulus","species",,,,59,1.3,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"e460077d-e25a-419c-afe4-986a88ea13f0","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,25,"RHIATR","Rhinichthys atratulus","species",,,,48,0.7,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"c819ea24-0717-423f-a3b4-f3c5adadb7ca","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,35,"RHIATR","Rhinichthys atratulus","species",,,,50,0.9,,,,"adult","no sample",,,"pharnage@battelleecology.org",
"4e8b5cd8-1a22-427a-9527-2d444c32d36b","D07","WALK","WALK.AOS.fish.point.01","2018-11-06T13:51Z","2018-11-06T15:20Z","WALK.20181106.01.1.e-fisher",1,39,"RHIATR","Rhinichthys atratulus","species",,,,92,5.8,,,,"adult","no sample",,,"pharnage@battelleecology.org",
