uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"8d20d144-ec73-4216-91db-38e33d5db008","D10","ARIK","ARIK","2017-11-29T22:38Z",,16,4.10,
"63abbfb3-6df7-4bae-b2b6-58bed87bc9c2","D10","ARIK","ARIK","2017-11-29T22:38Z",,21,8.10,
"3a13e40b-8aae-4315-b850-26e60501fcf1","D10","ARIK","ARIK","2017-11-29T22:38Z",,26,8.10,
"fe74c895-19ef-4c83-99ae-0caf6d38161c","D10","ARIK","ARIK","2017-11-29T22:38Z",,20,5.40,
"9e947d3a-83e7-436c-bacb-755d6a13e9c1","D10","ARIK","ARIK","2017-11-29T22:38Z",,7,4.00,
"ce63c91c-2ce5-495c-8f06-dbb2b611c629","D10","ARIK","ARIK","2017-11-29T22:38Z",,24,6.50,
"fab31e26-2c8b-4128-b59e-7e998c72ea27","D10","ARIK","ARIK","2017-11-29T22:38Z",,18,4.00,
"83ed68fd-4764-4285-af36-8e760f1f2a0f","D10","ARIK","ARIK","2017-11-29T22:38Z",,10,2.40,
"d676809f-6fe2-466a-bba2-86fb0c92ab3b","D10","ARIK","ARIK","2017-11-29T22:38Z",,1,2.10,
"990db328-ba36-4c67-b77c-16221e11d2c5","D10","ARIK","ARIK","2017-11-29T22:38Z",,14,3.50,
"528c14df-001c-41a3-b6b1-8fe0e9398e7a","D10","ARIK","ARIK","2017-11-29T22:38Z",,8,3.80,
"e9ff3f9c-dd8c-4a8b-bef6-2b794d962dbf","D10","ARIK","ARIK","2017-11-29T22:38Z",,27,5.90,
"c48c01ee-2032-4cbd-a240-445eab6ccdce","D10","ARIK","ARIK","2017-11-29T22:38Z",,25,3.60,
"c3b0bce0-32dc-49da-925e-4d08c02406b3","D10","ARIK","ARIK","2017-11-29T22:38Z",,19,8.50,
"fda5857a-3347-467a-8178-e642ad827c33","D10","ARIK","ARIK","2017-11-29T22:38Z",,2,2.30,
"9dce5efa-8e5f-4e2a-ba94-db65eff1ab44","D10","ARIK","ARIK","2017-11-29T22:38Z",,5,9.70,
"344c2f61-0e5e-4258-885a-ef944ad5b3e3","D10","ARIK","ARIK","2017-11-29T22:38Z",,6,6.10,
"0f422fc9-f7c6-43f7-8617-fc17128070d4","D10","ARIK","ARIK","2017-11-29T22:38Z",,4,3.10,
"aac2a276-2f4b-4bae-9a35-d5342c497998","D10","ARIK","ARIK","2017-11-29T22:38Z",,13,2.80,
"c1712f67-149e-4caf-8230-2c11ad726bae","D10","ARIK","ARIK","2017-11-29T22:38Z",,28,5.70,
"78057d38-43a9-4673-a356-3aff735d4943","D10","ARIK","ARIK","2017-11-29T22:38Z",,15,3.60,
"42ced6de-3192-413e-a98f-721a6b32bfdc","D10","ARIK","ARIK","2017-11-29T22:38Z",,17,2.60,
"9f13f3a8-5e31-4058-9b4e-7d64d24fd28c","D10","ARIK","ARIK","2017-11-29T22:38Z",,3,3.30,
"5741aea4-d193-4276-a044-0baef00bec5b","D10","ARIK","ARIK","2017-11-29T22:38Z",,9,2.70,
"494401de-bd32-4360-97c9-1bcaca62c29d","D10","ARIK","ARIK","2017-11-29T22:38Z",,22,8.00,
"86607bac-7016-418f-b186-bfbc188171b8","D10","ARIK","ARIK","2017-11-29T22:38Z",,11,4.60,
"7652535e-3570-4ac4-b84e-073c20ab528a","D10","ARIK","ARIK","2017-11-29T22:38Z",,30,4.90,
"1c9c3167-d2ae-458a-ad1c-9573682811f8","D10","ARIK","ARIK","2017-11-29T22:38Z",,23,8.40,
"0dd7a2f6-147c-448f-93ee-4a84405115aa","D10","ARIK","ARIK","2017-11-29T22:38Z",,12,2.80,
"40606c39-cc96-456e-a583-60c0d1bb12b9","D10","ARIK","ARIK","2017-11-29T22:38Z",,29,3.80,
