uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"196d887f-00ea-43a2-97f4-e71ac3fe2e97","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",17,4.45,
"3f2856d2-4d3d-422a-8967-cbe0230b53a6","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",26,5.15,
"bd4e5ad0-edd8-4211-9e0a-0f3023f88a03","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",30,3.75,
"7a26c1e1-309c-4c4d-b813-4d619faa1962","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",22,4.70,
"cfdc5494-393d-460e-8930-860c7a04deee","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",28,4.30,
"4af17bca-bb75-414b-9463-37508e4b930e","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",8,4.20,
"c6fc9b32-4551-4eba-bd16-a87a83b805ea","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",12,4.05,
"bd415e17-e829-48c5-a54a-8cbe68bae6f3","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",24,5.60,
"aa167027-a41f-40f5-b81a-f51ba6be5476","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",9,3.75,
"d6545a6f-e80c-4e5b-9b86-75deb4dc5399","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",2,4.70,
"4754cd79-b0b5-4cb6-b605-3059611fad12","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",5,4.05,
"94a928c7-db9b-46d1-9573-c9e55cb4f3c8","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",4,4.90,
"38feeb09-fe97-4773-b74d-085c27c074ad","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",1,5.25,
"fdc0c984-73b6-4b83-90e0-45d8bc2fd524","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",29,2.95,
"8cdb3589-5e9c-4e46-9d96-80609eb220e9","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",7,5.10,
"fa909d90-272e-469e-b806-f915126af995","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",27,5.60,
"1829e6f0-48fb-4160-be9f-6902af2fad41","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",18,3.46,
"577d73c2-8cec-49a1-a906-0d88512bcd6c","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",20,4.20,
"fe2802ef-2db0-41d5-bf17-c6d518af3d6f","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",21,3.96,
"ba4fc554-c496-48bd-893b-a1ffa7edde6d","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",13,4.10,
"c2f0b710-e6c5-476d-b73a-8937a6a3ab11","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",14,5.35,
"3645840e-053f-4547-b9b7-6055d8206737","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",11,5.40,
"0b5a7d19-0213-4f84-8814-289e7eaea134","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",23,4.30,
"5c87e8b5-35cd-45fd-a10b-29380aeca991","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",15,5.94,
"2a6a41e0-5d75-4026-9cd1-d67f000a83aa","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",3,3.50,
"30dd1cbf-b59d-4c76-9eb7-aad4433ccd5e","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",10,4.40,
"eb543f4b-831e-43ed-98ea-816881eefcb2","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",16,4.27,
"4c90e2b4-e7e8-421b-beac-2aacad7cc937","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",25,4.25,
"58b19f19-27c5-4b91-aa08-68bce562fb47","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",6,1.60,
"eb9b7d4c-9834-43bd-b8e9-e04cf76e4ef5","D17","BIGC","BIGC","2019-04-10T17:36Z","Tape",19,4.87,
