uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"786927a0-af93-4b2d-99f2-c3df20131009","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",8,3.05,
"100f2765-f1a2-4c3d-9811-ff5af9ed8f7e","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",30,4.90,
"c0dd133d-88f0-4fd6-b59e-af8d5900a782","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",11,2.30,
"2a0d3f7e-a39c-498a-8b7e-34f500c29e73","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",2,2.60,
"6f6a6410-6d2b-4199-9dee-9fc3d26859fc","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",12,2.55,
"3dba5555-aa81-4af7-baf0-593c7b8b3954","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",28,3.75,
"91636d46-aa75-4f46-9b93-f8cf83eb9bd1","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",26,3.45,
"050a4353-957e-47a6-92db-003ff969e962","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",17,2.00,
"4ab0f583-ba42-4b06-aee0-a873498cd509","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",19,3.20,
"6f7475ab-5d55-408f-a6d0-ce7b4306b584","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",1,2.55,
"7a760346-fd18-45af-bd47-cef4cd08ae5c","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",7,2.45,
"ee1339e7-b2d7-48b3-a8ee-45af1cf6016e","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",14,4.75,
"1e9d7825-7b12-47a9-b0d6-a04cf5548fcf","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",16,2.80,
"e073ee73-3cd8-4593-9f05-1421455064d6","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",5,2.45,
"c4dabd85-b178-44d1-8654-b86507492b1b","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",27,3.30,
"abb1fea9-6b2c-4250-ae27-6c85ad9a6f34","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",10,3.00,
"92042503-9157-4f81-aba0-dc8bf47615ac","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",9,2.40,
"594a364b-cdec-4404-b9cf-2b4c280aefd6","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",4,2.90,
"b3af98ce-f907-4531-a7c4-d85967a598a9","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",20,3.70,
"d95fe373-aa86-4081-a10a-daac34ec4c16","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",21,3.15,
"f3b32731-8e53-4091-b0ca-62392bc785ac","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",15,3.50,
"63f44f0b-0d06-4de4-bdf5-3d6ba6524632","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",22,4.00,
"b852171e-e05e-43ac-9045-56316d634b04","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",29,3.40,
"319255c4-72b5-4239-9516-82b5239106f4","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",25,2.30,
"6aa8dbdf-639b-4323-b4d4-6b0dafa5e4c1","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",3,2.70,
"88f7ae21-0152-4c59-9228-bd9028f969d3","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",18,2.75,
"a8469ef6-06fc-498f-8dfb-e2965af1d4da","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",24,2.75,
"50d71820-993b-4f1a-9fba-73b245c10a5c","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",13,2.95,
"47778cca-5ea4-4605-8216-cec644fbfe0b","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",6,2.45,
"415ea36d-bdbd-4f7d-bec6-841a0f038397","D12","BLDE","BLDE","2020-07-07T14:38Z","Tape",23,2.50,
