uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"b64520b7-38b7-40d6-add2-cddc2c81344d","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",8,22.50,
"435524a3-9976-4086-8e0d-fce063f51f5f","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",11,31.00,
"69db0e4c-83e9-41c1-809c-5ccdfb6919d0","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",10,23.60,
"49653db9-d67c-4928-bc22-51ac013fd76d","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",13,26.00,
"907a2e09-bd1b-442b-ad40-18bbb41d1320","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",7,22.00,
"0b14f800-78cf-43c6-938b-96c2e7a30401","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",15,24.60,
"3cd726fe-0ec2-45df-8b21-c3f249b495df","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",26,25.00,
"7418e204-b132-4db8-b21d-7e8dc2920a9f","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",22,21.00,
"d267d8df-def2-45c5-9255-728130ea0e62","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",9,14.70,
"963206f0-7ab5-416d-8274-6d0d196dafe8","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",4,20.50,
"e7b2119a-0609-4a81-9019-288f71688dd2","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",30,23.40,
"bf3076ad-b129-4d17-bd4c-da465adadb0c","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",3,21.00,
"0a5cbe0e-58bc-496c-92a1-4bf1a5be75bd","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",29,20.80,
"7edfa2f7-e307-4226-8ef1-858e81956de5","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",24,23.20,
"16cf7ea5-3ad7-460c-8ab3-1cce2208526c","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",23,20.00,
"7b7dcd65-3bd7-481b-bac9-110ce494ce26","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",20,26.00,
"f637179f-fe11-482f-907e-626921afa989","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",16,23.10,
"135b4fea-b5d1-409a-a781-fa72b6a49a94","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",6,21.90,
"f6e71dac-7cc0-479c-913a-56e580e4e407","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",27,24.00,
"c9ce9340-2f67-4d0a-9fde-ead97baa348e","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",2,19.00,
"4123cb3b-793c-4d49-a07b-76adc7522cfb","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",25,24.00,
"2ed3988f-d54f-4406-a009-28c1cdedd8c3","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",19,25.00,
"83dd4133-f9e1-4fc6-ae66-09f54e920caa","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",18,22.00,
"ef1c3edb-47fc-4690-8d9b-b19ccc02dabd","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",5,20.50,
"2945a709-0eb3-41ee-b1e6-55cda79d8b8b","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",21,24.40,
"36878186-adf6-4acf-a1da-ef21ea28022d","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",1,19.20,
"b905caaa-7dcc-4984-b9cb-a85779932fa6","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",14,24.30,
"88df50f8-bcb0-4ead-85bc-9b83e3138e35","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",28,24.00,
"229b0698-4181-4714-8af3-9e3ae95f039c","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",12,31.40,
"7aa15011-68ff-45a4-bf4d-fef38e29e14d","D11","BLUE","BLUE","2019-05-30T16:44Z","Laser Rangefinder",17,21.00,
