uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"f15ac56e-5e58-467c-a1ba-8eb8f34660b8","D19","CARI","CARI","2020-07-10T19:31Z","Tape",3,3.20,
"aa8d8223-c229-4847-8556-ff038f7ec0a1","D19","CARI","CARI","2020-07-10T19:31Z","Tape",29,3.15,
"4f427013-3975-4efd-8027-5386d0721cfe","D19","CARI","CARI","2020-07-10T19:31Z","Tape",25,4.10,
"abbdf18c-d515-4794-940a-58d7a5d05c1b","D19","CARI","CARI","2020-07-10T19:31Z","Tape",10,4.00,
"011981b0-c142-4040-931b-55ef8166c4c2","D19","CARI","CARI","2020-07-10T19:31Z","Tape",17,3.95,
"2b18294d-8dfb-43f0-9fe7-6c890274e6b2","D19","CARI","CARI","2020-07-10T19:31Z","Tape",19,3.10,
"68a8c9a5-f2e8-40a9-902d-a13a3180222b","D19","CARI","CARI","2020-07-10T19:31Z","Tape",5,3.60,
"26213490-6b2c-4fc6-9fb7-4096f7a5b8fc","D19","CARI","CARI","2020-07-10T19:31Z","Tape",21,2.15,
"b7ce18ee-d546-4daa-8f13-cca9bd6807c1","D19","CARI","CARI","2020-07-10T19:31Z","Tape",27,3.20,
"0fe8ac8a-aacb-4e01-897c-52480a629505","D19","CARI","CARI","2020-07-10T19:31Z","Tape",20,3.80,
"a952d411-a3a1-4576-af2f-f22f8f459d1b","D19","CARI","CARI","2020-07-10T19:31Z","Tape",14,2.60,
"de084676-02ac-429f-b2a7-7abd5afbff1b","D19","CARI","CARI","2020-07-10T19:31Z","Tape",7,2.50,
"dcb6e0d8-177b-4154-98fe-b6336b60e5fa","D19","CARI","CARI","2020-07-10T19:31Z","Tape",22,3.00,
"e1120a99-ade3-4b18-91fc-02acc78957a2","D19","CARI","CARI","2020-07-10T19:31Z","Tape",8,3.30,
"c11f618a-18e8-421c-b949-02e009a5926f","D19","CARI","CARI","2020-07-10T19:31Z","Tape",16,1.95,
"cca23941-f5c1-48be-8d53-04e715be9716","D19","CARI","CARI","2020-07-10T19:31Z","Tape",13,2.85,
"edeb7429-eca5-4a0b-85ab-22610d24659b","D19","CARI","CARI","2020-07-10T19:31Z","Tape",12,3.90,
"c91165e7-cd32-4ffe-8064-c211d3e329d0","D19","CARI","CARI","2020-07-10T19:31Z","Tape",28,4.00,
"1e14b575-b2a8-4017-8329-ff0822afa4b8","D19","CARI","CARI","2020-07-10T19:31Z","Tape",15,2.40,
"35c1cc01-e205-4c51-adf1-47f26ad75332","D19","CARI","CARI","2020-07-10T19:31Z","Tape",11,3.00,
"f8806a3d-22b1-469c-bce7-d7a3aab5ccc4","D19","CARI","CARI","2020-07-10T19:31Z","Tape",30,3.25,
"135903ce-3507-4d4c-b03a-2bf22d1391c2","D19","CARI","CARI","2020-07-10T19:31Z","Tape",23,2.70,
"a24fedc5-0814-47f0-a80a-5da61bd8bb1c","D19","CARI","CARI","2020-07-10T19:31Z","Tape",1,4.00,
"20a8c8a9-4fd7-4311-9939-866f4cd6fa09","D19","CARI","CARI","2020-07-10T19:31Z","Tape",4,4.50,
