uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"64eeb0ae-6e6a-4b84-9380-c5e21f39eb99","D13","COMO","COMO","2020-09-09T17:31Z","Tape",16,1.20,
"4ffcfd98-5fc2-4978-ad2f-7e099aee9416","D13","COMO","COMO","2020-09-09T17:31Z","Tape",30,1.80,
"d55d39c8-7238-4883-b9aa-356ff25578a3","D13","COMO","COMO","2020-09-09T17:31Z","Tape",28,3.40,
"ad671505-76e8-4b43-9b02-9a75fee298b1","D13","COMO","COMO","2020-09-09T17:31Z","Tape",4,1.25,
"ce32ed8b-5985-4de6-855f-b4294b589f7f","D13","COMO","COMO","2020-09-09T17:31Z","Tape",20,1.40,
"3d78a68a-f63e-434b-bd1a-0f3cceaff175","D13","COMO","COMO","2020-09-09T17:31Z","Tape",14,2.30,
"7ae637fa-959f-4564-acfa-c883b12ff0ad","D13","COMO","COMO","2020-09-09T17:31Z","Tape",27,0.80,
"30fa0a4d-d47c-46a3-b1d2-4ea52f810d62","D13","COMO","COMO","2020-09-09T17:31Z","Tape",3,1.50,
"bac12b72-9d03-4243-87e4-200a89044564","D13","COMO","COMO","2020-09-09T17:31Z","Tape",25,2.00,
"fdaf68c4-fc70-4b99-9290-be5d2359bb90","D13","COMO","COMO","2020-09-09T17:31Z","Tape",5,0.85,
"b4bacb62-db1b-4964-b90a-f6d20a239184","D13","COMO","COMO","2020-09-09T17:31Z","Tape",1,1.70,
"4d46c87e-70d9-497e-bd8d-e7ca39f3fc05","D13","COMO","COMO","2020-09-09T17:31Z","Tape",11,0.80,
"0fd9368e-121e-4953-b636-fc77b40248c9","D13","COMO","COMO","2020-09-09T17:31Z","Tape",19,0.65,
"78c3db9b-4f2f-4e01-ab72-f5415b55f4a5","D13","COMO","COMO","2020-09-09T17:31Z","Tape",23,2.60,
"159e427c-21e8-44a3-992e-6b4c4f835fcb","D13","COMO","COMO","2020-09-09T17:31Z","Tape",21,0.60,
"039dcdb7-49b8-4e46-af2d-a73f1fb5e062","D13","COMO","COMO","2020-09-09T17:31Z","Tape",15,1.65,
"45bed822-8e27-4463-bdfd-236745ae1181","D13","COMO","COMO","2020-09-09T17:31Z","Tape",29,2.50,
"b5c5a227-b6d4-4271-8236-a8449b5e4604","D13","COMO","COMO","2020-09-09T17:31Z","Tape",18,1.10,
"5413cd3e-f906-4c7e-b5dd-0081f943dbc3","D13","COMO","COMO","2020-09-09T17:31Z","Tape",26,0.50,
"7ae6cc3b-b990-4a62-8d51-8454f99c41e1","D13","COMO","COMO","2020-09-09T17:31Z","Tape",13,0.40,
"f3552fb8-4407-4958-99ff-5eb25e3fbf02","D13","COMO","COMO","2020-09-09T17:31Z","Tape",6,0.50,
"956a2fc5-33e4-492a-bbcb-9065dc991b44","D13","COMO","COMO","2020-09-09T17:31Z","Tape",12,0.90,
"07a71f7f-b46e-4c76-925e-73ace5210adc","D13","COMO","COMO","2020-09-09T17:31Z","Tape",7,1.10,
"ab935266-a511-476d-9908-a1a22af397c8","D13","COMO","COMO","2020-09-09T17:31Z","Tape",17,1.20,
"4f5aa117-6a67-4966-9f7b-2d8ce958ac02","D13","COMO","COMO","2020-09-09T17:31Z","Tape",9,0.80,
"64bfea9f-0bb8-4aba-b375-daae0c598b22","D13","COMO","COMO","2020-09-09T17:31Z","Tape",24,2.20,
"520a403e-12df-4796-9cd8-ebfe39a36260","D13","COMO","COMO","2020-09-09T17:31Z","Tape",10,1.40,
"15c8b022-e810-4b3f-b7fb-741f227adc1f","D13","COMO","COMO","2020-09-09T17:31Z","Tape",2,0.90,
"7ccdaf6d-26a2-4b7f-b8ba-d8f94d6a3f40","D13","COMO","COMO","2020-09-09T17:31Z","Tape",8,2.20,
"936ca075-42f2-4eac-97a1-50002e39a43c","D13","COMO","COMO","2020-09-09T17:31Z","Tape",22,1.80,
