uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"41856fab-a3fb-42a9-b7fb-6163de391f3e","D04","CUPE","CUPE","2016-07-28T16:00Z",,5,4.58,
"d9673876-1474-4989-a93a-5614b1eec549","D04","CUPE","CUPE","2016-07-28T16:00Z",,25,6.80,
"f0fab168-d3a0-436c-99c4-3bc89cf3816b","D04","CUPE","CUPE","2016-07-28T16:00Z",,11,3.55,
"a4efc9ef-be92-40d2-9dd0-233d169163de","D04","CUPE","CUPE","2016-07-28T16:00Z",,1,4.50,
"0054017f-ed6e-4f69-8ab1-c70ff8d23ab7","D04","CUPE","CUPE","2016-07-28T16:00Z",,14,3.45,
"f22a6c74-e258-4810-9af4-6f45558373b4","D04","CUPE","CUPE","2016-07-28T16:00Z",,10,2.95,
"71d4f6ea-6f6e-4372-85cb-27f4874caa8c","D04","CUPE","CUPE","2016-07-28T16:00Z",,22,3.40,
"0e14728b-a1bc-4b90-b607-de5cc007e181","D04","CUPE","CUPE","2016-07-28T16:00Z",,15,4.60,
"2005acf2-4221-4eae-8bd1-99fabbb9c0f3","D04","CUPE","CUPE","2016-07-28T16:00Z",,24,7.25,
"dc14d71c-ca85-41b8-ae4b-26dec4b688b5","D04","CUPE","CUPE","2016-07-28T16:00Z",,9,3.00,
"903a27ae-9dcf-4f53-9838-da9c83ba27a2","D04","CUPE","CUPE","2016-07-28T16:00Z",,19,4.35,
"971f9552-ad1a-44d2-844a-25ab38e3edc6","D04","CUPE","CUPE","2016-07-28T16:00Z",,20,3.70,
"6bfd095d-a7dc-4783-9bb5-3c3ee13d87b3","D04","CUPE","CUPE","2016-07-28T16:00Z",,26,5.90,
"fd8cbec6-9247-416c-99fa-a3e7907e8809","D04","CUPE","CUPE","2016-07-28T16:00Z",,29,4.05,
"793d3bc4-b74b-48c6-97d1-b9fd0fa2ead3","D04","CUPE","CUPE","2016-07-28T16:00Z",,3,2.95,
"cb845c3b-a530-4cc3-8c46-3d8b38ce9b37","D04","CUPE","CUPE","2016-07-28T16:00Z",,6,6.35,
"de7db20c-87da-4a23-a2dd-adb299870fc4","D04","CUPE","CUPE","2016-07-28T16:00Z",,23,4.10,
"ef81274b-1b81-4f45-9a06-3b1609412357","D04","CUPE","CUPE","2016-07-28T16:00Z",,27,2.95,
"d626c3cd-0891-45bb-b501-f640552c1322","D04","CUPE","CUPE","2016-07-28T16:00Z",,12,4.10,
"15c8065e-3255-48ef-b98a-7c382c7a1ef5","D04","CUPE","CUPE","2016-07-28T16:00Z",,18,5.15,
"b564003c-cfdf-4c97-8be7-5ee218cf030e","D04","CUPE","CUPE","2016-07-28T16:00Z",,2,3.50,
"9226c50c-6f0e-49c8-b586-124e345abcce","D04","CUPE","CUPE","2016-07-28T16:00Z",,16,3.53,
"b301f487-011d-4c8f-a8a1-c9574e12553d","D04","CUPE","CUPE","2016-07-28T16:00Z",,8,3.95,
"255d7650-926d-4983-a3ac-2c79e1b7bb1c","D04","CUPE","CUPE","2016-07-28T16:00Z",,13,5.35,
"388f6121-59f4-4553-ac71-22d8a8051f6e","D04","CUPE","CUPE","2016-07-28T16:00Z",,28,3.60,
"8eb69862-5272-4ae3-a0b2-b5b45c2d83bd","D04","CUPE","CUPE","2016-07-28T16:00Z",,30,5.20,
"fcf9be6f-4c64-4ac3-b682-e3efa1fff472","D04","CUPE","CUPE","2016-07-28T16:00Z",,17,3.55,
"a7da4979-e71a-4e22-8dbe-166269319fd1","D04","CUPE","CUPE","2016-07-28T16:00Z",,21,3.85,
"4808bf61-110a-420d-81a5-b12bfed73044","D04","CUPE","CUPE","2016-07-28T16:00Z",,4,5.10,
"4dfb83bf-e859-4202-a679-4e8aadce2ecb","D04","CUPE","CUPE","2016-07-28T16:00Z",,7,4.40,
