uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"7e58190f-c568-41eb-9288-d118e217f669","D04","GUIL","GUIL","2018-03-13T12:36Z",,26,7.20,
"29ed162f-471d-456f-b76f-ec00eb74f901","D04","GUIL","GUIL","2018-03-13T12:36Z",,16,5.60,
"ff166e33-a87c-4415-8645-11eb607450e3","D04","GUIL","GUIL","2018-03-13T12:36Z",,29,9.60,
"9fb1632f-8cd8-4462-901a-e7dc42cb7d47","D04","GUIL","GUIL","2018-03-13T12:36Z",,24,9.70,
"7709ae3f-5b34-425b-b3e1-a323f7493e4c","D04","GUIL","GUIL","2018-03-13T12:36Z",,10,4.15,
"421eed5c-5f3d-48f6-b152-ce5b1a98d156","D04","GUIL","GUIL","2018-03-13T12:36Z",,15,9.10,
"885f6d55-d363-4f66-9e85-dc9af3786ceb","D04","GUIL","GUIL","2018-03-13T12:36Z",,9,7.10,
"6e07f2c4-85bf-408b-bb4c-731b9ed9ee41","D04","GUIL","GUIL","2018-03-13T12:36Z",,13,7.90,
"5df21a66-2bfa-4695-b86f-f9aade249a7f","D04","GUIL","GUIL","2018-03-13T12:36Z",,12,7.60,
"8d1c16b7-100f-452e-9d97-17ac4c9cacf9","D04","GUIL","GUIL","2018-03-13T12:36Z",,5,2.70,
"27ea4dca-8a72-4267-a938-8938092b24ab","D04","GUIL","GUIL","2018-03-13T12:36Z",,14,9.80,
"c8f8f724-217b-4f28-aac1-ea49a632b858","D04","GUIL","GUIL","2018-03-13T12:36Z",,17,7.95,
"0da7f497-0262-4539-be67-aaaaf1f4691f","D04","GUIL","GUIL","2018-03-13T12:36Z",,21,5.50,
"a2158528-9634-4de7-a783-484989149f8f","D04","GUIL","GUIL","2018-03-13T12:36Z",,25,7.60,
"174b932c-60d8-4c60-b186-1d011565a891","D04","GUIL","GUIL","2018-03-13T12:36Z",,18,6.40,
"34348a19-eb2b-4a24-b137-c7f7ad67b9ca","D04","GUIL","GUIL","2018-03-13T12:36Z",,7,3.30,
"dfeda1d5-8894-4b51-87d6-2e659eb47471","D04","GUIL","GUIL","2018-03-13T12:36Z",,27,8.30,
"7f53d51e-4563-45fc-9085-6536a14c6afb","D04","GUIL","GUIL","2018-03-13T12:36Z",,1,8.20,
"cf8b02c8-7180-41cc-80df-0a7d19ca7ed3","D04","GUIL","GUIL","2018-03-13T12:36Z",,3,5.70,
"09fe3be2-57e1-4809-a5f5-49da4c5f3349","D04","GUIL","GUIL","2018-03-13T12:36Z",,30,6.90,
"469378e4-9c44-4bba-8234-7add67befd66","D04","GUIL","GUIL","2018-03-13T12:36Z",,11,4.55,
"4adcbb83-aabd-47da-a4f8-f8561cb390d7","D04","GUIL","GUIL","2018-03-13T12:36Z",,8,5.80,
"9927705c-1bcb-4fbe-a9a2-193293dbc6ba","D04","GUIL","GUIL","2018-03-13T12:36Z",,28,10.90,
"8d2eaadc-b3b0-475a-9281-758b4abc9c65","D04","GUIL","GUIL","2018-03-13T12:36Z",,20,7.75,
"1ef86b55-dbf5-4bb1-a865-7fdd8c8ace74","D04","GUIL","GUIL","2018-03-13T12:36Z",,19,5.50,
"66942d49-671d-4297-9e01-431d8d69b64e","D04","GUIL","GUIL","2018-03-13T12:36Z",,22,6.20,
"2c3fef19-938b-4d42-93a6-c4ce875e4529","D04","GUIL","GUIL","2018-03-13T12:36Z",,4,4.55,
"9025e02b-296d-41de-aa7f-96be85fa9bd5","D04","GUIL","GUIL","2018-03-13T12:36Z",,2,8.00,
"e672b1e9-bf88-4552-b8f0-2d74faaba306","D04","GUIL","GUIL","2018-03-13T12:36Z",,6,5.20,
"483a84eb-58a3-487c-bf90-cf5773afba23","D04","GUIL","GUIL","2018-03-13T12:36Z",,23,8.40,
