uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"e80edc02-eac7-4ec6-b2ef-ba5596aace57","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",21,3.40,
"3f0cd970-ec99-4634-a0ec-6ddfac04e962","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",12,6.30,
"10e56986-48ea-487f-841d-af619069c6d2","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",18,3.50,
"2c3f1a87-6dec-4d44-b1fd-1626ac82885d","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",1,3.85,
"22e137e8-e9ea-4607-ad51-0982227044c1","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",16,3.40,
"caebf6b1-72c4-4937-af9f-c088ff4ab3ef","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",30,3.40,
"8d1b6e41-094d-4eb5-a9cc-d1ac879d040b","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",7,2.10,
"6a230fad-95b6-43a1-9b9a-4f540ffb06c9","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",19,2.65,
"3d1164e3-edc0-47f6-87fb-5ff6feee88b3","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",27,4.70,
"ca96b5b9-cd8e-4647-b0dc-50f4b8a5d4d0","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",3,3.00,
"f1900231-060e-4fa4-b9e1-e30a1e13f63a","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",22,3.00,
"b77d1d00-15d3-4524-aa5e-a917242a0842","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",28,3.90,
"8af29862-c7fa-434c-bc3c-bfca88386f12","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",8,4.60,
"2ad7ad81-2561-4c77-9b5e-c8cc80d4c570","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",6,3.65,
"2409cd93-e0c2-4ee9-a3de-fe7e74476c00","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",13,3.10,
"c5adcae3-4f4f-471c-84f0-24fe8cba83fa","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",2,4.20,
"69a0061a-de66-4b25-b641-9a750fb6ae75","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",17,2.40,
"9e196556-b3aa-4e01-8200-a30c62b02b06","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",24,5.40,
"1bace085-0ead-482f-bc3e-799da72bf3a4","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",11,1.80,
"8e543d2d-c0ca-4916-b179-0c7fd9d82529","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",15,4.10,
"48160752-f34f-4099-9a65-6f39521df6f7","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",4,3.75,
"83e64c5d-4fa9-4829-ac6f-2e6137ea309f","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",23,2.10,
"22cb1b7a-8a28-4833-85fb-c60fc00d441d","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",10,3.30,
"f282bbcf-0d45-4109-976b-b780d21c6d44","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",5,2.10,
"0fddf63f-7644-47e2-866a-0a1ea89b52b5","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",26,2.85,
"2ac5974a-645c-4b34-a55c-5eeaec0e60aa","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",25,3.60,
"5086a966-03c1-43cd-a593-3d03cfa1525f","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",29,4.10,
"59f1a32b-77a6-4aed-b1ef-cc710e048df1","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",14,5.00,
"23169204-088c-427a-9e73-1ad3af83d541","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",20,3.30,
"862dfd3f-9f04-4012-8f22-f67208ff512a","D01","HOPB","HOPB","2020-09-09T14:56Z","Tape",9,3.35,
"ccc25626-3ce7-4c6c-bfda-542e35d4b828","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",25,3.35,
"8fa0fc9c-e50f-4675-a1dd-0cb156e87ee7","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",7,4.95,
"0cc69f51-d372-4c29-b5fd-e03705e398e7","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",2,4.00,
"2eeb8b31-a73a-4c9b-89b9-2fc2c507b8b8","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",21,3.75,
"a6385f5f-3e65-40ea-86fd-83de152bc22a","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",20,4.40,
"7684eeb7-6941-486c-bc71-462207966858","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",30,2.15,
"f1f2981b-e9c1-425c-ba93-d3cd99db049a","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",29,3.50,
"7c9e855c-a5bf-4707-81a8-0e83bfedf457","D01","HOPB","HOPB","2020-09-15T13:20Z","Tape",18,2.90,
