uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"43f370e0-8383-4be1-9451-b2ec905ea119","D06","KING","KING","2017-05-23T13:50Z",,27,3.70,
"12286f75-2420-48b9-be4d-c64e1664894b","D06","KING","KING","2017-05-23T13:50Z",,29,6.35,
"50d723de-925d-4a5e-a42d-d9b9b3c1d531","D06","KING","KING","2017-05-23T13:50Z",,30,3.55,
"cbe092cd-6906-40ab-aee8-702eca3dd33a","D06","KING","KING","2017-05-23T13:50Z",,28,5.10,
"721213fe-7ffd-4107-a85e-8c02b22eca45","D06","KING","KING","2017-05-23T13:50Z",,21,5.35,
"4138d969-63ed-4c44-b677-fac84b9bbcb9","D06","KING","KING","2017-05-23T13:50Z",,1,3.80,
"5bd7fc59-ae77-4a7b-af14-2e57bf90bc75","D06","KING","KING","2017-05-23T13:50Z",,23,4.45,
"ea3edb19-2ee4-4270-b612-a30c3952de41","D06","KING","KING","2017-05-23T13:50Z",,20,5.80,
"77135b0b-02f6-49c4-aa2c-3e9fb160a628","D06","KING","KING","2017-05-23T13:50Z",,24,4.60,
"f4e8875d-1a09-453c-a6a0-f55734e697d8","D06","KING","KING","2017-05-23T13:50Z",,26,1.70,
"864be800-89ea-4996-9073-19510c2ffb20","D06","KING","KING","2017-05-23T13:50Z",,6,3.65,
"b9ed8ade-5331-461f-a319-b1a9bc50a5f1","D06","KING","KING","2017-05-23T13:50Z",,17,4.90,
"f27041ae-a1f4-451f-8896-b958b676ee95","D06","KING","KING","2017-05-23T13:50Z",,7,3.40,
"dff1d3e1-b580-47f1-90f9-b4189d1850c1","D06","KING","KING","2017-05-23T13:50Z",,11,8.10,
"146667a6-ba2d-46ee-81cf-071944b77ee7","D06","KING","KING","2017-05-23T13:50Z",,22,4.95,
"b0fc4d77-a994-4527-ace6-5b9353efb615","D06","KING","KING","2017-05-23T13:50Z",,19,5.60,
"827cd292-151e-46f3-8e0d-4e6740d42c78","D06","KING","KING","2017-05-23T13:50Z",,18,5.25,
"3d4f8808-b951-43f6-837e-985350d05f94","D06","KING","KING","2017-05-23T13:50Z",,4,3.90,
"b975cd14-b8da-435c-871f-b497e3d69853","D06","KING","KING","2017-05-23T13:50Z",,13,5.80,
"9c65291c-bf13-4e82-8210-926657cbe57d","D06","KING","KING","2017-05-23T13:50Z",,8,3.95,
"62e24319-d072-4717-bedc-f773939cbb59","D06","KING","KING","2017-05-23T13:50Z",,25,1.40,
"703c52ab-5c65-461f-bbe9-a4f7adb4e8e7","D06","KING","KING","2017-05-23T13:50Z",,5,3.90,
"b3fdc453-d881-454e-8ca1-d55ef3148b5e","D06","KING","KING","2017-05-23T13:50Z",,3,3.35,
"eebe8e5e-145e-4655-972f-42800d8e069d","D06","KING","KING","2017-05-23T13:50Z",,10,4.80,
"532fe9cf-33bc-4554-8041-3cce885ae788","D06","KING","KING","2017-05-23T13:50Z",,9,3.70,
"2696e4eb-e0d0-454f-8a6f-e80bcae9a15a","D06","KING","KING","2017-05-23T13:50Z",,2,3.50,
"319ece88-b958-4248-a217-6ec3e277d343","D06","KING","KING","2017-05-23T13:50Z",,12,7.80,
"6bce1df5-589d-472d-a6ea-6331a25e6084","D06","KING","KING","2017-05-23T13:50Z",,14,3.60,
"ff83d5e5-2bed-41f6-a768-b3ef87ad6c71","D06","KING","KING","2017-05-23T13:50Z",,16,4.80,
"616bbb74-d0b2-42c7-b3ae-74a6b370ad70","D06","KING","KING","2017-05-23T13:50Z",,15,3.50,
