uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"9e37bc8e-fd88-4e30-89fb-0e4404743a7b","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",24,7.00,
"830cc7ee-e295-4bf5-b47c-2ebffe061fe5","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",10,8.30,
"ad39a94c-bbf0-421a-8083-1c13f55368b7","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",9,7.30,
"deba7764-90c0-400a-bb4f-877bd9aa9322","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",17,6.10,
"8d41290c-5bae-420e-9a0d-842f75980dcd","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",19,7.90,
"4ed453e8-479f-4e6e-865f-58c1df2b332e","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",23,12.60,
"b7376985-c5b2-4699-a3c1-53957f38288c","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",18,7.60,
"5c7b5d43-e618-495a-9f14-24d34bd730a7","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",13,6.40,
"54422c84-632c-4f63-886e-dda2a92352b9","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",29,4.40,
"2090a0d6-42a5-4961-a25d-c997369d625a","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",5,3.60,
"b76f1c42-98e9-4381-9e04-63a88791ae85","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",11,6.70,
"7b0c3601-6cf4-4d41-9975-4e82466f232a","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",4,8.00,
"ed5d42b4-58e7-44e1-8ed6-f7f732f765a5","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",20,16.20,
"b94151fb-9a92-4cff-a5da-6dd89b8c4f3c","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",15,8.60,
"db4fd785-626c-484b-8321-dc51ca8a4bc0","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",30,4.40,
"ac5fdbfd-5f52-4a6d-849f-5143bf035389","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",12,5.30,
"c15dae61-7ee2-4e4b-80e4-c32b53eefbc3","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",3,6.40,
"3a27b15d-d2bb-4c0f-8bd1-fc990bfc4e5c","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",8,7.90,
"49dfbb3d-1590-4091-b919-26faccea2c1f","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",27,3.80,
"13fbd7e6-d3b6-4392-a709-b98cffcf8f83","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",21,8.00,
"0ac8d187-9480-4827-a577-414c90019926","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",7,8.10,
"c2e5b85d-5400-44aa-b416-66ba98faafad","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",14,8.00,
"fccec10f-7ad0-4f05-a699-70d3e7bc36a1","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",6,6.90,
"f818f83c-1386-471a-a09b-371b9525b940","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",25,6.80,
"b1bdc1d1-73cf-4933-b3b4-b31ac9920c80","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",16,8.10,
"2028eac3-8596-4905-a8dc-cd5ca66c2f68","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",1,5.50,
"d63e17b4-f4fc-42ae-a941-f226d0e8d96d","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",22,14.00,
"3efb7971-9622-4a19-9a8a-4125d8786b96","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",28,6.20,
"45c25a53-703f-40d7-80e3-ab1a58c68c04","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",26,7.40,
"0efc435b-8cc7-4df3-9edc-9efb3fe1a1cd","D07","LECO","LECO","2019-02-14T16:27Z","Laser Rangefinder",2,6.30,
