uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"d6609725-c568-4c5d-998e-bab3e8fd3cd2","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",10,2.17,
"66c27ba7-c9aa-4407-b25d-914082b12657","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",27,3.04,
"ec121786-3e5a-432e-b041-5288908eb605","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",12,3.29,
"3036d4e4-3337-4e8d-bb62-39314982794a","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",25,2.66,
"d020fce3-81f2-4f2b-91c6-77ee493096a0","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",9,3.31,
"0a6076f3-056b-4ae9-acbc-6131b6beadda","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",8,2.55,
"ef553450-1717-4476-92df-98d1f88c8e57","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",30,3.32,
"f7d6e7da-d883-452e-846d-9ca5a6d98a82","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",23,3.05,
"40073c25-e52b-4fac-924c-abf2537d493a","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",24,3.26,
"82cb03dc-4b1c-4985-b0f7-b88b6a93bc42","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",22,2.84,
"d915f82a-d893-4630-80b8-f8dbc982bb10","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",17,4.56,
"a4acd33e-9f61-4205-9260-d6e42b3b009b","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",18,3.82,
"1352f15c-8acd-46bf-8494-043dbeb8e7d4","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",7,2.71,
"0c7024bc-d788-46e5-b829-3ba3f3e83eb8","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",20,2.91,
"33767ac4-b17a-41a8-ae46-b5b129acb1da","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",6,3.27,
"a0813a4a-9b43-44e5-a55c-c6b6fd4d8eed","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",29,3.75,
"ce3f803e-ef52-4d84-af01-67fbb24b11e6","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",13,3.59,
"6213fc11-1568-4a23-9a23-1e4c87864012","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",16,3.32,
"600f7e5b-d302-472e-933f-f889a1217876","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",2,4.56,
"b5c1d4f9-3633-4eac-a53e-731b09882fd6","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",19,5.44,
"c960c98b-b607-4c8f-be70-40523d34da1c","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",3,2.90,
"9e907e7b-6172-401d-a2d1-753dafac315e","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",1,3.07,
"e22f57e6-929b-4d80-800b-e6153b69a41d","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",14,4.09,
"7fb406ce-7b85-4494-95b5-6767d7bb64cf","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",11,2.90,
"17737265-05ec-426f-ad72-659c608b7547","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",15,4.34,
"fe2eaeb0-2e13-4276-9e63-3cd966354c82","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",28,3.19,
"7f8703d2-e6e0-4979-a688-7a47b492488c","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",21,2.96,
"1dc9b47a-52db-478e-a121-ceefd9a1933d","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",4,3.66,
"5c11db11-b0fa-4092-b43d-72c15b8956fc","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",26,2.97,
"69d52aa4-9283-47aa-8385-128b83af9140","D02","LEWI","LEWI","2020-02-03T13:09Z","Tape",5,4.08,
