uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"1f815221-c96e-4fdc-b1e3-875a9b0a0202","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",23,5.10,
"54bdd1bb-3701-457c-9f93-c0364c9bb617","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",2,3.70,
"4fa32e26-f3c2-436b-a2b7-86e035fd6800","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",12,5.20,
"67377fff-66d6-4e34-bfb9-85c8d9e4134c","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",20,4.00,
"ca561fc3-c722-4fbd-aeae-f8e05e633d24","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",21,2.60,
"0441ec65-65f0-469f-a28b-c3354e1dbbbe","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",26,5.10,
"4050b59a-9188-4a2d-a07a-84014b6ad1e5","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",13,4.70,
"a973ee71-05e1-4c7e-bda0-09c0757da65e","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",17,3.70,
"c7883601-bece-454f-823a-d346159c1b66","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",1,5.60,
"cf558149-00ef-4874-a20b-f9fe29c449fb","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",9,5.30,
"9a374ade-d53e-482f-bd29-8353660f7379","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",3,4.50,
"5240e667-729b-4f39-bf7d-f4989e414567","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",10,4.10,
"ea84d832-f7fd-4335-83d6-ecad1d708b14","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",7,4.10,
"8f65f7f7-fd1d-498f-882e-2e69e03371a5","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",25,4.80,
"639cb490-45db-4f5b-bfbd-4acf76723a23","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",29,4.40,
"2d099f8b-7a47-4ff5-baaf-379754af7607","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",27,4.70,
"0c87fe57-310f-4b90-8995-cc74fc4550fe","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",15,3.60,
"02262db1-1855-49eb-87fd-c02e695782de","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",24,4.10,
"1f5f16cd-13ce-4263-a8f6-a32a5be17d6b","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",16,5.60,
"c25d9fd9-1188-4750-b051-97cf02a5c3d2","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",22,7.30,
"84b9d68d-17c8-4083-ae7e-ac85251a284e","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",28,5.00,
"20061f78-e85a-4f93-bb51-a41844da34ae","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",8,3.60,
"dbbb5162-6ca4-41c1-a7ee-1f963049b956","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",11,5.70,
"ebedb633-453a-436a-b14b-dcc7d690b878","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",30,4.30,
"44d8a1be-62b9-483b-8234-b952aa617ba2","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",6,5.60,
"cd429d24-da4f-45e8-9ff8-428c80111031","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",5,5.50,
"a7325043-1125-421f-b41b-7f8d08575406","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",4,4.00,
"4a136638-7a09-4ed5-94b6-14be526d432a","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",14,2.80,
"315ec9ce-d5fc-4ed4-b893-b484d6e962d7","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",18,4.50,
"7b251e6d-d89a-49f8-9d37-f3c34c3a350c","D16","MART","MART","2019-02-20T19:24Z","Laser Rangefinder",19,5.90,
"08c06259-3a55-4643-9a49-dd197c68ca30","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",15,3.40,
"33cb6909-e2d0-4f2a-bd53-2e067f5df9c8","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",3,4.80,
"3dae85d8-22c0-43e8-9488-bb6932c1514f","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",12,5.40,
"7f367b11-7ad3-4cc2-b42c-885dba1da14f","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",30,3.50,
"cd8b59a5-849c-4fc2-900e-9d4c727d1161","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",4,4.50,
"fe66e43c-7590-4db1-b9ca-782fd1f9fecb","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",8,3.50,
"6cf0e624-a567-441c-b505-e46bb69a3e1f","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",26,6.50,
"da578acf-1d0b-4aa3-9dd4-606ec92b1f9d","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",14,5.60,
"21c78028-77f9-4b7b-a22b-d558865b0816","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",1,5.10,
"270d4fc9-3bc9-4c80-aa52-7da533d92347","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",10,4.50,
"285ec235-508f-4528-9712-6524add93330","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",23,5.10,
"77cf5d69-26da-48b3-8b57-78e08fced346","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",2,5.30,
"c38441a9-71fd-4635-9063-cba2fa61f0d8","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",22,3.10,
"0a8eae9b-83fb-48b3-acf2-2d379c29f4f8","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",21,3.40,
"368f5079-faf9-48e6-ad88-1f0e093efb3f","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",6,6.00,
"19123c60-874e-4929-8442-7434deee5015","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",27,6.00,
"a1be0d5f-a15d-4faa-ac73-e5954baf1818","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",11,4.70,
"3f1fba26-7b11-4327-afc9-8105c85dbead","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",9,4.90,
"f61778dc-ce0c-4aa0-8a91-50c86dea1d27","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",20,3.50,
"4b95bec9-de2c-4054-8eaa-e1e0436fcb8d","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",7,3.90,
"021f7cf1-8456-41fc-bca2-0e1c8edc38e8","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",18,7.50,
"8b7f39fd-6693-44c7-8b1f-2e1b2fc4b61d","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",19,5.20,
"691fbc2e-a0f8-43c0-9589-b7e46dba40e2","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",25,4.90,
"1b720bd2-79e9-4feb-84e1-c1fd24594d5c","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",29,5.20,
"e24f1919-f25f-4407-b533-b19b3cb7233e","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",5,5.00,
"29e9f974-4786-4413-a2ea-39f9197d86fb","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",17,5.80,
"7cbfe2dc-273f-432e-8c5f-ebec2c23aa26","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",16,2.00,
"8c3e9823-71ec-49ef-b225-d391ffb5ef1f","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",24,4.30,
"694f3358-b2d4-4e44-8268-b7998ed17c4c","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",13,4.80,
"19809cd3-b989-4291-9485-f9db86c6d6a4","D16","MART","MART","2019-02-26T18:14Z","Laser Rangefinder",28,3.80,
