uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"32060a28-d8c3-45f3-8fef-4a5adeba1208","D08","MAYF","MAYF","2017-05-09T15:12Z",,29,2.30,
"557aa84e-a14b-4736-b9d8-c4fdd20f0423","D08","MAYF","MAYF","2017-05-09T15:12Z",,30,3.80,
"f5413f72-586d-48b9-b50e-dea1dccf237d","D08","MAYF","MAYF","2017-05-09T15:12Z",,27,4.80,
"d2f10004-c8de-474b-907c-e853e9df5d2d","D08","MAYF","MAYF","2017-05-09T15:12Z",,7,7.30,
"4c9a8599-22ad-4016-aaac-7c05012f2c7c","D08","MAYF","MAYF","2017-05-09T15:12Z",,3,5.37,
"dc91fa39-e35e-4d2d-9c95-9aa29fddf8e2","D08","MAYF","MAYF","2017-05-09T15:12Z",,2,3.75,
"d0c56a9e-4329-4a23-a476-14bc0d5e0891","D08","MAYF","MAYF","2017-05-09T15:12Z",,18,7.40,
"5f86d84b-e6d8-4012-acc4-9bc256544619","D08","MAYF","MAYF","2017-05-09T15:12Z",,1,3.15,
"8d10ff0d-a024-425f-83ee-02674011ab44","D08","MAYF","MAYF","2017-05-09T15:12Z",,24,3.70,
"4b4a6709-2722-4da1-bde3-462c2eb33925","D08","MAYF","MAYF","2017-05-09T15:12Z",,5,5.40,
"49a721a4-2ac0-449c-ad66-3cf9fec10b88","D08","MAYF","MAYF","2017-05-09T15:12Z",,12,4.90,
"d89b6bfe-8573-417e-a36c-5b925a56bf3e","D08","MAYF","MAYF","2017-05-09T15:12Z",,14,5.30,
"656d944e-5315-45c3-89ba-6e0a35553ace","D08","MAYF","MAYF","2017-05-09T15:12Z",,6,5.30,
"114bd585-2060-49fb-b301-d1f6e1354677","D08","MAYF","MAYF","2017-05-09T15:12Z",,26,4.90,
"6de6f9b3-638e-49dd-8592-5e3b86c6de68","D08","MAYF","MAYF","2017-05-09T15:12Z",,10,5.50,
"6c632276-aa57-42bd-8874-30a588901d0f","D08","MAYF","MAYF","2017-05-09T15:12Z",,23,2.50,
"ee13cd03-fe03-4097-a591-a52833838dfb","D08","MAYF","MAYF","2017-05-09T15:12Z",,9,6.40,
"50a5aad4-4d3d-4a69-bac6-923b7278aa31","D08","MAYF","MAYF","2017-05-09T15:12Z",,13,5.50,
"9cf5b6dc-29d7-471d-a1c3-9f386a6b5c71","D08","MAYF","MAYF","2017-05-09T15:12Z",,21,5.00,
"128c8af3-547a-4bbb-b87b-4a25dffcfd52","D08","MAYF","MAYF","2017-05-09T15:12Z",,28,3.80,
"d6a7b692-95fb-4be6-a0c7-306b0bdba0c9","D08","MAYF","MAYF","2017-05-09T15:12Z",,15,3.10,
"c7fde5ae-6579-4cf7-b6ae-5f71d56199ab","D08","MAYF","MAYF","2017-05-09T15:12Z",,22,2.80,
"be47e4f2-6825-4c1e-966a-aac92e615061","D08","MAYF","MAYF","2017-05-09T15:12Z",,4,4.80,
"8d982509-8bbc-44ed-b7ce-b7d45e64d003","D08","MAYF","MAYF","2017-05-09T15:12Z",,11,5.60,
"217c5b41-015d-42bb-9da7-4151c21832c2","D08","MAYF","MAYF","2017-05-09T15:12Z",,8,4.10,
"3bb1effe-b80a-4425-a7a8-ba8f84a908ba","D08","MAYF","MAYF","2017-05-09T15:12Z",,19,3.20,
"baed1b52-d727-443d-b11e-a17e8a0038e2","D08","MAYF","MAYF","2017-05-09T15:12Z",,16,3.90,
"1282c0a2-fd9b-444d-96e6-5f57479f2928","D08","MAYF","MAYF","2017-05-09T15:12Z",,20,5.30,
"5eab5bf2-d622-4caf-b765-ec7c927b21f8","D08","MAYF","MAYF","2017-05-09T15:12Z",,17,3.80,
"02246525-fb0c-498b-b31c-51b13db5a432","D08","MAYF","MAYF","2017-05-09T15:12Z",,25,4.40,
