uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"93bdd2cb-57c6-49ff-882f-a83d806d09ba","D06","MCDI","MCDI","2017-08-22T14:24Z",,30,4.80,
"a85267f4-29c8-4e4d-b2e3-b8bd60e21324","D06","MCDI","MCDI","2017-08-22T14:24Z",,1,3.00,
"f965e69f-e26f-436f-bd4a-be5b1a7c60a1","D06","MCDI","MCDI","2017-08-22T14:24Z",,20,4.60,
"cd481550-66f0-4a75-a6bd-71ebd49ece4e","D06","MCDI","MCDI","2017-08-22T14:24Z",,10,2.10,
"b044318c-9560-4aa8-b86e-562781eb1b88","D06","MCDI","MCDI","2017-08-22T14:24Z",,26,5.00,
"40855696-8a07-4ddd-aa1e-b4b5f0357710","D06","MCDI","MCDI","2017-08-22T14:24Z",,6,2.70,
"ee779677-5961-4dc9-89b2-841bcd47cc4d","D06","MCDI","MCDI","2017-08-22T14:24Z",,14,4.60,
"701cf164-28d1-4d76-bafa-eb003c71c155","D06","MCDI","MCDI","2017-08-22T14:24Z",,28,4.40,
"88467e0e-c3ec-44c5-9e4f-f7d7cd6d03d2","D06","MCDI","MCDI","2017-08-22T14:24Z",,12,3.00,
"2643df7f-a068-4f35-a103-5f81433de0d5","D06","MCDI","MCDI","2017-08-22T14:24Z",,24,8.70,
"e3571b88-da3c-4f08-b460-bc1d8680a6e1","D06","MCDI","MCDI","2017-08-22T14:24Z",,3,2.90,
"3ea8f602-3c96-4bba-afb6-ed4d06330a95","D06","MCDI","MCDI","2017-08-22T14:24Z",,29,4.70,
"94c6a63c-c770-496b-a485-ef3ccf29a044","D06","MCDI","MCDI","2017-08-22T14:24Z",,23,8.20,
"5a6608bc-e739-4f83-a6c3-1a14649afb30","D06","MCDI","MCDI","2017-08-22T14:24Z",,15,6.60,
"5182b168-68c0-4ddf-8feb-ed6d930ef692","D06","MCDI","MCDI","2017-08-22T14:24Z",,5,2.50,
"a96cf8d4-e5ec-42a8-a6f2-8bc16a8bff60","D06","MCDI","MCDI","2017-08-22T14:24Z",,22,4.50,
"203a54a7-61df-418b-91ae-429e914e7b12","D06","MCDI","MCDI","2017-08-22T14:24Z",,13,3.50,
"11cc5fb5-f722-496d-aefa-8ac739de81b5","D06","MCDI","MCDI","2017-08-22T14:24Z",,17,2.30,
"0dde5393-c12d-43be-8de6-d2b49ed92b9d","D06","MCDI","MCDI","2017-08-22T14:24Z",,25,5.40,
"e46f4254-2038-4679-99e8-e5c4018d40de","D06","MCDI","MCDI","2017-08-22T14:24Z",,8,1.50,
"35e5c84b-ccd5-4ff7-87f3-64f7fab43f88","D06","MCDI","MCDI","2017-08-22T14:24Z",,2,2.80,
"c6cf775a-2f3c-4b55-bced-742325b213bc","D06","MCDI","MCDI","2017-08-22T14:24Z",,27,4.70,
"f92b1208-6447-4f60-b284-9650b9ba7b84","D06","MCDI","MCDI","2017-08-22T14:24Z",,7,2.00,
"1c809492-e14f-4645-976f-58099e6d2329","D06","MCDI","MCDI","2017-08-22T14:24Z",,19,3.30,
"c55e9d7b-2999-48e6-a562-5f30ff708a9b","D06","MCDI","MCDI","2017-08-22T14:24Z",,11,5.40,
"4f4ffef1-4dfe-46cd-a472-8c45981312f5","D06","MCDI","MCDI","2017-08-22T14:24Z",,21,5.10,
"8e86541b-fc24-4319-9684-254ab5801d5b","D06","MCDI","MCDI","2017-08-22T14:24Z",,18,2.60,
"0b07da85-3a0e-4032-be40-7138d23f379c","D06","MCDI","MCDI","2017-08-22T14:24Z",,16,7.30,
"6643e435-dff6-4c4c-a793-54a3ee42cb19","D06","MCDI","MCDI","2017-08-22T14:24Z",,4,3.30,
"b1925f0f-2a86-493b-8c77-c3ce8c4a05bb","D06","MCDI","MCDI","2017-08-22T14:24Z",,9,2.75,
