uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"f2952c20-2655-4eb2-a8f5-1f1d057fee4d","D16","MCRA","MCRA","2018-08-09T22:49Z",,2,2.40,
"9f2a055c-83a4-4dec-8160-170076ce4618","D16","MCRA","MCRA","2018-08-09T22:49Z",,17,2.40,
"5a5cd391-3f9c-4265-ab7d-001e9dc5cd3c","D16","MCRA","MCRA","2018-08-09T22:49Z",,13,3.30,
"b0543956-308a-439e-9d6a-d48c137b13d8","D16","MCRA","MCRA","2018-08-09T22:49Z",,7,5.10,
"381debfd-6a09-48f1-8048-89e50477c547","D16","MCRA","MCRA","2018-08-09T22:49Z",,27,2.20,
"b912c025-7c18-4df0-b3e4-c9b4239ae9b0","D16","MCRA","MCRA","2018-08-09T22:49Z",,12,2.40,
"64f96b18-d520-40d9-92ab-4c289b506f23","D16","MCRA","MCRA","2018-08-09T22:49Z",,9,3.10,
"ca2388d1-c98e-4858-b351-97d4b3bb5224","D16","MCRA","MCRA","2018-08-09T22:49Z",,14,6.00,
"7b16cdb8-f87b-4ec8-a54d-fa0a6bba67ee","D16","MCRA","MCRA","2018-08-09T22:49Z",,16,4.50,
"4481a582-3e84-4e02-a09a-80131f3f7854","D16","MCRA","MCRA","2018-08-09T22:49Z",,3,6.80,
"79da0cc1-0119-489d-a13c-d06bf7825238","D16","MCRA","MCRA","2018-08-09T22:49Z",,29,4.70,
"734e511f-86f5-42af-8e14-cc6ff9a41005","D16","MCRA","MCRA","2018-08-09T22:49Z",,18,3.90,
"9130e558-09e1-4881-8a69-3672b403a63d","D16","MCRA","MCRA","2018-08-09T22:49Z",,8,2.60,
"7713642b-4506-4310-980a-fdd7af0e58db","D16","MCRA","MCRA","2018-08-09T22:49Z",,22,5.40,
"b0d6a9ca-e91a-4e6b-bfa7-3f75a64109e9","D16","MCRA","MCRA","2018-08-09T22:49Z",,5,3.00,
"20f5bc45-824f-41c0-934f-947fb1918eed","D16","MCRA","MCRA","2018-08-09T22:49Z",,21,4.20,
"02e7240a-7230-403d-8733-4931449abcba","D16","MCRA","MCRA","2018-08-09T22:49Z",,26,3.90,
"8fee65e7-3c74-457b-b81e-1231c4f83411","D16","MCRA","MCRA","2018-08-09T22:49Z",,24,3.50,
"a6df583b-a640-4b29-8ab1-c254cf20bea7","D16","MCRA","MCRA","2018-08-09T22:49Z",,11,2.70,
"e298a3b7-1ef6-4441-8385-6dd56f039cfd","D16","MCRA","MCRA","2018-08-09T22:49Z",,25,4.10,
"3b88c2d4-1680-4044-91d7-a02aea913267","D16","MCRA","MCRA","2018-08-09T22:49Z",,28,3.30,
"c89f8d45-30fa-4db7-a9cc-80604d13178b","D16","MCRA","MCRA","2018-08-09T22:49Z",,20,3.80,
"5f023a6f-e411-4a24-91ea-9c6a41ae7a8f","D16","MCRA","MCRA","2018-08-09T22:49Z",,10,4.20,
"4cbeeb67-0ebc-4775-9a6c-a6bfe509cadc","D16","MCRA","MCRA","2018-08-09T22:49Z",,23,6.20,
"c5bf9b02-c062-42f4-b9a6-2f6e505058c6","D16","MCRA","MCRA","2018-08-09T22:49Z",,15,3.90,
"03d465ee-b96e-40d0-880e-ed32cc7f900a","D16","MCRA","MCRA","2018-08-09T22:49Z",,4,3.70,
"5c4e097c-5b24-40f8-98f1-1e78e2920ab1","D16","MCRA","MCRA","2018-08-09T22:49Z",,19,5.60,
"8aef1045-42a2-4dce-a552-8aa27c3b4c8c","D16","MCRA","MCRA","2018-08-09T22:49Z",,1,4.60,
"80420ef2-790d-44ad-88c0-fda30f5175b3","D16","MCRA","MCRA","2018-08-09T22:49Z",,30,5.80,
"f4b3f7d7-2225-4a99-8ba9-50f79ea1451e","D16","MCRA","MCRA","2018-08-09T22:49Z",,6,4.50,
