uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"91b52695-30de-4a47-9b65-9aa98034f5d2","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",8,5.20,
"b1dc8330-a984-443e-9467-4c958cf4cd07","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",12,6.80,
"ae563abd-a508-44af-a544-53ebe5326ba5","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",15,7.60,
"04c16baa-86f0-4363-8910-4699f3e8d649","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",5,7.10,
"f490271d-291a-43f7-a430-033d2685c772","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",14,19.80,
"c8fa3166-a3f9-43ce-8dca-30f5ba2f3c3f","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",18,6.20,
"8e7a8ff3-9bf8-4c3f-a4cc-9c94b8770235","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",22,4.50,
"1d44a0c2-a336-43c6-9410-785627463a29","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",21,4.20,
"c0a6e826-dab7-4b02-9ec0-998343f76e60","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",27,5.30,
"dc30cf13-2a93-4a68-9797-c7cbd1df5412","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",10,5.20,
"9de66de6-3c2a-48c2-bcf3-039e732fdfe4","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",1,5.40,
"fe7d6bf4-b9d4-4aff-b89f-2163754be765","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",23,8.00,
"42b2d99e-d98c-4213-9a05-b0a42ffa3330","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",30,5.80,
"221094d9-180d-4d7d-9881-c378654ff9f4","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",20,7.00,
"24dffeca-7330-4d41-9409-965e4d2186f0","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",3,7.00,
"8322e476-85a2-4aef-a331-c20eba0c77ef","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",19,6.90,
"633522ad-737a-4388-8772-dbac1dcfbcc4","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",29,6.00,
"f8dc8e1a-3f83-4c06-b93b-1c46be2a9072","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",11,4.80,
"a1cdbc3f-d626-4a34-841e-6240871800c2","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",25,5.40,
"81d0fe93-45f2-47a2-aa03-7f2cd62a295f","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",28,5.40,
"78dc57e8-6809-4157-9dc2-1df7a7f6f936","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",17,4.60,
"f5be687e-2af3-4934-834d-e29bfd266642","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",26,5.50,
"6d66ed35-2f7e-47e7-9c63-1c20572b4f6b","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",13,12.00,
"b2b99d46-d781-40fe-a794-1f3c04259dba","D18","OKSR","OKSR","2020-08-05T20:06Z","Laser Rangefinder",6,7.90,
