uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"a9e69350-8a8d-40e0-9e53-1bc14f60f47d","D02","POSE","POSE","2018-06-25T13:39Z",,9,4.30,
"95134333-0dfe-49ee-a17d-1a11a049fc18","D02","POSE","POSE","2018-06-25T13:39Z",,28,6.40,
"981ea20a-ce29-4014-a8d3-db4d326bd3b5","D02","POSE","POSE","2018-06-25T13:39Z",,5,3.85,
"28262bb1-99e6-465b-a972-de8eb8f3d6ff","D02","POSE","POSE","2018-06-25T13:39Z",,20,8.90,
"c18601ff-8fa2-4046-92ab-533ad1bd60c4","D02","POSE","POSE","2018-06-25T13:39Z",,16,10.50,
"f320b932-fb1d-428d-be0f-7fa54c254be8","D02","POSE","POSE","2018-06-25T13:39Z",,26,8.40,
"4748b5cc-36f5-4f56-8325-aad3811c793b","D02","POSE","POSE","2018-06-25T13:39Z",,13,6.00,
"c4ca4fe4-e7eb-4899-9a22-fe148c89dac8","D02","POSE","POSE","2018-06-25T13:39Z",,2,4.35,
"342b5dc0-91c4-4866-9255-afd8faa3348c","D02","POSE","POSE","2018-06-25T13:39Z",,8,4.70,
"58f5a966-b51a-4b64-8202-b7a2f112ba8e","D02","POSE","POSE","2018-06-25T13:39Z",,14,3.95,
"9582e5e2-e61e-4c91-9e4b-b94a2789b9b7","D02","POSE","POSE","2018-06-25T13:39Z",,3,3.90,
"4080f112-6cb1-483c-9ef9-cd9f92db3e6e","D02","POSE","POSE","2018-06-25T13:39Z",,30,2.60,
"d67d2596-bb8e-409d-b994-f0205853a3aa","D02","POSE","POSE","2018-06-25T13:39Z",,19,11.35,
"91adcb84-19d2-41ac-a048-4988197cce4a","D02","POSE","POSE","2018-06-25T13:39Z",,6,8.30,
"60043ce5-6193-480d-baa5-a8f288815cf4","D02","POSE","POSE","2018-06-25T13:39Z",,12,8.10,
"aea8845b-0bee-4839-a857-b558a002ce34","D02","POSE","POSE","2018-06-25T13:39Z",,7,8.20,
"2bab5cb2-bdd4-4113-8dfd-21111772c5db","D02","POSE","POSE","2018-06-25T13:39Z",,24,8.90,
"d75264e8-e88a-4d74-b28f-2cc3326b267f","D02","POSE","POSE","2018-06-25T13:39Z",,4,4.30,
"cfea882b-3ec2-4f11-9e56-8db77cc90640","D02","POSE","POSE","2018-06-25T13:39Z",,11,6.15,
"a229a8bd-a39f-4181-a0f0-5fbc7ef00882","D02","POSE","POSE","2018-06-25T13:39Z",,1,3.80,
"9dbb7061-2691-497e-95fa-b7b96176feae","D02","POSE","POSE","2018-06-25T13:39Z",,21,12.15,
"dbe9dae7-bd4f-480d-8e07-94c2be747060","D02","POSE","POSE","2018-06-25T13:39Z",,17,14.75,
"b9ecf5c4-08db-4448-8d89-f932788c5637","D02","POSE","POSE","2018-06-25T13:39Z",,15,4.45,
"e14f831e-d827-4e8b-89d1-518b59f92e8e","D02","POSE","POSE","2018-06-25T13:39Z",,29,3.15,
"1e508568-252c-4efd-ac2e-4ce14e71667a","D02","POSE","POSE","2018-06-25T13:39Z",,25,8.85,
"414895ca-b74f-41cb-8cf6-1b0256447d4d","D02","POSE","POSE","2018-06-25T13:39Z",,10,4.90,
"316825e8-afa3-4ae8-9d79-555f8969b91c","D02","POSE","POSE","2018-06-25T13:39Z",,18,10.90,
"eba7e3ec-366c-4b3c-8c8e-587003740e1a","D02","POSE","POSE","2018-06-25T13:39Z",,27,10.70,
"663b744f-859d-4e0f-b36f-028d27585d6c","D02","POSE","POSE","2018-06-25T13:39Z",,22,12.60,
"fd3da6f6-75b9-4be7-ab8c-30fe6af24b89","D02","POSE","POSE","2018-06-25T13:39Z",,23,10.00,
