uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"37d0026b-b4a3-40b3-a626-d1cb45e9f47d","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",13,2.00,
"3d7cdc9c-2fb3-4438-8770-a2ccd7a77934","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",8,3.80,
"cb95257c-8d03-419c-b36c-0ed11833c03b","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",21,6.10,
"048fe228-be86-47ea-b7f0-315e91fdb1cd","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",5,2.90,
"7c7a8cf7-deb4-4e9f-aa2c-5363fbd9238d","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",30,4.40,
"6e08b2e7-cc18-445d-9936-b911ad04f386","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",4,3.30,
"831a6ffa-7ab2-4a85-9a18-aa94580989d6","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",27,4.40,
"a0f7ba3b-148b-40ac-8fa7-5655d0322bcb","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",10,2.00,
"546a2393-d3dc-49df-a80f-44288dd57fd7","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",11,2.30,
"e203f149-802e-4937-8e6f-8d1e216eb49e","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",28,4.60,
"83df17d0-7ccb-4143-a49e-e514a6f5deea","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",23,6.40,
"594dbf70-dc4a-44ee-8a0e-b419133d4cc9","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",16,2.20,
"5da65a83-a457-41cf-849e-ec835ce21a6a","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",22,4.60,
"0f330b8f-0dfe-48a0-b44e-6c723113619c","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",29,5.40,
"cc68aad3-6d8a-459b-bfd0-9271d32e4cbb","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",20,7.60,
"42f6a4f8-200b-450e-b925-8a5742ef4184","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",9,3.70,
"1bed16bf-871d-4538-8ffe-38000d5cd098","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",25,4.10,
"9ee593b7-e683-4387-be54-fe80ccc42f51","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",2,3.50,
"bc53f79d-f963-4409-9420-01b7afc23c38","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",18,3.20,
"2d84c46f-65ca-4ce1-ba45-d123336f2e0f","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",24,4.40,
"d8bb36ae-bbab-476f-b297-b12e8c032931","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",19,5.80,
"9e339e07-58e2-405a-aef0-9ed355f16959","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",6,3.30,
"19fc4265-3f28-493b-99cc-3e3f3627df17","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",14,2.00,
"82fc7408-e5b3-46b8-a3fd-c5f4c07c2a66","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",3,1.70,
"7338c28c-234d-4ffe-b409-9da9fcf21147","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",12,2.50,
"85a7fac0-ae68-4c51-85fe-6ca63394313c","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",15,2.80,
"a9e09e7b-3a2c-4c4e-8f31-331fd28a7cdb","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",26,2.90,
"d5395829-ba97-4ea0-b02c-3236a54c4edb","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",7,3.90,
"37fec89b-92bc-4c63-b9f6-ebdc0837dc7b","D11","PRIN","PRIN","2019-04-17T14:54Z","Laser Rangefinder",1,2.60,
