uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"4d49ffeb-d724-44f4-8120-32811a06e6c1","D17","TECR","TECR","2019-12-18T19:54Z","Tape",6,1.46,
"9bf5e0dd-fd16-444e-bbf3-9ebee92c5eae","D17","TECR","TECR","2019-12-18T19:54Z","Tape",20,1.15,
"69c235a2-c943-4aee-bf6d-44ac0f247897","D17","TECR","TECR","2019-12-18T19:54Z","Tape",24,1.14,
"def91b68-fd22-4e25-8219-eebbc57c6211","D17","TECR","TECR","2019-12-18T19:54Z","Tape",14,2.89,
"aaa6fcfc-d812-4369-8a25-59143347d6e8","D17","TECR","TECR","2019-12-18T19:54Z","Tape",7,2.38,
"93e57c88-48fc-471d-b755-e5b1b53432f3","D17","TECR","TECR","2019-12-18T19:54Z","Tape",11,2.35,
"e233d498-34e3-445e-bec5-cb22a6ba2acb","D17","TECR","TECR","2019-12-18T19:54Z","Tape",15,2.87,
"766ade76-2169-42c0-a678-13a7bdfe4cd2","D17","TECR","TECR","2019-12-18T19:54Z","Tape",5,1.20,
"1ce9bf49-8542-43a9-9913-18627ed87bd5","D17","TECR","TECR","2019-12-18T19:54Z","Tape",13,2.33,
"fb52c29f-0419-41cc-81ac-279a00814699","D17","TECR","TECR","2019-12-18T19:54Z","Tape",4,2.73,
"7dab40ab-cc2f-4069-bf25-6290e5157b1f","D17","TECR","TECR","2019-12-18T19:54Z","Tape",16,2.47,
"f060185f-0d8a-4d0e-aecb-531bc334fee5","D17","TECR","TECR","2019-12-18T19:54Z","Tape",12,1.84,
"3fa8e39d-31a6-4fb4-b2be-beb7b6d28b8b","D17","TECR","TECR","2019-12-18T19:54Z","Tape",8,3.04,
"b3bbdca8-4d17-4b2b-8301-00f81d902573","D17","TECR","TECR","2019-12-18T19:54Z","Tape",21,2.46,
"bb610443-cf6a-4567-a088-2d8ee8730996","D17","TECR","TECR","2019-12-18T19:54Z","Tape",26,1.82,
"c01e98ae-e203-4b8c-ab6e-1b55890e0fbb","D17","TECR","TECR","2019-12-18T19:54Z","Tape",29,1.57,
"f1e85a8b-2491-43a0-9b3c-11afa5354171","D17","TECR","TECR","2019-12-18T19:54Z","Tape",1,1.84,
"db8d3f4a-d3c0-4d2f-9bd2-39a903a6ee9a","D17","TECR","TECR","2019-12-18T19:54Z","Tape",18,0.94,
"f57efdeb-ea25-4c6f-a0de-ad9cc0f2ede4","D17","TECR","TECR","2019-12-18T19:54Z","Tape",27,1.66,
"0f9cf239-b6e9-4eec-9a51-26016e9f2d37","D17","TECR","TECR","2019-12-18T19:54Z","Tape",10,1.91,
"74a48def-a9c0-4a05-a433-cb24d5bb2126","D17","TECR","TECR","2019-12-18T19:54Z","Tape",9,2.36,
"eab00d1a-3687-4b73-8cea-1901434cb214","D17","TECR","TECR","2019-12-18T19:54Z","Tape",2,2.49,
"95c35812-5e13-42bf-b9d8-291385992d07","D17","TECR","TECR","2019-12-18T19:54Z","Tape",28,1.35,
"450ec4d3-e3a3-48fa-81a4-788b2516a7b2","D17","TECR","TECR","2019-12-18T19:54Z","Tape",23,2.30,
"c6ce4577-7ae6-45a6-84e0-80eb0ee30f1b","D17","TECR","TECR","2019-12-18T19:54Z","Tape",19,1.23,
"cab8a35e-af61-4428-afa1-9383fbc525ec","D17","TECR","TECR","2019-12-18T19:54Z","Tape",30,3.75,
"e1c31d80-70f3-4462-adbb-8567c6a2a460","D17","TECR","TECR","2019-12-18T19:54Z","Tape",25,1.81,
"68696a28-d7ec-432d-8522-6a245d533f46","D17","TECR","TECR","2019-12-18T19:54Z","Tape",3,1.33,
"07de8d07-3093-46e1-bed0-a11043b5082d","D17","TECR","TECR","2019-12-18T19:54Z","Tape",22,1.69,
"5da5c589-b601-450d-9ef4-fbe86c04b639","D17","TECR","TECR","2019-12-18T19:54Z","Tape",17,1.16,
