uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"5beb1b29-56cd-4485-814b-3bf176f9c34b","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",21,3.00,
"4ed93037-2609-463c-a052-bb8a601ad936","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",9,5.70,
"e4590804-c390-4ac4-ab2e-fbd7c867e948","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",10,3.70,
"5bb65581-500c-4d26-b148-9b7c7d0a79fd","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",3,4.10,
"39c6a887-014c-4a56-bf7a-05bb9c7eaec6","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",5,4.50,
"248c0ffb-39e7-4f2b-a0b1-b5b7676b571a","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",26,3.10,
"baa8194b-7296-4ee9-b8e7-c7f4b1cdd5bd","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",22,2.80,
"654834bf-3272-4b4b-9120-6d2a705d2509","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",16,3.60,
"5416203c-4857-49c4-93a2-98cb87744c2e","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",19,4.10,
"beee3b67-708f-48ec-b651-305d4eb1ef2b","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",23,2.40,
"1307f0e5-c626-4668-adab-ff1d2506be31","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",30,4.10,
"c16fee26-d1a4-4ab0-b8e7-d201c775c41e","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",11,3.30,
"f3c73585-550f-482b-a63a-d7b7c4837ba3","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",29,4.00,
"12cb03ed-833b-4b05-b105-28bdaf2ecef9","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",25,3.20,
"1915a5ad-c94e-4e91-bbd8-bc0968963af2","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",18,4.90,
"9f71d251-0921-444f-a6ef-a49a3986681e","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",6,4.20,
"08237973-ca53-484e-af6f-dae56c372e8b","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",2,4.00,
"1b1af7f7-af11-42a9-b2df-6b54eb7e053f","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",28,4.60,
"6fd96b52-9ff2-485e-b56e-ec6e57656f26","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",24,2.90,
"c9286af1-834b-4534-966c-c1b58eeae913","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",20,4.10,
"b188cfab-051c-4f91-a6cc-c1c23c9090f5","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",12,4.10,
"1927e141-5c9b-4a3f-9fdf-c0bef678eb3d","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",15,3.70,
"f03866bd-d823-42b1-b8b0-43c3c6294507","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",4,4.20,
"fadbf87b-3fa7-4ba4-8053-d98f78238eaf","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",8,5.10,
"7ad7af29-31fa-48eb-bf67-3c3958c84cc4","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",27,3.40,
"922aa9ec-59d1-46e3-9cae-174dad1fda64","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",13,4.30,
"6caf272f-4717-4178-9909-e66cdf10d706","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",17,4.40,
"d3e7a8ba-bbc8-4490-aeab-8845b1e5e4aa","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",1,3.10,
"f31c399d-d397-4126-85f6-ff66052c0a43","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",14,4.40,
"ba51d362-cace-4c44-b185-cf9b427c17e7","D07","WALK","WALK","2020-03-05T13:10Z","Laser Rangefinder",7,4.10,
