uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"7e70b1b3-6d8e-4d68-aad9-b340b9aa32f4","D13","WLOU","WLOU","2016-11-16T12:00Z",,28,2.30,"pump broke; injected gas only; vials not sent to lab"
"8ff9658e-3762-41b1-a1ae-3a4463757e29","D13","WLOU","WLOU","2016-11-16T12:00Z",,30,3.10,"pump broke; injected gas only; vials not sent to lab"
"6a2c75c5-be27-4954-955c-9d3b3b6201c9","D13","WLOU","WLOU","2016-11-16T12:00Z",,29,0.50,"pump broke; injected gas only; vials not sent to lab"
"98c7b29e-3096-4171-a696-26c2a0fe2eaf","D13","WLOU","WLOU","2016-11-16T12:00Z",,3,0.60,"pump broke; injected gas only; vials not sent to lab"
"5e885cc2-13b0-4754-a019-149f661d92f6","D13","WLOU","WLOU","2016-11-16T12:00Z",,9,0.10,"pump broke; injected gas only; vials not sent to lab"
"9b021cc1-63fe-4046-960a-9596a7353693","D13","WLOU","WLOU","2016-11-16T12:00Z",,2,1.00,"pump broke; injected gas only; vials not sent to lab"
"53b18c8a-44b8-477c-ab85-177293778ad6","D13","WLOU","WLOU","2016-11-16T12:00Z",,5,2.20,"pump broke; injected gas only; vials not sent to lab"
"2f73a6ff-65c5-4a8c-aa9a-0ecb5b9037f7","D13","WLOU","WLOU","2016-11-16T12:00Z",,23,1.90,"pump broke; injected gas only; vials not sent to lab"
"9a6d0e39-3418-46c4-89e0-05bb9c9506aa","D13","WLOU","WLOU","2016-11-16T12:00Z",,22,2.50,"pump broke; injected gas only; vials not sent to lab"
"f1056ae9-28ca-4348-a1a1-0186a7d3e3fb","D13","WLOU","WLOU","2016-11-16T12:00Z",,4,1.40,"pump broke; injected gas only; vials not sent to lab"
"32b4afb0-50c0-44a2-88bd-a9485f414e80","D13","WLOU","WLOU","2016-11-16T12:00Z",,7,1.60,"pump broke; injected gas only; vials not sent to lab"
"8305aef0-350a-4ced-8c63-3f94bfe4d2e0","D13","WLOU","WLOU","2016-11-16T12:00Z",,25,1.30,"pump broke; injected gas only; vials not sent to lab"
"27289977-b830-4ff6-bee1-5215a0d491c4","D13","WLOU","WLOU","2016-11-16T12:00Z",,12,1.90,"pump broke; injected gas only; vials not sent to lab"
"bffb2323-8ce7-4cd9-bd57-37a8d0711b40","D13","WLOU","WLOU","2016-11-16T12:00Z",,17,1.60,"pump broke; injected gas only; vials not sent to lab"
"1e8eff74-cc40-4cad-a951-047711fe5fc4","D13","WLOU","WLOU","2016-11-16T12:00Z",,26,2.20,"pump broke; injected gas only; vials not sent to lab"
"6fac1c30-c739-44f2-89f4-2df29ecaf83a","D13","WLOU","WLOU","2016-11-16T12:00Z",,20,1.50,"pump broke; injected gas only; vials not sent to lab"
"b93da183-c39d-4de2-a39d-56027778811d","D13","WLOU","WLOU","2016-11-16T12:00Z",,11,1.70,"pump broke; injected gas only; vials not sent to lab"
"ed23f7bd-215c-4e03-acae-d75f78bb66a7","D13","WLOU","WLOU","2016-11-16T12:00Z",,13,1.70,"pump broke; injected gas only; vials not sent to lab"
"87c6af87-8af4-4a95-9bc6-cd79c36ffd82","D13","WLOU","WLOU","2016-11-16T12:00Z",,6,1.80,"pump broke; injected gas only; vials not sent to lab"
"7be892ee-0d30-4980-94e3-653175c234de","D13","WLOU","WLOU","2016-11-16T12:00Z",,1,1.50,"pump broke; injected gas only; vials not sent to lab"
"0ff3e815-5ebf-47f6-bb86-3eb6c38b401d","D13","WLOU","WLOU","2016-11-16T12:00Z",,16,2.30,"pump broke; injected gas only; vials not sent to lab"
"b2e4ea3e-b372-4ef0-b808-352bf4207f01","D13","WLOU","WLOU","2016-11-16T12:00Z",,14,4.00,"pump broke; injected gas only; vials not sent to lab"
"3b12d705-dece-446f-9ef4-960d04765240","D13","WLOU","WLOU","2016-11-16T12:00Z",,19,2.00,"pump broke; injected gas only; vials not sent to lab"
"6231882c-a1a9-4466-b4b7-8011620b0820","D13","WLOU","WLOU","2016-11-16T12:00Z",,15,1.70,"pump broke; injected gas only; vials not sent to lab"
"8bd8992e-0871-485b-851c-1c48f423d278","D13","WLOU","WLOU","2016-11-16T12:00Z",,24,2.20,"pump broke; injected gas only; vials not sent to lab"
"283b02c1-9d88-456c-9573-9e8498a50cab","D13","WLOU","WLOU","2016-11-16T12:00Z",,18,2.10,"pump broke; injected gas only; vials not sent to lab"
"18cb85bd-95f2-4471-a99e-8dbb6a15d4e2","D13","WLOU","WLOU","2016-11-16T12:00Z",,27,2.10,"pump broke; injected gas only; vials not sent to lab"
"73b27021-f592-45eb-aad9-2e30ae6598f3","D13","WLOU","WLOU","2016-11-16T12:00Z",,21,1.30,"pump broke; injected gas only; vials not sent to lab"
"aef5c3d9-f8b5-4809-ad82-eeb8cb000b78","D13","WLOU","WLOU","2016-11-16T12:00Z",,10,1.80,"pump broke; injected gas only; vials not sent to lab"
"a7e8979d-de1b-49e9-9769-1fb66a758a75","D13","WLOU","WLOU","2016-11-16T12:00Z",,8,1.90,"pump broke; injected gas only; vials not sent to lab"
