uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"9a0e129b-02ce-40ab-81cc-8b633d9bac3e","D13","WLOU","WLOU","2017-10-05T14:26Z",,21,2.60,
"565412dd-8259-43d6-9e60-2370d0042438","D13","WLOU","WLOU","2017-10-05T14:26Z",,30,2.40,
"aad9a2e7-176a-40d1-9189-4376575da8f6","D13","WLOU","WLOU","2017-10-05T14:26Z",,19,3.20,
"57f7e343-a541-47e7-920a-bbfbbf4e3f4d","D13","WLOU","WLOU","2017-10-05T14:26Z",,29,2.45,
"6c17e24b-18f0-44f2-9133-a7df87b29e96","D13","WLOU","WLOU","2017-10-05T14:26Z",,27,3.00,
"8157779c-4b47-4a02-b6c4-674948781a1f","D13","WLOU","WLOU","2017-10-05T14:26Z",,25,2.20,
"a11ffc46-2fc0-4229-b917-97196ef30a7f","D13","WLOU","WLOU","2017-10-05T14:26Z",,28,3.10,
"3c5dfec9-0860-4f0a-b402-8c35b09634ed","D13","WLOU","WLOU","2017-10-05T14:26Z",,26,2.40,
"91277d36-e86c-446a-901c-357d2968214c","D13","WLOU","WLOU","2017-10-05T14:26Z",,18,3.10,
"56e68272-43fe-45ab-af07-c6022b8cb4bc","D13","WLOU","WLOU","2017-10-05T14:26Z",,24,3.60,
"51ad8d06-5296-43d9-8b45-9ba3cd12637b","D13","WLOU","WLOU","2017-10-05T14:26Z",,22,3.25,
"1c9a9d3c-f29e-489a-a33b-5699db5473cd","D13","WLOU","WLOU","2017-10-05T14:26Z",,20,2.95,
"596e9b2f-013e-4b58-9c39-c7b2534d7e4b","D13","WLOU","WLOU","2017-10-05T14:26Z",,23,2.50,
"0e153496-eb0f-472a-9bea-be6a2e66476b","D13","WLOU","WLOU","2017-10-05T14:26Z",,9,1.90,
"a75129c6-ac9d-4388-bfc3-2bcca32e0685","D13","WLOU","WLOU","2017-10-05T14:26Z",,17,2.45,
"4925a9c1-fc88-4af7-b659-bafbf24ca0df","D13","WLOU","WLOU","2017-10-05T14:26Z",,10,3.40,
"d86540b8-93ae-4100-8df3-cffff43d789d","D13","WLOU","WLOU","2017-10-05T14:26Z",,7,2.10,
"a6f2e33d-bd56-46dd-bbcb-39bff86b02a1","D13","WLOU","WLOU","2017-10-05T14:26Z",,15,2.70,
"4e919933-46a8-4e3d-929c-173f02eab7c3","D13","WLOU","WLOU","2017-10-05T14:26Z",,1,1.70,
"ee2eec1c-5ebc-4110-9257-5d824e0f6344","D13","WLOU","WLOU","2017-10-05T14:26Z",,6,1.30,
"e63cd935-df79-451b-90d9-b3628dabb870","D13","WLOU","WLOU","2017-10-05T14:26Z",,2,1.25,
"d45fdbaa-cad1-40b7-a390-06f586684056","D13","WLOU","WLOU","2017-10-05T14:26Z",,11,1.65,
"98bbe76b-b104-42a5-bd5f-dd4bd7fef36b","D13","WLOU","WLOU","2017-10-05T14:26Z",,14,2.40,
"4402aeee-a4c4-4562-a758-55d85a026135","D13","WLOU","WLOU","2017-10-05T14:26Z",,3,2.80,
"d56dac24-96ae-4a43-972d-2a8765bc00e9","D13","WLOU","WLOU","2017-10-05T14:26Z",,4,1.40,
"96562afc-4589-4426-aeca-26552b0570bf","D13","WLOU","WLOU","2017-10-05T14:26Z",,12,1.90,
"1b6d2539-211e-467a-bb6c-895502edeb57","D13","WLOU","WLOU","2017-10-05T14:26Z",,5,2.00,
"f470192d-16bf-46d4-98db-456af07f1ea8","D13","WLOU","WLOU","2017-10-05T14:26Z",,8,2.15,
"4c48b29f-7266-4286-8bd7-959be551932c","D13","WLOU","WLOU","2017-10-05T14:26Z",,13,3.40,
"239f9779-ad14-4b56-bf91-0606a7fbba02","D13","WLOU","WLOU","2017-10-05T14:26Z",,16,2.50,
"2f373658-834d-49fa-8495-ecc9e2d4bde2","D13","WLOU","WLOU","2017-10-18T18:00Z",,22,2.80,
"81735f64-69de-4f32-807d-9759606c0ec0","D13","WLOU","WLOU","2017-10-18T18:00Z",,9,1.70,
"072f1e81-d483-4da1-82e0-6e96ca10de1b","D13","WLOU","WLOU","2017-10-18T18:00Z",,15,2.30,
"a7e51cce-0358-407c-8d05-e5e837c9b207","D13","WLOU","WLOU","2017-10-18T18:00Z",,18,1.60,
"18847177-259b-402d-8fe1-8ff32a2f66a1","D13","WLOU","WLOU","2017-10-18T18:00Z",,7,1.90,
"51aad45e-ddfc-4454-8513-65ebcd341ef4","D13","WLOU","WLOU","2017-10-18T18:00Z",,2,1.30,
"75c2495d-2637-4202-942f-73235cb79c04","D13","WLOU","WLOU","2017-10-18T18:00Z",,4,1.80,
"f3a2296b-b2ad-48a5-a157-67f658769aa6","D13","WLOU","WLOU","2017-10-18T18:00Z",,3,2.10,
"b625c966-0b6c-44d4-9210-9ef59948066d","D13","WLOU","WLOU","2017-10-18T18:00Z",,23,2.40,
"ea7d9278-4c89-427d-a3c3-bb9fc0300c5d","D13","WLOU","WLOU","2017-10-18T18:00Z",,21,2.20,
