uid,domainID,siteID,namedLocation,collectDate,sortDate,qcSortDate,sampleID,sampleCode,mixedInvertVialID,mixedInvertVialCode,chironomidVialID,chironomidVialCode,oligochaeteVialID,oligochaeteVialCode,largeInvertVialID,largeInvertVialCode,testProtocolVersion,primaryMatrix,preRinseVolume,postRinseVolume,subsamplePercent,qcSortingEfficacy,qcIterationCount,qcPercentSimilarity,laboratoryName,sortedBy,qcSortedBy,benchRemarks,dataQF,qcEnumerationDifference,qcTaxonomicDifference
"416a3713-f79d-4d62-a5b3-9ac9e928547d","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-28",,"ARIK.20140714.CORER.1",,"ARIK.20140714.CORER.1",,,,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,50.0,,,,"GEI Consultants Inc.","TPqImwkcDMBUXj2ZycaevQ==",,"sand/woody","legacyData",,
"9d7034ec-3ab1-4592-b325-89ea67188613","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-29",,"ARIK.20140714.CORER.3",,"ARIK.20140714.CORER.3",,,,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,100.0,,,,"GEI Consultants Inc.","TPqImwkcDMBUXj2ZycaevQ==",,"woody","legacyData",,
"6c6e044d-8696-4df5-ba8b-b6a099f676e4","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-02-01","2015-02-01","ARIK.20140714.CORER.2",,"ARIK.20140714.CORER.2",,"ARIK.20140714.CORER.2",,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,80.0,99.4,2,,"GEI Consultants Inc.","SnSgqzTvnxE=","9kPjMwk4VEM=","algae","legacyData",,
"fe1b5a7e-c7c6-4b50-a83f-5b5c9f75635c","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-29",,"ARIK.20140714.CORER.3",,"ARIK.20140714.CORER.3",,,,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,100.0,,,,"GEI Consultants Inc.","TPqImwkcDMBUXj2ZycaevQ==",,"woody","legacyData",,
"7904fe2c-e614-4784-859e-361e26055be6","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-28",,"ARIK.20140714.CORER.1",,"ARIK.20140714.CORER.1",,,,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,50.0,,,,"GEI Consultants Inc.","TPqImwkcDMBUXj2ZycaevQ==",,"sand/woody","legacyData",,
"7e8af9f0-7c2c-4014-9a2f-82af2874f90e","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-02-01","2015-02-01","ARIK.20140714.CORER.2",,"ARIK.20140714.CORER.2",,"ARIK.20140714.CORER.2",,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,80.0,99.4,2,,"GEI Consultants Inc.","SnSgqzTvnxE=","9kPjMwk4VEM=","algae","legacyData",,
"49dfeb90-3582-47c2-b8db-2afd22f46f08","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-23",,"ARIK.20140714.KICKNET.3",,"ARIK.20140714.KICKNET.3",,"ARIK.20140714.KICKNET.3",,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,40.0,,,,"GEI Consultants Inc.","R3l/7zxY27o=",,"woody/soil; Bottom of oligochaete vial broken (defective); oligs recovered","legacyData",,
"2e347696-904e-4cfa-8e95-48dfe1505577","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-27",,"ARIK.20140714.KICKNET.5",,"ARIK.20140714.KICKNET.5",,"ARIK.20140714.KICKNET.5",,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,20.0,,,,"GEI Consultants Inc.","SnSgqzTvnxE=",,"algae","legacyData",,
"95ed68b8-b7b0-4b45-be00-d30fa257056f","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-02-02",,"ARIK.20140714.KICKNET.1",,"ARIK.20140714.KICKNET.1",,"ARIK.20140714.KICKNET.1",,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,10.0,,,,"GEI Consultants Inc.","9kPjMwk4VEM=",,"woody; Picked and Unpicked portions of first sort accidently mixed; sample repicked","legacyData",,
"e5cead0a-8bba-4fa3-a02a-905181360371","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-30",,"ARIK.20140714.KICKNET.2",,"ARIK.20140714.KICKNET.2",,"ARIK.20140714.KICKNET.2",,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,30.0,,,,"GEI Consultants Inc.","MbebJcL5Bu4=",,"woody","legacyData",,
"676336e1-50c7-4e7d-a8a4-5aea0eaa2775","D10","ARIK","ARIK.AOS.reach","2014-07-14T17:51Z","2015-01-26",,"ARIK.20140714.KICKNET.4",,"ARIK.20140714.KICKNET.4",,"ARIK.20140714.KICKNET.4",,,,,,"Draft GEI SOP for NEON Benthic Macroinvertebrates v7","other (specified in remarks)",,,40.0,,,,"GEI Consultants Inc.","TPqImwkcDMBUXj2ZycaevQ==",,"woody","legacyData",,
